Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3000,13,3,89,80,373,8707,5,0,53,9,9338
3002,111,151,368,266,926,939,27,0,16,10,2821
3003,53,243,238,206,250,292,4,0,5,16,1308
3004,3,3,4,58,479,3096,0,0,0,0,3643
3005,0,0,0,0,0,293,0,0,0,0,293
3006,0,0,50,34,269,5498,7,0,5,0,5872
3008,0,0,0,0,0,2562,0,0,0,0,2562
3010,6,0,4,10,0,0,0,0,0,0,24
3011,4380,365,540,1458,301,247,7,0,0,48,7351
3012,6249,687,285,1636,229,3,30,31,0,75,9220
3013,4685,147,233,545,94,24,6,0,0,38,5766
3015,4892,489,518,720,46,0,25,5,0,21,6710
3016,3604,568,819,736,83,210,8,84,18,58,6189
3018,3804,520,212,722,0,6,31,0,0,8,5310
3019,1760,487,127,311,17,0,3,19,0,13,2735
3020,11959,649,170,1664,69,16,17,3,10,38,14599
3021,15476,1171,143,1590,23,18,9,10,6,35,18487
3022,1017,43,3,4,0,0,0,43,0,3,1116
3023,10576,1135,489,261,8,4,0,3,0,4,12490
3024,3921,24,3,89,0,0,0,0,0,0,4038
3025,3645,167,164,329,0,0,31,0,4,21,4364
3026,198,0,0,0,0,0,0,43,0,0,237
3027,59,0,0,0,0,0,0,0,0,0,59
3028,9321,665,120,620,3,17,0,0,0,13,10769
3029,14739,917,104,586,0,0,3,3,0,9,16357
3030,17588,824,471,1329,9,8,14,221,0,14,20482
3031,1980,1069,1839,529,977,1667,5,0,0,36,8097
3032,4804,746,1071,1143,1584,184,13,5,0,35,9589
3033,4534,216,129,116,0,0,0,0,3,8,5007
3034,3822,153,113,97,8,19,3,0,0,16,4237
3036,1870,231,63,33,0,0,0,5,0,3,2197
3037,10022,1661,517,568,0,0,4,3,0,0,12784
3038,8142,596,194,272,0,0,0,0,0,3,9206
3039,3437,683,203,639,474,220,12,0,0,28,5698
3040,6181,751,467,1863,421,104,11,3,0,42,9842
3041,3337,403,61,352,33,21,19,0,0,5,4232
3042,4750,541,208,435,0,15,18,0,0,13,5983
3043,5644,395,153,600,0,13,10,11,0,10,6826
3044,7219,960,429,1082,7,0,13,7,0,26,9747
3045,0,0,0,0,0,0,0,0,0,0,0
3046,9320,703,158,1525,77,36,11,3,11,17,11857
3047,5686,196,81,500,0,0,3,5,0,3,6481
3048,4672,339,110,336,4,0,0,0,0,4,5470
3049,2696,161,90,46,0,0,3,84,0,5,3089
