Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Semi-detached, row or terrace house, townhouse etc. with one storey",Flat or apartment in a one or two storey block,Flat or apartment in a three storey block,Flat or apartment in a four or more storey block,Flat or apartment attached to a house,Caravan,"Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
"3000, VIC",37,32,11,205,274,21690,9,0,0,282,9,22558
"3002, VIC",211,360,125,219,905,1084,0,0,0,4,3,2919
"3003, VIC",108,392,228,196,320,1388,0,0,0,9,4,2658
"3004, VIC",24,9,0,70,282,5406,0,0,0,3,0,5805
"3005, VIC",0,0,0,0,0,279,0,0,0,0,0,281
"3006, VIC",21,203,15,56,356,10907,0,0,0,10,10,11586
"3008, VIC",0,141,4,3,98,5925,3,0,10,10,0,6193
"3010, VIC",3,0,0,0,0,0,0,0,0,0,0,3
"3011, VIC",4108,1096,556,1663,900,1614,19,0,0,16,93,10061
"3012, VIC",6189,1479,1276,1472,643,231,23,0,0,0,49,11362
"3013, VIC",4565,711,398,393,195,55,0,0,0,0,71,6388
"3015, VIC",4553,1347,821,523,14,25,0,0,0,5,46,7341
"3016, VIC",3576,1223,695,744,114,179,0,40,23,0,21,6621
"3018, VIC",3529,769,1101,278,83,170,0,0,0,0,16,5953
"3019, VIC",1691,690,837,34,14,57,0,7,85,3,18,3446
"3020, VIC",12721,1080,1411,1230,78,136,37,4,0,3,25,16727
"3021, VIC",15939,684,1566,1376,45,7,15,0,4,0,71,19702
"3022, VIC",1005,77,139,0,0,0,10,0,18,0,0,1254
"3023, VIC",17968,1287,1004,112,51,128,9,9,0,3,19,20582
"3024, VIC",7967,31,231,20,0,0,0,0,0,0,0,8251
"3025, VIC",3428,620,559,213,40,0,0,0,0,0,14,4880
"3026, VIC",3,0,8,0,0,0,0,50,0,0,0,61
"3027, VIC",1923,201,114,0,0,0,0,0,0,0,0,2245
"3028, VIC",8555,456,1911,417,0,5,0,0,0,9,13,11359
"3029, VIC",24676,707,4070,1174,25,0,0,0,0,0,14,30672
"3030, VIC",30037,1843,3354,517,21,140,4,94,135,24,10,36181
"3031, VIC",1468,2031,1473,414,1184,2288,4,0,0,4,50,8907
"3032, VIC",4660,2568,930,1149,1834,1859,3,0,0,0,29,13035
"3033, VIC",4558,562,445,64,0,0,3,3,0,0,23,5660
"3034, VIC",3549,615,358,19,5,13,0,0,0,0,45,4610
"3036, VIC",1978,81,225,33,0,0,0,0,0,0,0,2314
"3037, VIC",13026,1129,1884,292,64,3,3,0,0,0,7,16402
"3038, VIC",8342,288,740,89,0,0,0,0,0,0,9,9472
"3039, VIC",3290,557,589,777,682,390,0,0,0,0,35,6316
"3040, VIC",5685,1544,694,1915,506,760,0,0,0,0,40,11151
"3041, VIC",3233,490,403,419,178,208,0,0,0,0,22,4951
"3042, VIC",4732,851,1049,73,15,58,9,0,0,0,84,6869
"3043, VIC",5828,311,1164,56,38,0,3,0,0,0,0,7401
"3044, VIC",6952,1934,1745,509,84,96,3,0,0,6,42,11377
"3045, VIC",5,0,0,0,0,0,0,0,0,0,0,5
"3046, VIC",8921,2265,1644,948,73,15,12,0,0,5,22,13908
"3047, VIC",5334,415,316,885,3,95,0,0,0,9,190,7255
"3048, VIC",4891,157,646,48,0,0,5,0,0,0,3,5751
"3049, VIC",2903,281,225,3,0,0,0,0,110,0,3,3529
"3050, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3051, VIC",460,1220,736,424,1281,3284,3,0,0,25,33,7466
"3052, VIC",154,584,156,289,369,847,0,0,0,7,9,2416
"3053, VIC",130,898,564,329,885,7253,3,0,0,7,48,10115
"3054, VIC",364,676,1984,239,576,174,3,0,0,7,51,4071
"3055, VIC",2681,768,641,2311,343,150,3,0,0,0,41,6938
"3056, VIC",4147,1596,1951,1117,863,1906,10,0,0,0,122,11702
"3057, VIC",1530,1061,752,463,224,1887,0,0,0,0,55,5972
"3058, VIC",9161,2004,1490,470,192,603,6,12,7,0,45,13990
"3059, VIC",4649,114,90,0,0,4,0,0,0,0,0,4858
"3060, VIC",4326,326,364,77,0,0,0,0,0,3,16,5112
"3061, VIC",1449,43,68,59,0,0,0,13,154,0,3,1788
"3062, VIC",0,0,0,0,0,0,0,0,0,0,0,0
"3063, VIC",198,0,0,0,0,0,0,0,0,0,0,198
"3064, VIC",20188,1070,1474,280,0,65,0,4,0,0,7,23094
"3065, VIC",705,940,517,616,619,1703,3,0,0,6,38,5157
"3066, VIC",605,364,407,553,664,1947,3,0,0,32,66,4639
"3067, VIC",530,490,630,356,399,1912,0,0,0,5,27,4354
"3068, VIC",1480,1514,3015,1201,1037,616,0,0,0,9,43,8911
"3070, VIC",5109,1440,1844,1085,520,810,0,0,0,3,105,10934
"3071, VIC",4345,978,841,2182,156,70,0,0,0,0,55,8621
"3072, VIC",8199,1292,2278,627,390,1236,0,0,0,3,164,14195
"3073, VIC",14357,1966,4301,886,137,11,0,0,4,0,109,21774
"3074, VIC",6653,225,495,469,0,5,0,0,0,0,5,7861
"3075, VIC",7340,199,251,511,0,0,0,0,0,0,9,8314
"3076, VIC",8595,910,1470,64,204,6,0,0,0,0,0,11257
"3078, VIC",2492,658,447,1215,141,103,0,0,0,0,14,5078
"3079, VIC",4149,613,611,1136,83,136,0,0,0,0,18,6744
"3081, VIC",3564,595,1316,428,3,24,0,0,0,0,5,5936
"3082, VIC",8830,443,1134,53,50,51,0,0,0,0,5,10565
"3083, VIC",8799,1131,711,566,477,461,0,0,0,0,5,12158
"3084, VIC",7629,630,878,865,210,300,0,0,0,0,29,10532
"3085, VIC",4345,316,705,20,137,0,0,0,0,0,15,5533
"3086, VIC",0,0,0,0,12,0,0,0,0,0,0,12
"3087, VIC",3357,72,263,13,7,0,0,0,0,0,0,3709
"3088, VIC",8891,545,820,213,15,33,0,0,0,0,9,10528
"3089, VIC",3870,105,131,18,0,0,0,0,0,0,0,4125
"3090, VIC",729,8,0,0,0,0,0,0,0,0,0,745
"3091, VIC",525,0,0,0,0,0,0,0,0,0,0,524
"3093, VIC",1128,123,212,87,0,0,0,0,0,0,0,1545
"3094, VIC",3115,113,435,23,12,0,0,0,0,0,10,3710
"3095, VIC",9026,248,257,454,20,0,0,0,0,0,3,10004
"3096, VIC",629,0,3,0,0,0,0,0,0,0,0,637
"3097, VIC",470,0,4,3,0,0,0,0,0,3,0,484
"3099, VIC",1754,4,28,6,0,0,0,0,0,3,5,1802
"3101, VIC",5071,1454,1141,1315,780,448,0,0,0,3,40,10237
"3102, VIC",1701,218,379,273,29,3,0,0,0,0,0,2600
"3103, VIC",3894,485,1212,502,164,143,0,0,0,0,14,6420
"3104, VIC",6401,495,530,92,44,0,0,0,0,0,20,7582
"3105, VIC",3568,423,129,231,61,15,0,0,0,0,3,4431
"3106, VIC",4792,664,460,44,29,88,0,7,0,0,0,6089
"3107, VIC",4278,615,327,3,44,27,0,0,0,3,11,5314
"3108, VIC",5806,941,703,294,248,1227,0,0,0,0,8,9225
"3109, VIC",7296,1380,1239,639,269,123,0,0,0,0,8,10947
"3111, VIC",3976,166,318,129,0,4,9,0,0,0,0,4604
"3113, VIC",2890,6,10,0,0,0,0,23,7,0,0,2933
"3114, VIC",1220,0,0,0,0,0,0,0,0,0,0,1217
"3115, VIC",1269,0,0,0,0,0,0,0,0,0,0,1269
"3116, VIC",3642,64,18,0,0,0,0,0,0,0,6,3729
"3121, VIC",1907,2813,3083,1356,2155,4370,5,0,0,6,79,15781
"3122, VIC",2592,471,1365,2279,3002,1739,0,0,0,0,50,11506
"3123, VIC",2243,534,744,1065,972,1052,0,0,0,0,12,6628
"3124, VIC",5124,702,1260,855,188,466,0,3,0,0,43,8636
"3125, VIC",3643,628,878,417,432,6,0,0,0,0,3,6010
"3126, VIC",1991,198,557,126,131,69,0,0,0,0,22,3088
"3127, VIC",4604,478,1501,539,78,74,0,0,0,0,21,7296
"3128, VIC",3663,970,1416,835,928,845,3,0,0,7,9,8664
"3129, VIC",4442,776,1397,392,0,83,0,0,0,0,8,7103
"3130, VIC",9530,738,1742,374,141,285,8,0,0,0,19,12839
"3131, VIC",6453,473,1948,146,35,66,0,0,0,0,7,9134
"3132, VIC",4314,569,1508,100,52,231,10,0,0,0,0,6783
"3133, VIC",7063,303,797,82,14,3,0,0,0,0,5,8263
"3134, VIC",11129,330,945,133,211,110,0,0,4,3,6,12871
"3135, VIC",7236,147,463,165,11,0,0,0,0,0,7,8027
"3136, VIC",16385,465,860,125,237,88,0,0,0,3,10,18174
"3137, VIC",4767,121,601,42,28,0,0,0,0,4,4,5559
"3138, VIC",7762,154,266,23,6,0,0,0,0,0,0,8207
"3139, VIC",5121,0,15,13,0,0,0,0,0,3,4,5166
"3140, VIC",5166,236,1037,20,53,0,0,45,33,5,0,6600
"3141, VIC",1078,1248,940,1157,4367,6921,9,0,0,0,21,15742
"3142, VIC",2108,1062,295,1435,1449,720,7,0,0,0,0,7070
"3143, VIC",1298,384,515,712,1505,199,4,0,0,0,26,4638
"3144, VIC",2175,498,485,645,753,275,0,0,0,0,74,4901
"3145, VIC",5044,795,1539,1011,485,460,0,0,0,0,153,9493
"3146, VIC",5752,762,1281,1739,497,424,0,0,0,0,13,10466
"3147, VIC",3951,342,595,595,7,246,0,0,0,0,30,5767
