,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income or loss ,Mean taxable income5,Total imputation credits6 ,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9 ,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,%,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,0200,118,136,2896265,21296,16,23200,136,616198,4531,21.3,29,60046,133,607512,136,544983,22,66996,9,199298,135,3005325,81,120071,87,45284,0,0,5,20996,113,2141201,45,26776,0,0,62,78467,39,178517,6,14443
4,2600,630,4408,265617748,60258,2284,6797804,4408,80821784,18335,30.4,2402,5279547,4405,80048915,4408,62715404,1092,-1911889,603,5851679,4408,279510064,3892,13903499,3248,9741279,28,-278826,268,10254074,3357,175123960,3445,3456714,139,96090,2699,5311025,175,645754,253,487275
5,2601,310,1468,76991539,52447,694,1412276,1468,22286869,15182,28.9,763,1555289,1466,22089149,1467,18365162,381,-660992,193,1140247,1466,80908686,1232,3918174,1087,2319116,14,-95189,105,2832835,1113,55606954,1170,1031988,61,37231,876,1909025,115,503153,80,150754
6,2602,2298,13280,598041250,45033,5461,4751010,13280,154491955,11633,25.8,6655,8676092,13277,151466841,13279,144508015,2263,-3782283,1338,9251625,13279,620691939,11461,22666165,9075,10801297,53,-277720,868,14722193,11202,490275158,11308,8270901,688,394171,8694,12246222,1158,4517053,1248,2522712
7,2603,697,4767,325168375,68212,2544,10407332,4767,104820869,21989,32.2,2593,6931714,4765,103459026,4765,75826496,1238,-3832049,660,11295267,4766,340933395,3999,15767187,3491,13867262,23,-361578,364,17149900,3745,205531302,4106,4551737,193,128532,2715,5643857,245,897588,309,640419
8,2604,654,4658,249469758,53557,1959,2789003,4658,71534848,15357,28.7,2321,3377288,4655,70063408,4657,66124636,1142,-2372255,478,3200224,4655,260475035,4091,11005532,3097,5046163,29,-231697,242,4650207,3985,212015577,3944,3367403,321,224594,3118,4844902,254,978873,487,1055540
9,2605,1082,6253,326948289,52287,3371,5102010,6253,91064577,14563,27.9,3497,6140378,6251,90361590,6253,77983754,1275,-1802906,814,6284195,6251,342267251,5548,15321221,4670,9248828,32,-663888,441,12714985,4865,238826010,5412,4498293,260,150056,3781,6005437,298,1156884,329,632839
10,2606,619,4180,201110014,48112,1752,2712704,4180,54077282,12937,26.9,2015,2747185,4174,53013617,4176,46233657,682,-318030,413,2320766,4175,209008297,3605,7925414,2727,4699398,17,-41484,241,4490000,3484,154151900,3647,2804189,235,131731,2701,3975985,252,900397,360,777007
11,2607,1247,7517,372028627,49492,3888,6142250,7517,100590923,13382,27,4077,6234952,7516,100060706,7516,86622183,1525,-3041867,852,6411490,7516,388927255,6610,16898709,5586,11121409,43,-379275,465,10415156,5851,270350877,6471,5084888,217,124601,4604,7295841,351,1242956,345,698739
12,2608,20,133,7895493,59365,71,157224,133,2381587,17907,30.2,68,172246,132,2349625,133,2007804,40,-422,23,153955,132,8245639,117,350157,93,245973,0,0,9,226720,108,5975521,115,109906,5,4766,86,186706,0,0,5,11993
13,2609,78,475,22732150,47857,147,980558,475,6446479,13572,28.4,142,208024,475,6218587,475,4365906,80,71394,29,239469,475,23543341,367,811162,280,1089499,5,-121955,49,1005722,384,14434079,399,317008,20,12755,288,529208,38,134222,14,29757
14,2611,2074,12572,576987933,45895,5940,5415342,12572,148152895,11784,25.7,6442,8253462,12570,147056736,12570,134822024,2183,-3374754,1280,7860656,12571,599134024,11148,22148500,9007,13028650,64,-647294,783,14549957,10352,452288342,10975,7997590,463,257345,8086,10908831,615,2138381,626,1198470
15,2612,858,5225,256371882,49066,2130,3972942,5225,70848137,13559,27.6,2676,4647719,5223,70214767,5225,62583473,964,-1792887,552,5710341,5223,267955990,4509,11584224,3714,6944544,26,-480758,257,4264366,4439,196544187,4021,3339357,240,137187,3463,5741592,522,2049405,609,1264305
16,2613,6,45,1883336,41852,18,13746,45,440544,9790,23.4,24,17749,45,451411,45,394180,12,-24829,5,361,45,1928834,33,45498,32,53744,0,0,6,85701,36,1369599,36,25341,5,1068,26,35554,5,16153,5,7345
17,2614,1700,10567,489921667,46363,5113,7450241,10567,126821168,12002,25.9,5707,8583054,10566,126357444,10566,111877682,1839,-2579118,1120,7548198,10566,510482882,9198,20560852,7675,14347826,40,-354183,645,13236271,8446,365457794,9128,6809106,384,216223,6550,9098059,628,2222248,659,1259722
18,2615,3362,20907,853280212,40813,7668,4157152,20907,204969427,9804,24,8729,6370463,20905,201264408,20906,193590442,2683,-6623560,1504,8379482,20905,883549331,18271,30269315,13490,13335323,47,-71876,1280,23852553,18391,726214271,18042,11862485,663,368544,14380,18299150,1353,4651712,1140,2172746
19,2616,64,288,12634131,43869,123,179470,288,3302856,11468,26.1,103,138885,287,3214911,288,2891492,68,-156477,30,382787,287,13405963,239,771822,202,275486,0,0,30,641704,239,10056776,230,170565,9,4695,182,387435,33,174177,20,35162
20,2617,2261,13444,574800653,42755,5555,4487016,13444,144014752,10712,25.1,6208,5578801,13443,140968348,13444,133916071,2150,-5884641,1116,6945838,13443,596172069,11701,21371616,9237,10104548,41,-184299,753,15375454,11949,490766562,11520,7992495,450,249243,9309,12460311,909,3338496,906,1741597
21,2618,115,643,31195811,48516,337,809281,643,8537976,13278,27.4,308,439675,643,8344795,643,6270587,138,484395,93,933582,643,32907344,510,1711536,460,1078161,26,-543860,65,1640861,500,21768235,566,436129,19,10679,336,630805,27,94224,24,43070
22,2900,78,589,26579398,45126,208,178413,589,6736145,11437,25.3,303,328058,589,6626853,589,6327623,105,-302233,47,347267,589,27602261,516,1022888,371,475120,5,-15142,32,563549,503,22072814,524,374152,26,17895,396,584112,35,100130,39,73398
23,2901,15,105,4945268,47098,43,26914,105,1312155,12497,26.5,49,27639,105,1277989,105,1264404,32,-104512,10,68308,105,5178512,95,233244,62,68456,0,0,8,175187,87,4404338,91,71290,5,1554,78,148744,5,9499,5,4841
24,2902,1351,8836,383925919,43450,3521,2507872,8836,96810602,10956,25.2,3891,3232464,8836,95085100,8833,90935323,1260,-3320653,720,4616387,8836,397747158,7786,13820938,5955,6591920,36,-201279,535,9854410,7833,327105282,7609,5338302,293,166356,6140,7963621,459,1528465,408,779334
25,2903,820,5501,235049645,42729,2195,1134617,5501,58939325,10714,25.1,2396,2001771,5501,57463922,5501,55813796,839,-2134349,424,2081173,5501,243322812,4824,8273196,3717,3230066,26,-151655,301,4626767,4880,203811323,4750,3270735,154,90569,3888,4937495,282,887974,232,434886
26,2904,1229,7693,355504354,46211,3381,2084025,7693,93021708,12092,26.2,3481,2831187,7692,91198964,7692,87124882,1347,-4555994,651,3418636,7692,368133147,6841,12628638,5293,5646767,28,-243729,440,8297141,6805,306422556,6665,4949896,247,147544,5421,7378762,284,908424,255,493186
27,2905,2258,14692,614207173,41806,5034,2325929,14692,151050786,10281,24.6,5239,2936601,14692,146290563,14692,143378909,1946,-7162766,883,5311932,14692,635127832,12986,20920664,9047,6834482,36,-150814,868,15915461,13339,553927717,12656,8502180,508,281653,10767,14444591,671,2171865,537,1016545
28,2906,1127,7918,336449730,42492,2403,938162,7918,83124541,10498,24.7,2611,1190885,7917,80362966,7917,79654643,906,-3465543,464,2639324,7918,347672554,7100,11222855,4501,3284085,20,-63566,440,7988375,7288,307404108,6915,4682598,318,177517,5917,8040141,304,1000975,303,558590
29,2911,13,108,5519512,51107,41,311423,108,1583648,14663,28.7,47,64857,108,1540122,108,1128307,22,39023,8,12654,108,5676034,73,156522,59,350627,0,0,21,587186,80,3313421,95,78866,5,2951,59,94965,0,0,0,0
30,2912,66,596,26420998,44331,187,116249,596,6641399,11143,25.1,258,245875,596,6424431,596,6266281,107,-314613,50,302725,596,27510429,528,1089375,339,291991,0,0,47,941695,524,23380895,522,359110,28,13676,431,774515,17,58281,49,96021
31,2913,1491,11093,500063561,45079,3938,2800365,11093,129015193,11630,25.8,4387,2728759,11092,125299913,11087,121417103,1807,-6861559,786,5176309,11093,518071318,9739,18015287,6780,6524395,33,-277380,662,13715192,10075,445217309,9606,6855359,428,241726,8044,11809108,521,1691700,686,1316791
32,2914,324,2375,107244965,45156,771,262298,2375,27390180,11533,25.5,909,366114,2375,26326576,2375,26237390,320,-1257353,157,855821,2375,110968822,2094,3723823,1382,790257,7,-87527,145,2841051,2186,99269132,2047,1447054,75,41175,1779,2786234,61,180556,115,217466
