,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income or loss ,Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,%,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,2000,5125,11955,603024244,50441,2140,18933752,11955,194482704,16268,0.32,3565,17185582,11905,192699574,11955,132274497,1505,-2466027,810,33485930,11935,642105023,10040,39793354,8625,24942438,70,-2229391,705,57688021,10140,384194851,6240,7237237,415,303358,8395,12821757,250,991633,355,812275
4,2006,35,115,4548400,40251,25,46401,115,1180666,10448,0.26,40,62293,115,1146120,115,1122791,5,-66239,5,19685,115,4857501,90,309101,80,80298,0,0,5,19795,105,4252841,85,61055,10,5839,75,212220,20,108319,5,6851
5,2007,655,2225,89711357,40356,480,721559,2225,22336084,10048,0.25,860,1359156,2215,21971015,2225,20629180,295,-1565178,155,746162,2220,94502863,1890,4814081,1430,1623128,5,-91184,155,3034145,2035,81550697,1625,1164046,115,68267,1690,3421192,130,554020,135,285692
6,2008,615,2955,128068339,43325,620,1023457,2955,33217028,11237,0.26,1085,1400072,2955,31965544,2955,30537188,335,-1411296,180,2366778,2955,134998576,2520,6930295,1775,1719890,10,-51398,245,4263454,2780,115208811,2370,1770295,220,132326,2260,4681318,295,1270342,295,631853
7,2009,950,5795,302667182,52229,1445,5131594,5795,87728402,15139,0.29,2290,5051101,5790,85671415,5795,77291781,890,-5748652,465,6833996,5790,318757836,4955,16096593,3515,7509554,30,-739971,350,10922971,5355,262325070,4495,4074296,375,235545,4345,10004413,200,647960,375,852878
8,2010,1920,12895,671841473,52101,3015,9395018,12895,192918423,14961,0.29,4760,8235898,12885,187368297,12895,171782276,1745,-8013671,865,11744721,12890,706943256,11015,35375855,7425,14010450,60,-1293729,1270,32892992,11730,580293248,10610,9319486,1025,623802,9580,23926395,800,2898411,1040,2293870
9,2011,1345,10210,675420212,66153,3045,21792830,10210,215857014,21142,0.32,4345,17134386,10205,211417421,10205,170697224,1570,-6044727,960,22613806,10210,716776721,8750,42168543,6030,27461473,80,-801711,1000,32120614,8885,504580948,8595,9355741,850,556840,7165,20423184,465,1604785,720,1724112
10,2015,455,4505,228817374,50814,1250,1939103,4505,62422495,13862,0.27,1780,1983255,4500,60231999,4500,58001842,690,-3871763,310,2806532,4500,241613229,4005,12795808,2510,3332441,20,-251319,420,8402403,4180,211642403,4005,3260336,330,189697,3580,9373540,225,839882,405,850189
11,2016,845,5145,248237775,48267,1270,1939268,5145,67063706,13040,0.27,1855,3369042,5140,65256318,5140,60485585,735,-3513863,315,2693617,5140,261291463,4485,13132604,3050,3955766,15,-687705,500,10182150,4740,222006268,4340,3478817,370,227200,4025,9285795,380,1483971,385,814823
12,2017,615,3460,153433061,44332,670,853845,3460,39237540,11337,0.26,1180,1468645,3460,38029686,3460,37538514,370,-2160628,200,2037715,3460,162116986,3075,8683831,1950,1890607,15,-151317,270,4676486,3225,143478915,2805,2062272,215,123201,2840,7161986,250,1037987,245,511896
13,2018,1305,5625,220174220,39142,1405,1477054,5625,51105826,9085,0.23,2140,3606743,5620,50507514,5620,46805256,1080,-2941578,320,2631016,5625,231284418,5020,11125401,3625,4126602,15,-122154,425,6959779,4955,195734433,4540,2992591,185,110241,4440,8295314,315,1143379,250,500383
14,2019,655,4115,181303187,44059,1125,1462322,4115,45065640,10952,0.25,1410,2266844,4115,44149837,4115,41471580,690,-2594863,285,3356559,4115,189955006,3765,8660022,2490,3279157,10,11064,270,4542393,3745,163139471,3510,2499383,155,94473,3375,6415171,175,661910,100,196535
15,2020,880,4450,174467406,39197,1065,667290,4450,40368500,9070,0.23,1540,2369757,4450,39523902,4450,37528253,795,-1480752,235,2020540,4450,182808721,4060,8341381,2740,2398696,15,-119096,285,4428560,4015,159200778,3695,2386765,145,91586,3630,6373630,215,809548,115,207190
16,2021,1105,8485,659277299,77681,3165,17794128,8485,224152548,26411,0.34,3960,16022034,8480,220095362,8485,171638271,1510,-3962975,975,29978653,8485,709245305,7200,49999799,5350,23684685,85,-3798065,890,45109759,7185,472920917,7370,9338875,570,374444,5630,16647432,350,1259914,585,1350112
17,2022,1160,6275,364143607,58040,2180,7752306,6275,111177485,17720,0.31,2755,11083139,6270,109158939,6270,87402758,1175,976539,635,12538128,6270,387291837,5450,23149653,4245,11041652,30,-890470,610,19753885,5125,264564483,4965,4939794,305,195540,4235,10141798,245,937885,285,621160
18,2023,760,5165,593937110,115037,2660,52412281,5165,225421599,43661,0.38,2830,20975886,5155,223233693,5160,120345155,1205,8193680,875,40037166,5155,646454291,4220,52519478,3790,59095151,65,-2955048,560,34417864,3775,261685639,4560,8575018,210,149656,2745,9456155,145,537022,235,533426
19,2024,930,5990,385071910,64297,2320,9099270,5990,121470985,20282,0.32,2805,8980735,5985,119220579,5990,94206947,1180,-1763610,670,12651017,5990,409959311,5120,24905737,3985,12750201,40,-1002351,715,23510133,4915,281036049,5220,5498876,325,216313,3980,10845564,255,917406,330,690956
20,2025,660,4285,397695310,92833,2115,21260190,4285,142182390,33189,0.36,2340,15797156,4280,140531619,4280,91966539,890,2003328,730,18851021,4285,427530675,3665,29845903,3070,25610261,55,-1095475,490,25916760,3075,217746689,3825,5691055,205,190060,2345,7952786,135,519541,215,497757
21,2026,2910,17085,890823169,52138,4815,13957472,17085,258283829,15117,0.29,6580,17877681,17075,251846096,17085,218239886,2645,-2549918,1325,22323779,17080,942411116,14660,51701189,10620,20921812,65,-1182744,2040,46571849,14680,716716032,13875,12346960,1050,701458,12265,32197134,845,2989913,995,2199695
22,2027,705,4755,597283819,125638,2690,57476386,4755,229857983,48350,0.39,2975,33123505,4745,228068929,4750,117606544,1110,8193905,930,52506556,4750,669313636,4015,72125468,3550,64587314,65,-5584928,475,26496358,3025,236130404,4220,8586351,200,168815,2140,7596745,100,384610,175,445748
23,2028,460,2900,256576800,88505,1440,15197668,2900,90529156,31228,0.35,1635,11874172,2890,89555360,2895,56099429,655,2467025,490,17255070,2895,274200398,2405,17660199,2045,18011076,30,-1314400,320,16530690,2010,128874741,2525,3609998,120,101206,1495,5382058,85,356763,150,370986
24,2029,960,5410,449152753,83023,2470,22085948,5410,156082156,28851,0.35,2855,19027828,5405,153847200,5410,103450643,1115,5320686,800,34498368,5405,480593731,4505,31477554,3770,26566246,45,-2296681,605,34363945,4040,245242200,4770,6440624,210,132091,2990,9007296,160,629830,235,577089
25,2030,1395,7710,819085331,106264,4185,55221223,7710,305810025,39674,0.37,4370,29632882,7700,302694738,7700,180173901,2015,9552281,1280,95829825,7705,899994482,6140,80922920,5825,64115346,80,-5250009,860,43074092,5265,383843698,6715,11638188,205,157388,3585,12243991,145,565848,220,434869
26,2031,2945,17390,959099068,55159,6220,21472257,17390,279775025,16090,0.29,8110,20000502,17375,273174318,17385,228094691,3050,-3743749,1650,22112285,17380,1025526453,15130,66468356,11200,29559596,80,-1778225,1665,52442642,15110,760457088,14840,13512426,1005,614527,12595,29761340,820,3184180,1085,2352462
27,2032,1895,6385,275713550,43195,2155,3710075,6385,70401793,11030,0.26,2940,7088020,6375,69027106,6380,58995675,1310,-37679,525,4494126,6375,289819241,5520,14109324,4425,6434500,20,-242623,455,9781962,5425,223442535,5135,3791952,220,125034,4585,8592402,350,1406619,285,582467
28,2033,1175,4845,243119694,50200,1700,5143505,4845,68051805,14052,0.28,2290,7325930,4840,66844953,4840,52202699,905,-686811,505,6397905,4840,256351798,4175,13232730,3295,7573574,20,-492735,390,11894759,4100,183465577,3980,3367910,215,124070,3405,7260172,235,919253,270,513125
29,2034,1700,11235,629458938,56022,3890,12152624,11235,184491558,16420,0.29,5030,14826242,11235,180476690,11235,151664464,2180,-3397902,1040,17344547,11235,663316689,9825,33864611,7120,17570624,55,-519063,1005,30876977,9685,490370803,9380,8645214,740,439475,8110,20211971,530,2027855,725,1569485
30,2035,2935,14000,659098106,47082,5285,10811665,14000,174223562,12445,0.26,6555,17380032,13980,171159201,13995,144066415,3220,-2765536,1310,14559838,13990,694155844,12265,35150014,9505,17604147,50,-760880,1110,28606379,11700,524238509,11720,9143389,510,304764,9945,21276166,675,2610052,610,1255366
