,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income or loss ,Mean taxable income5,Totalimputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,%,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,3000,1395,5150,295866627,57439,1390,9096803,5150,92233746,17906,0.31,1890,5273899,5140,90631818,5150,64572170,745,-886168,465,9035949,5145,312495597,4070,16833654,3225,11757883,55,-3092733,460,30012681,4325,197599364,3890,3944577,280,182333,3275,7460157,270,1069977,435,925434
4,3002,300,2450,191550473,78184,1095,11049775,2450,65065683,26557,0.34,1215,4787831,2445,64298901,2450,40093593,385,-183893,355,10695685,2445,206665824,2060,15178675,1665,13156150,50,-2145954,250,14189622,2010,113272046,2165,2721356,160,89125,1535,4361846,125,512686,280,617040
5,3003,235,1265,59347976,46878,335,834945,1265,15981800,12624,0.27,465,557496,1265,15466742,1265,13954372,160,-251600,100,721461,1265,62632985,1105,3285064,755,1231169,15,-426054,120,1933447,1170,51788228,1095,840601,75,45478,970,2173046,115,444562,160,320030
6,3004,500,3220,261827886,81364,1165,15609634,3220,91723254,28503,0.35,1450,4976852,3205,90206067,3215,66431386,535,107497,405,34380021,3215,275888649,2575,14158941,2060,17949626,55,-1050389,215,7423334,2620,146130861,2645,3622239,205,133898,1980,6074735,125,441127,270,581494
7,3006,525,3020,168010560,55596,870,3200878,3020,49738388,16459,0.3,1275,2943763,3020,48649269,3020,43222410,410,-1857847,315,7487516,3020,177922052,2570,9932343,1795,4588412,25,-587324,165,3647876,2755,138206992,2540,2275210,230,135674,2210,5838865,150,456022,335,718341
8,3008,165,1135,70595570,62309,365,1854359,1135,21961711,19384,0.31,450,927297,1135,21250545,1135,18630842,220,-1252738,130,2083536,1135,74693443,995,4191869,685,2213868,15,-226913,85,1089306,1040,58257576,1000,1003633,80,48995,865,2916961,45,174270,85,186356
9,3011,1750,6755,256452678,37976,1250,1368610,6755,58651423,8685,0.23,2085,2908471,6755,57203684,6755,55376020,870,-1976289,335,2262086,6755,269340875,6115,12888197,4095,3812753,20,-147625,510,7914913,6200,233524137,5470,3510908,400,241160,5600,9885549,690,2952309,565,1101436
10,3012,1760,8045,300023707,37284,1555,1000630,8045,66701250,8289,0.22,2495,2809255,8045,64785871,8045,64493049,1010,-2735904,420,2739626,8045,314427787,7365,14404058,4780,3632741,20,-115872,605,8124684,7335,277970884,6695,4141816,400,228408,6725,11472437,865,3632264,550,1039341
11,3013,1020,6035,260652090,43197,1485,1703861,6035,64496430,10689,0.25,2075,2450105,6035,62110364,6035,61298733,955,-2973862,430,2730950,6035,273256938,5510,12604861,3450,3415415,25,-197988,490,7278959,5550,240080725,5280,3700986,365,214868,4980,9833426,455,1821418,470,942055
12,3015,1215,6700,297533741,44415,1795,1755287,6700,75132436,11215,0.25,2390,2894370,6700,72679792,6700,69492730,1050,-3535222,540,5562463,6700,311378765,6095,13845029,3965,3945003,30,-644726,525,9149200,6025,265491580,5795,4182653,395,244502,5440,10656245,495,1882480,360,734236
13,3016,1380,7150,391003800,54671,2800,7169809,7150,111681446,15615,0.29,2995,5307818,7150,109600055,7150,94293880,1555,-5103825,825,10374672,7150,410751863,6330,19853697,4740,11097139,70,-2042539,535,14583018,6135,311456904,6290,5529799,375,241947,5350,12213109,310,1122678,285,586595
14,3018,1345,5520,230443522,41755,1600,2182922,5520,54707179,9913,0.24,2200,3642239,5515,53910213,5520,49257649,880,-1738501,445,3881157,5520,241575201,5035,11140114,3410,4906349,20,-503300,325,5971126,4760,194763877,4795,3232678,235,152593,4350,7909012,370,1372161,210,392801
15,3019,525,1825,61451111,33672,190,240224,1825,12755178,6989,0.21,400,309365,1825,12525221,1825,12101750,150,-457561,45,341104,1825,64137826,1665,2686706,1050,895992,0,0,120,1646478,1665,55872242,1455,824419,65,40160,1560,1915953,305,1380244,90,153975
16,3020,3150,12820,450723003,35155,1995,1584806,12820,95780014,7471,0.21,3785,5096716,12820,93871327,12820,91109236,1500,-2487402,550,3748886,12820,469288288,11710,18565255,7580,6291850,15,36978,755,11542353,11565,405736093,10475,6130621,515,301788,10750,14865561,1555,6651083,590,1033910
17,3021,4565,19200,663608671,34563,2685,1503872,19200,139673442,7275,0.21,5410,6636344,19195,136269259,19195,134212111,2105,-3568300,710,5189120,19200,692714772,17865,29113101,11230,7883683,30,-120601,1130,17605825,17600,609668687,15665,9045782,795,461712,16745,23972033,2610,10499687,855,1511080
18,3022,535,2350,83846839,35695,340,221257,2350,18218441,7756,0.22,640,655637,2350,17636248,2350,17574304,325,-861797,75,708549,2350,87465660,2150,3618800,1305,901878,5,-127831,160,2063758,2145,77935189,1940,1154615,115,70289,2010,3056286,285,1125929,120,213294
19,3023,2315,13215,502183275,37998,1890,990548,13215,112556122,8517,0.22,3430,3107553,13215,108823779,13210,108990971,1265,-3797408,535,4296811,13215,525064467,12340,22881434,6930,4931861,15,-83937,775,11255815,12280,473214336,11315,7020810,650,365696,11610,19229765,1100,4415559,670,1206792
20,3024,585,3375,130767613,38746,535,356926,3375,29697534,8799,0.23,835,610399,3375,28804149,3375,28705901,240,-921559,125,661166,3375,136840456,3185,6072841,1760,1446388,15,-224537,170,2706962,3175,123898759,2880,1819721,130,77914,3000,5140524,215,805212,125,247615
21,3025,1095,4425,165191511,37323,860,1000688,4425,36936077,8345,0.22,1535,2486127,4425,36084914,4425,33729215,710,367898,245,2118054,4425,172085046,3950,6893561,2580,2649509,10,-20313,275,4502457,3885,142093389,3630,2269214,255,157025,3560,5381305,460,1860664,190,357007
22,3026,20,150,7009670,47363,40,61860,150,1900455,12841,0.27,45,25715,150,1826851,150,1776194,20,31660,15,712384,150,7383882,120,374212,85,91575,0,0,10,185893,135,5556703,130,96220,10,5586,115,238700,10,28893,10,24229
23,3027,15,135,5433720,40550,35,66158,135,1247079,9307,0.23,50,33099,135,1221201,135,1171235,15,-29429,10,42475,135,5780095,125,346382,80,97342,0,0,5,33375,130,5106692,85,53829,5,1557,115,277329,5,25607,10,18220
24,3028,2410,12670,490647422,38725,2450,1555041,12670,111494232,8800,0.23,3725,3218023,12670,107808890,12665,107232231,1585,-4346547,665,3810799,12670,513153824,11885,22506367,7070,5335413,40,-430944,680,10256276,11795,460227847,10850,6851882,580,332089,11065,18444152,925,3454227,435,797718
25,3029,3665,20025,797276690,39812,4130,2648206,20025,185172389,9247,0.23,5770,4577853,20025,179359253,20025,176985603,2405,-8929142,1050,8948737,20025,834477756,18620,37202372,11240,8917599,40,-189076,1055,17044002,18655,743605410,17085,11080586,870,514676,17390,30560110,1250,4533666,730,1335126
26,3030,4240,23420,964154306,41166,4855,5412763,23420,229584689,9803,0.24,6745,7476030,23420,223016383,23415,212286120,2650,-5449021,1285,16945388,23420,1010642625,21580,46488410,13175,13488773,65,-205086,1330,22174688,21240,857600648,20125,13466088,1005,604966,19755,37181912,1460,5387926,895,1649144
27,3031,1225,7215,326696616,45286,2025,1942255,7215,84114386,11660,0.26,2715,2787506,7210,80986242,7215,80606097,990,-3630574,580,4380373,7215,343322073,6525,16627013,4340,3933865,40,-339071,540,8987287,6740,301732264,6295,4653063,485,259345,5950,12485056,725,2958871,810,1652106
28,3032,1710,9495,425655993,44825,2845,4214591,9495,108952569,11474,0.26,3650,5136954,9490,105655950,9495,99097020,1585,-4004729,740,8748732,9495,448765883,8630,23112858,5940,7429758,55,-654762,670,11397478,8580,375365266,8185,6018584,445,257316,7710,16377730,765,3096211,665,1309050
29,3033,1425,6600,263189673,39883,2120,2072935,6600,60507656,9169,0.23,2915,3971957,6595,60144060,6595,54126654,1110,-836656,500,3367949,6600,275676167,5950,12486834,4320,5650306,35,-400859,390,6667765,5710,221257212,5620,3661243,200,109010,5190,9057344,425,1601095,315,600286
30,3034,1205,5150,201823916,39174,1595,1553193,5150,46448971,9016,0.23,2245,3380074,5150,45727867,5150,41421480,1085,-365432,415,3467049,5150,211225434,4570,9401443,3360,3851289,15,-52359,315,6130077,4405,167839654,4355,2805397,205,112971,3985,7025649,360,1453130,270,515336
31,3036,725,3500,161299209,46059,1370,3210581,3500,41506007,11852,0.26,1575,2988916,3500,40883549,3500,32810443,700,-738511,390,4197818,3500,169713709,3015,8414669,2380,5042615,20,-422658,225,4937949,2850,121394714,3050,2288322,100,64465,2535,5232785,145,534681,135,261411
