,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income or loss ,Mean taxable income5,Total imputation credits6 ,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9 ,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,%,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,4000,940,4380,246244909,56220,1210,4910224,4380,74938042,17109,0.3,1670,4699940,4370,73173832,4380,57639792,740,-1728798,470,16553456,4370,259451590,3495,13208464,2720,6758934,55,-1081404,380,22212751,3735,165647647,3540,3322430,250,180490,2810,6204842,365,1397153,390,778285
4,4005,1075,7810,422795537,54149,2440,11836917,7810,124160210,15902,0.29,3135,7685905,7805,120704392,7805,97681300,1330,-3491896,915,18181370,7805,447222453,6630,24457269,4795,14817497,65,-790540,655,20963821,6785,311223022,6845,6002387,425,262027,5415,12497719,725,2708575,895,1724211
5,4006,665,4660,219201809,47059,1185,5060657,4660,59567520,12788,0.27,1640,3285090,4655,57895285,4660,50233926,670,-1648135,455,6590707,4660,231179326,3905,11988522,2785,6683353,35,-544891,375,7468733,4205,176650700,3900,3054543,285,163082,3270,6874770,535,2146154,510,1045500
6,4007,840,5235,377190921,72024,2215,19430460,5235,125635065,23990,0.33,2310,8100660,5230,123034697,5235,76543806,905,-3114590,770,15608834,5230,400141661,4410,22961999,3520,22553656,70,-525490,460,31388751,4175,214544409,4640,5430166,185,126098,3200,8207089,355,1233181,290,558430
7,4008,25,185,7431174,39739,40,170620,185,1725945,9230,0.23,60,61643,185,1706437,185,1454728,30,-69819,20,163871,185,7705692,165,274517,125,262527,5,-20669,10,182294,175,6249073,150,101334,10,5443,155,218100,25,86654,5,9214
8,4009,5,85,4420633,52007,25,202629,85,1254611,14760,0.28,30,81410,85,1210106,85,567730,10,-14872,5,63567,85,4505439,55,84814,55,227290,5,-52562,5,202991,65,2609515,80,63241,5,2778,50,57544,5,5301,5,3367
9,4010,210,1275,55037656,43167,365,1015674,1275,13855498,10867,0.25,480,1175531,1275,13482465,1275,11936633,200,-348878,135,2769568,1275,57704241,1090,2666690,780,1484670,5,-39726,95,1726252,1095,43414965,1095,768085,65,31693,890,1678234,125,484912,105,201326
10,4011,1270,7220,401781991,55633,2775,11357345,7220,118487163,16406,0.3,3150,8030529,7220,116142827,7220,86906461,1200,-2342666,1025,18178692,7220,425599707,6235,24039775,4805,15097586,75,-2124451,590,27865862,6050,276249650,6285,5705115,265,153945,4805,9749317,570,2127759,485,950956
11,4012,1670,8475,341773822,40323,2480,3596212,8475,80338450,9478,0.24,3230,4516555,8475,77970728,8475,72400396,1145,-2023295,785,6933284,8475,357441225,7530,15667293,5140,6470471,35,-209985,600,13276758,7465,290009301,7345,4800890,305,170237,6240,9447335,740,2593666,545,1002665
12,4013,395,2085,84000970,40308,540,729433,2085,19728146,9466,0.24,725,900279,2085,19142394,2085,18023828,250,-483540,195,1528465,2085,87290435,1815,3289559,1185,1434958,10,-222733,140,2752619,1875,72465139,1825,1181478,95,55962,1570,2143068,190,673353,130,231144
13,4014,955,4340,167013889,38474,1100,1344679,4340,37682213,8681,0.23,1595,1730697,4340,36758831,4340,34041006,590,-1034631,360,3481680,4340,172869694,3870,5935539,2590,2965460,15,-47392,315,5928109,3835,142737739,3740,2329283,155,90606,3285,3853260,350,1241241,180,330737
14,4017,3405,15240,583879513,38312,3950,4827427,15240,132194845,8674,0.23,5140,5910486,15235,129470751,15235,120263963,2265,-5956199,1330,12436070,15240,607805434,13580,23953703,9475,10895552,60,-161623,1015,19371249,13520,501817940,12780,8030966,455,263541,11560,15203615,1170,4298563,505,856109
15,4018,715,3165,116810798,36907,745,492597,3165,25577335,8081,0.22,1090,1137369,3165,24932282,3165,24267183,315,-418337,240,1433380,3165,121076681,2845,4265918,1870,1588419,10,-92151,160,2763250,2880,104134970,2655,1590540,90,50512,2455,3076373,240,906436,140,239605
16,4019,2035,7290,259761528,35633,1515,2329936,7290,56030809,7686,0.22,2255,3148904,7290,55656711,7290,49568342,1010,-1917460,620,7924123,7290,271801766,6485,12042057,4665,5738610,35,-203420,550,12094037,6205,209149719,5865,3468270,245,160626,5430,7853176,830,3281625,190,315761
17,4020,2230,8060,327201343,40586,2185,5045032,8060,79247302,9830,0.24,2865,5488303,8060,78760795,8060,68012512,1365,-2441870,935,29734258,8060,345063319,7105,17864187,5340,9382930,55,-1270330,590,10589145,6730,243956231,6575,4454937,260,178861,5785,9174041,720,2764829,265,477590
18,4021,960,3615,128202441,35444,790,1107716,3615,27537439,7613,0.22,1150,1496090,3615,27185863,3615,25013369,420,-874320,255,3030506,3615,132997465,3230,4794987,2315,2616220,10,-113037,250,4721332,3180,108296022,2940,1730062,80,53026,2820,3488092,330,1179398,115,195025
19,4022,510,1630,55782879,34244,390,288962,1630,11827381,7261,0.21,500,557121,1625,11595413,1630,10906226,205,-562353,150,1603773,1630,58251182,1445,2468306,1070,866676,5,1121,95,1239869,1435,48342558,1275,741652,45,26192,1235,1698770,170,588618,40,66920
20,4025,20,65,2543161,37958,20,24601,65,587537,8769,0.23,20,9578,65,592385,65,497868,15,166781,5,95120,65,2646163,55,103002,40,64946,0,0,5,38611,60,1973701,55,33979,0,0,50,76980,5,3862,5,3263
21,4030,1175,7010,320649176,45729,2175,3894760,7010,83695769,11936,0.26,2625,3724464,7010,81198381,7010,73404217,1120,-2984955,740,9064111,7010,335364846,6175,14716412,4400,6321656,60,-674667,520,14602746,6290,267714795,6135,4554513,275,150526,5190,9241480,650,2504701,560,1098561
22,4031,1010,5605,231693312,41344,1610,1998785,5605,55434846,9892,0.24,2050,2394399,5600,53696126,5600,50648177,775,-1467688,530,4516968,5605,241867079,4975,10188683,3440,3805750,30,-214713,435,8601615,4975,200251376,4845,3247929,220,118975,4220,6918196,450,1728712,350,688313
23,4032,1400,5910,225713413,38192,1715,2678693,5910,50539204,8551,0.22,2395,4297135,5905,49916949,5910,44691222,700,-233263,540,5499770,5905,235708977,5180,9995999,3835,5399936,15,-200454,385,7296194,5060,183708637,4955,3080936,185,99760,4255,5697275,535,1993672,305,539827
24,4034,4825,18450,737877138,39996,5880,10417717,18450,172742314,9363,0.23,7345,12725395,18445,170161181,18445,149146618,2625,-1881749,1880,17844275,18445,769732755,16270,31868045,12020,18778854,70,-1284116,1265,25537216,15775,593065589,15595,10195194,475,269143,13290,18056412,1445,5185647,790,1463884
25,4035,2565,11695,557222937,47650,4480,10727774,11695,148592804,12707,0.27,4795,7679770,11690,145088131,11690,122578921,1980,-5176034,1500,19533739,11690,584788734,10215,27757445,7995,15677012,75,-910053,815,18511136,10135,438999744,10035,7809288,295,179048,8355,14380337,515,1717563,335,642745
26,4036,570,3080,112233488,36451,665,407449,3080,24376833,7917,0.22,975,678406,3080,23746426,3080,22841128,330,-705668,215,3126304,3080,116356057,2765,4122486,1825,1448774,5,22075,205,4095540,2785,98411673,2635,1546104,80,44647,2415,2736881,210,645928,105,184681
27,4037,555,3355,148540942,44301,1015,951854,3355,37155909,11081,0.25,1135,882486,3355,36037904,3350,33410807,490,-1830523,340,3412732,3355,155356618,2980,6815728,2030,2121078,10,-114742,235,4299544,3035,129851734,2895,2072364,115,67583,2565,4577896,115,354956,115,215394
28,4051,2275,12010,553651465,46107,3965,6092527,12010,144708240,12051,0.26,4785,6653771,12005,140548521,12005,126740432,1910,-5382500,1335,11681502,12005,580151434,10740,26501882,7665,10152027,75,-641156,875,26576103,10740,467014438,10050,7561783,390,222015,9035,15821580,1000,3717849,905,1701072
29,4053,4345,19570,800945636,40931,6340,8496133,19570,189575779,9688,0.24,7925,10476084,19565,186279301,19565,168577894,2830,-4668011,2020,16090819,19565,836604962,17440,35685539,12735,17127999,80,-746138,1440,28627962,17085,666603138,16445,10954511,535,298310,14350,20722870,1420,5171192,1035,1920420
30,4054,1475,6780,262253074,38675,1930,1647177,6780,58745939,8663,0.22,2570,2938663,6780,58086610,6780,54819705,805,-2234821,570,5757336,6780,272672845,6110,10421747,4290,4812673,30,-402590,455,8733287,6010,225704023,5610,3489074,180,102199,5105,6540952,470,1725653,335,601073
31,4055,1945,9755,408368078,41871,3280,2977105,9755,98494999,10099,0.24,3980,3728370,9750,96814934,9750,91011104,1375,-3723458,1055,8565951,9755,424820448,8705,16535083,6550,7371386,60,-572178,640,12705788,8790,355353889,8100,5547032,230,128625,7340,10756833,560,1870089,435,777300
