,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income or loss ,Mean taxable income5,Total imputation credits6 ,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9 ,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,5000,760,4370,241246446,55193,1365,5754485,4370,71357339,16325,0.3,1770,3643672,4370,69831666,4370,54625460,665,-671063,510,22492380,4370,255497077,3605,14251380,2700,7818148,65,2708752,480,20203047,3640,154975288,3705,3383941,175,105074,2840,6640915,365,1509316,465,945793
4,5006,600,3395,226345960,66690,1460,15060038,3395,72291263,21300,0.32,1715,6195487,3390,71463299,3395,41371963,540,-204079,520,11045826,3395,243602035,2835,17268253,2365,17498938,70,-1787257,355,17443583,2580,120492371,2850,3081216,115,82335,2015,5218404,250,1053762,220,412527
5,5007,510,2555,97423452,38116,565,542900,2555,22250411,8705,0.23,905,837050,2555,21486703,2555,20202705,350,-341683,180,1165222,2555,101603414,2220,4180021,1500,1276563,15,-18204,210,4364215,2275,83978822,2195,1357863,100,61348,1945,2909535,275,1022015,215,396867
6,5008,1065,4840,172578542,35657,1050,1075723,4840,37203182,7687,0.22,1730,2151289,4840,35967449,4840,33991394,655,-579687,295,1849239,4840,179148270,4250,6569587,2940,2434103,20,185,380,6384393,4255,148236605,4035,2373899,115,63631,3725,4620572,550,2260814,265,460842
7,5009,430,2120,77911937,36734,520,435626,2120,17259139,8137,0.22,750,1061591,2120,16615775,2120,15774449,315,-249529,165,1117402,2120,81177692,1850,3265730,1300,987698,10,16382,175,3709787,1815,66342202,1785,1083771,55,31583,1590,2348626,195,789636,100,179005
8,5010,285,1260,40832233,32407,140,41566,1260,8225502,6528,0.2,310,205856,1260,7923890,1260,7935362,95,-169822,35,133924,1260,42144921,1125,1312662,730,337785,5,34656,60,843021,1170,37673302,1010,548812,30,16323,1045,1130182,195,770034,50,90500
9,5011,770,3985,145031372,36376,940,855690,3985,31652161,7939,0.22,1425,1564222,3985,30737932,3985,28627488,530,-573735,265,1950700,3985,150758312,3560,5726927,2445,2123674,15,-100341,270,5241938,3445,122791018,3360,1992888,70,38909,3065,4053103,360,1483338,175,303146
10,5012,665,2440,75676807,31041,270,142644,2440,14803006,6072,0.2,620,727598,2435,14507760,2435,14064268,195,352,70,568778,2435,78210781,2130,2534633,1495,908266,10,111972,170,2860089,2145,65804258,1895,990505,45,25014,1940,1970932,465,1974927,120,200194
11,5013,840,3490,118142149,33852,430,373575,3490,24551826,7035,0.21,895,810516,3490,23803768,3490,22783604,320,74764,120,1071411,3490,122460328,3125,4318251,1950,1373986,15,97084,245,4262491,3130,103753849,2880,1609576,80,46682,2840,3155406,475,1921743,155,278876
12,5014,920,4575,159503526,34879,825,602914,4575,33677526,7364,0.21,1430,1597611,4570,32591178,4570,30936580,485,-354144,240,1504482,4570,165393186,4090,5889616,2650,1931894,15,121559,310,6003308,4045,139039927,3850,2192904,85,48973,3580,4289823,445,1629736,160,290113
13,5015,410,2160,80617391,37323,370,562884,2160,17965056,8317,0.22,600,473620,2160,17437119,2160,16335374,230,-281633,85,632927,2160,83750851,1925,3133511,1235,1254954,10,-43702,155,3130297,1945,70114062,1825,1105760,60,36542,1715,2302275,235,911608,100,172442
14,5016,745,3530,137258172,38905,890,1075629,3530,31413174,8904,0.23,1200,1282288,3525,30614548,3525,28457537,410,-1104180,280,2020831,3525,142830484,3160,5572366,2130,2371729,25,-198621,230,4613318,3080,116227130,3025,1910138,90,52961,2750,3801734,265,1031079,95,173367
15,5017,455,1775,60425150,34004,280,138651,1775,12282018,6912,0.2,425,272763,1775,12134064,1775,11737561,120,-24505,85,298493,1775,62444003,1600,2018930,1055,886509,5,-21945,95,1493647,1615,54005904,1475,813259,35,19994,1445,1640108,225,886710,40,68921
16,5018,620,3375,138625235,41074,925,1101351,3375,32825785,9726,0.24,1270,1420701,3375,32002820,3375,29731236,425,-618468,280,1774778,3375,144278485,3100,5653322,2090,2413166,25,-210830,155,2712694,3035,120600140,2925,1920835,85,48890,2720,3877069,175,636455,85,146402
17,5019,855,3925,154262911,39303,995,1326892,3925,35627793,9077,0.23,1370,1575931,3925,34820800,3925,32187753,520,-705304,320,2367645,3925,160898687,3555,6637204,2430,2861739,25,-57161,275,4240976,3490,132662218,3350,2137161,100,53950,3090,4580176,405,1575060,160,291235
18,5020,360,1625,72779875,44815,660,1815773,1625,18557141,11427,0.255,800,1167095,1620,18327389,1625,15220437,245,-306970,195,1982291,1620,76536056,1465,3756211,1160,2681248,20,8164,105,2371490,1340,54565961,1385,1014316,30,17386,1185,1600541,110,401450,55,94716
19,5021,805,3405,165217420,48536,1515,5637505,3405,42657346,12532,0.26,1770,4419831,3400,43948706,3405,30987098,555,15623,470,4871673,3405,173999276,2910,8782104,2485,9385644,40,-537755,205,3657045,2580,103435086,2945,2299359,60,31320,2125,3591276,165,620644,80,143971
20,5022,1545,6910,311572581,45097,2545,6318879,6910,79653174,11529,0.26,3100,6299698,6910,78491580,6910,64912448,1065,-1696981,770,7633254,6910,325887511,6090,14332934,4680,9901958,60,-752617,555,12668528,5750,233922393,5940,4352255,180,97789,4935,8452761,495,1921003,320,561401
21,5023,1540,5760,202484954,35166,1370,1385755,5760,43055684,7478,0.21,2260,3459181,5755,42062418,5755,38238033,745,140122,385,2645545,5755,209713227,5070,7228881,3585,3393495,25,-124207,410,7650066,4870,164593245,4825,2778424,100,54443,4275,5048945,595,2381155,200,365147
22,5024,1620,6200,256657277,41410,2390,5465399,6200,61082560,9855,0.24,3060,5986020,6195,60884661,6200,48671834,1075,412659,710,6004087,6195,268413378,5365,11759687,4310,9094937,45,-449316,420,8937226,4880,182980052,5285,3545609,105,66237,4140,6166676,410,1515606,245,457444
23,5025,860,3515,135764515,38602,1155,1278573,3515,30876350,8779,0.23,1640,2712113,3515,30259075,3515,26569307,550,256948,325,2699429,3515,141089571,3085,5325703,2320,2721661,20,-51836,245,4169481,2940,106215281,2990,1888902,70,41336,2530,3201915,260,995314,130,220764
24,5031,760,4095,155212151,37912,925,969749,4095,35430826,8654,0.23,1375,1536496,4095,34261834,4095,32000663,595,-248153,255,2494002,4095,162036447,3520,6824304,2460,2174606,30,-100990,360,7561208,3635,132581802,3440,2151112,150,80630,3075,4881628,485,2008386,310,600291
25,5032,1220,5290,204473663,38638,1590,2491003,5290,46627939,8811,0.23,2295,3481770,5290,45804755,5290,40084243,715,-530186,500,4342348,5290,212937265,4655,8470920,3450,4748355,30,-175036,370,7854708,4415,159414990,4485,2824929,130,72335,3685,5146884,475,1866169,275,486584
26,5033,585,3085,109006599,35323,615,642580,3085,23408321,7585,0.215,1055,1364337,3085,22639289,3085,21465953,375,73492,190,1482677,3085,113122066,2695,4115370,1845,1514660,10,18094,265,4482107,2705,93231375,2605,1506850,85,46057,2325,2928008,365,1424052,180,316383
27,5034,895,4980,257086389,51645,1870,6886848,4980,72487329,14562,0.28,2250,4006696,4975,70949540,4975,55302047,760,-856635,565,11272077,4975,269790022,4380,12706427,3305,9300037,75,-1016093,485,18026488,4145,177183431,4330,3654573,130,82445,3480,6411419,375,1514207,325,624203
28,5035,510,2720,108795385,40013,825,1598540,2720,25784681,9483,0.24,1075,1199550,2720,25016390,2720,21852218,375,-108258,230,1650280,2720,113372302,2375,4580078,1750,2485991,20,-104912,190,4065292,2355,89917369,2300,1506274,90,52670,1990,3130487,260,1066612,190,356201
29,5037,940,3995,149523783,37437,1125,1284886,3995,33292751,8336,0.22,1680,2462355,3995,32464121,3995,29747976,530,-198372,335,2259768,3995,155771949,3505,6248195,2550,2716545,25,-32161,295,5029647,3395,122000741,3375,2063185,115,61576,2870,3923507,390,1575714,205,371041
30,5038,1425,6325,228109663,36053,1650,1783752,6325,49261653,7786,0.22,2515,3460611,6325,48052054,6325,43908014,690,-134369,475,2192657,6325,236757651,5560,8666669,4020,3998177,25,-99568,445,6935707,5400,189450878,5285,3124792,145,78146,4635,5848386,635,2429323,340,591268
31,5039,845,3490,130295734,37355,965,945029,3490,28766881,8247,0.22,1415,1696523,3485,27979563,3490,25543633,390,-224630,280,1516914,3490,135396315,3065,5109060,2215,2126486,20,-16932,275,5266490,2975,108126472,2945,1791365,80,42885,2535,3471071,320,1341668,195,369160
