,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,6000,530,2540,141867669,55853,570,3288144,2540,42700852,16811,0.3,895,2381401,2530,41742203,2540,33917812,465,-846948,280,6785087,2535,150335344,1995,8374723,1600,4353262,35,-468441,235,10247865,2115,101131166,1960,1838439,170,127120,1575,3270144,200,838162,130,406292
4,6003,310,1775,79753218,44931,345,1177342,1775,20692589,11658,0.26,580,893622,1770,19972342,1770,18189514,235,-804191,150,1453584,1770,83382053,1500,3606300,1070,1677897,15,-244791,130,2882338,1610,67757194,1465,1111174,130,83062,1295,2492818,240,978844,140,406726
5,6004,525,2565,144330489,56269,720,4036048,2565,41787086,16291,0.29,1065,2349517,2565,41686884,2565,33668703,440,-2375425,345,8106149,2565,152844796,2135,8364706,1755,6027932,45,-469803,185,4491704,2195,105245325,2075,1940785,160,100404,1740,3525600,185,762536,115,326894
6,6005,385,2180,133241525,61120,520,3137135,2180,41095755,18851,0.31,840,2644591,2180,40409167,2180,33254954,315,-900633,270,14725920,2180,140203605,1795,6813052,1365,4378313,30,-719906,165,5678885,1890,89825332,1760,1787240,155,102772,1440,3065817,170,736932,140,389397
7,6006,710,3785,187001714,49406,1200,2028562,3785,50129111,13244,0.27,1440,2644319,3785,48539398,3785,42563301,730,-2020682,500,4797331,3785,196263625,3250,9015436,2460,3318907,50,-271971,395,11451002,3255,151050631,3270,2660345,185,114986,2640,5513436,340,1497360,210,566133
8,6007,510,3410,191245290,56084,1100,3640412,3410,55209801,16191,0.29,1405,2612410,3410,53627223,3410,45625977,635,-2714599,460,5460245,3410,200100299,2965,8772010,2210,5002892,55,-1447981,330,13517796,2985,148618000,2960,2734773,200,119843,2410,5040021,245,1070941,240,683434
9,6008,1130,7235,493979784,68276,2980,11900398,7235,154979634,21421,0.31,3470,9232449,7230,153273273,7235,119765588,1370,-5313364,1355,36356412,7235,522962369,6125,28164974,5080,17580260,170,-2490362,725,34002401,5935,330460682,6295,6955347,360,221404,4625,11232618,460,1898493,370,1091751
10,6009,2010,9015,814680910,90369,4685,33356590,9015,287818242,31927,0.35,4960,26290541,9005,284452147,9015,187565667,1835,-4518412,2095,103788870,9010,866966716,7315,51510109,6955,41946842,275,-5577044,930,82858055,6475,392595671,7620,11572270,240,157862,4665,12909360,565,2459421,335,907819
11,6010,1580,8100,613116859,75693,3880,26346760,8100,201030435,24819,0.33,4165,17520298,8095,200043246,8100,134260308,1455,-5698955,1845,48633357,8095,655976349,6765,42538716,6170,34132897,230,-5261180,765,39727103,5955,341888808,6795,8405818,240,158722,4450,11064086,435,1789838,260,759179
12,6011,855,5025,465834787,92703,2535,27363648,5025,164147840,32666,0.35,2575,13678954,5020,162795314,5025,97350774,1015,-4492684,1265,45192893,5025,496357725,4060,29754647,3765,32884618,165,-4921157,530,36164628,3495,208579409,4355,6590909,215,156126,2495,6910211,235,994129,165,482423
13,6012,845,4095,300771378,73448,1640,19020731,4095,99688359,24344,0.33,1835,8083029,4090,98240111,4090,61299992,665,-2743384,765,26161410,4090,322765621,3350,20320619,2925,22034292,120,-2622853,360,16573300,3165,159662289,3450,4250733,150,102003,2390,5711585,285,1142374,135,354537
14,6014,2040,9380,542010609,57784,3830,12647081,9380,157708610,16813,0.29,4260,10806612,9375,155292086,9380,122765381,1685,-5363615,1655,24625587,9375,569971523,8090,27665020,6640,18301806,195,-2587209,835,30972644,7515,380002718,7945,7584717,320,187381,6025,12114259,550,2268256,365,969338
15,6015,780,3680,322483827,87631,2070,14546074,3680,111350532,30258,0.35,2075,8850537,3680,110220012,3680,74084097,845,-1999557,925,49838559,3680,340975282,3020,18268446,2925,18140373,130,-5341893,370,22697776,2430,149983224,3200,4549356,90,77824,1795,4623918,115,428702,80,248108
16,6016,715,4260,210052115,49308,1220,4114215,4260,56519234,13267,0.27,1490,2302079,4255,54805974,4260,48122054,695,-2380694,465,4398067,4260,219191367,3685,9085557,2720,5636535,35,-258263,390,8325804,3745,170283233,3660,2985798,215,127133,3115,5566500,345,1401098,185,487184
17,6017,340,1940,77338727,39865,330,679115,1940,18020296,9289,0.23,585,1043434,1940,17620099,1940,15773031,210,-561856,130,1389383,1940,80317141,1670,2970353,1160,1457447,10,8025,155,2953422,1735,63718483,1650,1075045,115,69708,1450,2002860,235,942867,85,208415
18,6018,3435,15675,760260707,48501,5380,13001296,15675,198196447,12644,0.26,6465,13427735,15670,196003901,15670,164826501,2835,-10142134,2265,25882027,15675,797330359,13470,36707621,10750,22274452,195,-1053201,1340,34964115,12800,573443411,13410,10641907,600,368161,10560,19074225,1055,4078122,620,1613066
19,6019,1930,10195,502187235,49258,3150,8274628,10195,132858033,13032,0.26,3940,8149970,10190,130925281,10195,113839120,1765,-7265475,1380,24242030,10190,526792916,8860,24187648,6720,13936798,130,-1594164,875,21813511,8550,386007484,8730,7014388,575,353419,7105,13439663,800,2884842,425,1152263
20,6020,2530,11725,602316903,51370,4725,13656162,11725,162923201,13895,0.27,5085,10403341,11725,161607582,11725,126579441,2445,-10737557,1940,26752774,11725,632436680,10030,29755300,8495,21409860,215,-1689190,900,25782091,9545,430188545,10070,8483960,340,217384,7795,14067879,635,2360060,310,809181
21,6021,1745,8070,337313443,41798,2345,3447205,8070,80263468,9946,0.24,3410,5716218,8065,78345787,8065,66318070,1550,-522305,915,9654110,8065,349946705,6790,12510680,5355,6608069,65,-200286,680,14704818,6645,254839799,6865,4722297,285,177910,5475,7780935,580,2384290,230,571835
22,6022,570,2775,112676973,40604,830,928118,2775,25617274,9231,0.23,1040,1260181,2775,25377627,2775,22558975,400,-1145995,305,2155515,2775,116923756,2400,4219769,1885,2387929,25,-11795,210,5194953,2365,91870595,2345,1561950,95,55823,1980,2661470,205,758042,80,181033
23,6023,1810,8895,435450861,48955,3210,7304308,8895,114121952,12830,0.26,3655,5953042,8890,113298727,8890,96159705,1475,-5679802,1275,17437573,8890,454953039,7690,19428301,6360,13084341,125,-1514652,740,17230728,7460,329874183,7600,6147685,305,194492,6140,10172713,485,1716502,260,670532
24,6024,1545,7610,307018840,40344,2125,1969806,7610,69768374,9168,0.23,2830,2788938,7610,68824873,7610,63136735,990,-3542898,790,5255003,7610,319225025,6675,12046422,5115,5704863,50,-361722,610,12930001,6600,260235485,6495,4276621,255,154584,5590,7898030,555,2072363,255,642866
25,6025,3250,16295,730634561,44838,4375,8273567,16295,182912196,11225,0.25,5755,8596528,16285,180080440,16290,156915202,2540,-12695719,1775,20448485,16290,763596205,14110,32614723,10890,16420271,155,-1953757,1400,32576297,13815,583933403,13750,10192468,610,374502,11620,18965382,970,3419541,410,986506
26,6026,2500,12705,549230304,43229,3785,5141593,12705,133642045,10519,0.24,4735,5515361,12705,131108349,12700,116157129,1750,-7436601,1345,10244047,12705,572289959,11080,22932240,8685,10981106,135,-1055680,870,18281710,10970,452238501,10680,7681832,445,257043,9165,13514896,700,2407645,255,661904
27,6027,4535,21370,882610974,41301,4660,5643978,21370,209721772,9814,0.24,6630,7804920,21365,205326641,21365,186840410,3055,-15772043,1925,19002659,21370,920442861,18665,37381584,13830,14568406,165,-1294190,1715,43838228,18415,736619314,17745,12216017,985,602683,15850,25099053,1575,5411554,525,1290644
28,6028,1725,8485,369399120,43536,1605,1889453,8485,90650724,10684,0.25,2455,3013180,8485,88565026,8485,81394336,1200,-6988536,730,8148722,8485,384821525,7430,15249433,5150,5458347,60,-316025,730,17157916,7335,313720350,7060,5132993,455,284196,6405,11138472,390,1391101,170,377036
29,6029,275,1515,89698879,59207,615,1732320,1515,26328104,17378,0.29,615,1691538,1515,25925566,1515,19913707,400,-2699646,300,7848837,1515,95048918,1305,5277559,1080,2688924,50,-701795,160,4941874,1195,58983659,1320,1279827,55,35048,965,2181195,80,292110,45,113514
30,6030,2930,11405,463056409,40601,1615,2860058,11405,107526768,9428,0.23,2760,4317871,11400,106531195,11405,96700814,1260,-7036819,830,10826117,11400,484425852,9955,21100352,6990,8743373,80,139495,990,23676334,9600,383215256,9225,6260986,535,342829,8570,15151972,845,3038534,210,514624
31,6031,565,2890,114068420,39470,365,377516,2890,26152210,9049,0.23,710,852227,2890,25324501,2890,23571962,290,-1185762,175,1760290,2890,118953752,2495,4859213,1630,1266559,20,12594,260,5984633,2515,98013919,2410,1571811,130,81330,2190,3512416,145,492389,60,132818
32,6032,30,135,5865957,43452,20,24942,135,1420980,10526,0.24,35,14744,135,1376358,135,1115073,20,-91583,5,63893,135,6153320,115,287363,75,67240,5,126063,15,316760,115,4745184,110,81339,5,2911,95,217072,5,23393,5,7838
33,6033,55,225,9808496,43593,55,169231,225,2389063,10618,0.24,60,172136,225,2341826,225,1551603,45,-63976,35,426973,225,10294287,175,485509,140,268274,15,-157984,15,357314,160,6071552,190,137061,10,7110,135,228399,10,37378,5,11513
34,6035,315,970,37170767,38320,135,264455,970,8306846,8564,0.22,270,437100,970,8282433,965,7186565,130,-522829,80,671733,970,38907756,835,1699844,655,780576,15,99386,105,2189790,790,29739091,765,498868,50,28998,695,1277809,95,306962,5,11192
35,6036,330,1570,62221579,39632,145,83026,1570,13948404,8884,0.22,430,403969,1570,13667731,1570,13217912,90,-497908,90,654356,1570,64841459,1385,2619862,855,739215,5,35312,150,3151847,1385,55019856,1310,853492,70,39884,1245,2193967,70,279197,55,130081
36,6037,215,705,29152735,41351,125,171713,705,6898680,9785,0.24,210,536971,705,6903517,705,6064821,85,-236574,70,1976676,705,30804767,620,1635626,505,602535,10,137453,60,1536133,550,21393310,555,392931,30,20341,485,841290,75,276544,10,22644
37,6041,165,395,15564545,39404,75,156415,395,3577514,9057,0.23,120,158730,395,3576945,390,3065730,55,-3103,45,374090,395,16204365,320,636608,300,391628,5,-429,50,803067,295,11758355,300,209562,25,16407,250,398531,30,92680,5,8207
38,6042,20,95,3474528,36574,20,18233,95,747186,7865,0.22,35,78887,95,759487,95,470452,25,-95303,5,50836,95,3569017,65,94489,70,81912,5,354768,10,310064,65,1942258,70,44977,5,1952,55,66475,5,22357,5,6522
39,6043,40,95,3644163,38360,25,46581,95,813187,8560,0.22,50,135698,95,812287,95,494995,25,-41212,15,126532,95,3835262,70,174748,80,97951,10,234528,10,155246,55,1781693,75,48723,5,2867,40,53524,10,28499,0,0
40,6044,130,500,19581880,39164,125,282445,500,4435035,8870,0.23,185,593279,500,4460872,500,2673539,75,-113027,55,731787,500,20593837,375,973924,380,594014,35,1214070,70,1500659,315,10165813,390,259258,20,12719,250,357947,55,203797,5,7983
41,6050,1385,7205,419407691,58211,2735,10787669,7205,122820293,17047,0.29,3070,8797524,7200,120916646,7200,90260655,1425,-3477579,1130,17955262,7205,441311836,6145,21538398,4965,15225096,130,-1251671,640,24643548,5900,284623011,6235,5971085,275,167708,4635,9108513,525,2068663,315,788795
42,6051,880,5260,227792943,43307,1150,1752406,5260,55810329,10610,0.25,1770,2471359,5260,54539843,5255,51287720,710,-2268651,500,6182893,5260,237565791,4525,9655817,3235,3952823,45,-436251,385,7323484,4735,195508064,4485,3189829,285,167146,3885,6433662,650,2862917,310,797666
43,6052,885,4960,228191295,46006,1420,2720017,4960,58074657,11709,0.25,1840,2616666,4960,56611608,4955,52176604,850,-3433320,545,5026441,4960,237723029,4340,9402002,3240,4764985,50,-341205,430,8788882,4365,193118949,4235,3222619,215,120577,3610,5960204,420,1776561,230,589981
44,6053,1110,5765,244066530,42336,1405,1710557,5765,57686493,10006,0.24,2035,2377864,5765,56487577,5765,52812559,910,-3174926,605,4878143,5765,254544064,5045,10360988,3595,4275559,40,-215669,545,11054283,5040,208720013,4940,3418201,305,180987,4235,6726568,510,2050087,260,618905
