,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,4000,2205,7265,447286328,61576,1675,9331386,7265,124079798,17081,28,2850,8569131,7235,122138123,7265,96630440,1105,-6516160,940,44412029,7250,478011417,5840,30301364,5335,13820193,75,-1214437,485,33561231,6375,312682161,5515,5869041,605,410284,4815,9609106,855520,2089,380,1397167,445,1359574
4,4005,1150,7865,550724538,70004,2475,20927915,7865,156479575,19891,28,3665,13276005,7850,153636976,7865,116637662,1485,-10028849,1385,52704606,7860,600981223,6820,49344546,5735,26498075,105,-836001,700,28433495,6700,378606495,7020,7803459,740,436600,5420,14978308,1565020,3092,435,1579669,660,2125243
5,4006,1080,7100,422981101,59566,1565,13453926,7100,112458133,15837,27,2795,7494853,7085,110002552,7100,91406541,980,-5974683,835,32208079,7095,456903480,6100,33826883,4930,17459960,70,-1669043,525,12230109,6485,323289849,6190,5965392,695,408009,5285,13755196,1602675,2547,530,1939194,700,2270274
6,4007,905,5725,559193353,97659,2280,30142864,5725,182071224,31797,33,2800,13702945,5715,179477153,5725,117359296,1075,-9199521,1255,79686101,5720,611644266,5000,51731509,4340,36001946,110,-227189,465,41016734,4595,280545840,5195,8041549,375,247396,3580,9664065,1988545,2325,255,866820,275,788820
7,4008,35,180,8481409,47382,40,314944,180,1881114,10509,22,55,107697,180,1857002,180,1407099,20,-107296,25,205091,180,8922997,165,441588,140,419511,5,-10236,10,430398,165,6716376,165,121063,10,5770,150,254276,8050,76,15,37912,5,10960
8,4009,20,115,7331284,63201,20,297811,115,1965946,16948,27,30,56084,115,1931039,115,1556153,15,-72004,5,245923,115,7732597,100,401313,90,374818,5,-231948,0,0,110,5861130,105,104714,10,6732,90,147480,7175,32,5,2944,5,23929
9,4010,240,1310,73447878,56153,385,1925118,1310,18279510,13975,25,575,2098341,1305,17916628,1305,14596654,210,-170226,235,5017054,1305,78072291,1135,4559373,950,2686273,10,-85608,95,2606201,1095,55064356,1170,1034706,110,65182,915,2137565,156510,510,70,235614,85,270100
10,4011,1410,7665,567045221,73979,2860,24908064,7665,164324853,21438,29,3760,14099344,7650,161978566,7660,112057036,1320,-5733976,1495,46314631,7660,612867899,6705,45600753,5800,31178683,100,-1580110,575,36284201,6400,358261660,6925,8112006,485,286097,5125,11812929,1805740,3188,400,1425094,440,1272355
11,4012,1835,9260,466420637,50364,2630,6921166,9260,106259653,11474,23,3990,8074675,9250,104735639,9260,93022874,1275,-4964074,1350,16339097,9255,492398504,8305,25980288,6825,12607002,65,-572330,630,18185023,8210,389053544,8325,6591674,700,398772,6960,12941257,1101465,4189,550,1910362,545,1557228
12,4013,405,2215,110977806,50058,525,1427236,2215,25519026,11511,23,900,1519325,2215,24896221,2215,22858983,275,-1110434,255,4792544,2215,116512567,1960,5523811,1600,2540991,15,-182105,130,3269459,2010,94654435,1995,1574101,200,119596,1690,2875126,289375,1002,135,411101,120,315375
13,4014,1115,4675,219404956,46922,1145,2872311,4675,47439960,10145,22,1870,3142890,4675,46788560,4675,42056514,615,-1924095,570,6199874,4675,230321318,4240,10823208,3460,5648677,20,-97069,330,8476272,4150,186837892,4195,3094865,385,221907,3625,5851203,467535,2203,225,720285,180,506605
14,4017,3955,16275,764973218,47009,4000,11691598,16275,167176541,10273,22,6415,9649507,16260,166061626,16270,147983744,2300,-8834020,2045,24798331,16270,803158317,14765,37883041,12375,22415960,95,-905428,1095,23519842,14520,645750525,14420,10693184,1195,752950,12655,21309934,1772380,7381,845,2814096,490,1327808
15,4018,840,3825,167309288,43752,815,1263069,3825,34239806,8954,20,1525,1952726,3820,34082863,3825,31665439,400,-1354706,420,3476873,3820,174904744,3485,7526231,2785,3634428,20,-236462,210,4493238,3460,148249029,3360,2307461,265,151028,3020,4664051,342790,1782,200,645819,145,365156
16,4019,2325,7740,335391564,43338,1530,3966369,7740,69485747,8979,21,2565,4976014,7735,70290284,7735,60664277,1075,-3277160,875,21060610,7740,357058689,6985,21385267,6120,9782957,50,-722582,590,14079615,6735,270864364,6580,4559969,510,321146,5995,11456748,1691960,3318,615,2179498,175,443936
17,4020,2540,8730,412546254,47245,2315,10508540,8730,90575440,10373,22,3505,9418825,8725,91958778,8730,73388551,1450,-4766618,1340,26659724,8730,445512881,7825,32003150,6990,18064927,75,-2789047,635,13580079,7255,311520873,7495,5650618,575,370900,6335,12884806,1054980,3525,630,2242482,200,551123
18,4021,1120,3930,167695341,42681,820,2666648,3930,34294710,8729,20,1390,2051691,3925,34501439,3930,29849133,425,-1269690,405,5418973,3930,176630829,3575,8916698,3140,5401403,20,-226163,270,4588278,3480,141791691,3390,2306919,225,135795,3140,5422873,333275,1693,270,903969,80,201874
19,4022,670,2090,86491496,41344,390,614387,2090,17061837,8156,20,735,1065099,2090,17335366,2090,15760039,225,-883267,235,2385676,2090,91514060,1880,4963580,1665,2177762,15,-434825,130,2685491,1845,73472177,1750,1162688,140,87281,1625,3017687,252915,898,145,483123,50,116802
