,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,5000,1335,5290,332949855,62916,1465,11302318,5290,91428343,17277,27,2320,7031451,5275,90121433,5290,64636521,775,-3135661,795,34385945,5285,366569962,4305,31966060,3880,14926718,90,-279551,545,31645467,4410,209632258,4315,4587867,340,205566,3410,8325172,2289460,1850,320,1355947,395,1215917
4,5006,735,3575,294309338,82301,1495,20845762,3575,88715530,24809,30,1950,8703843,3570,88125656,3575,51141239,580,-1697248,810,35301697,3570,327607658,3060,33270130,2820,24481005,75,-2398757,380,24200830,2660,137031859,3080,4015301,160,107221,2100,5490798,5773235,1485,210,911716,205,655805
5,5007,600,2600,115979591,44573,540,1218207,2600,24783796,9525,21,945,1407656,2600,24259011,2600,22285144,380,-1364259,245,2760657,2600,121493080,2310,5470482,1910,2492852,10,-93315,220,4390088,2345,100251807,2250,1608352,195,113395,2035,3638581,229665,1056,245,902228,170,469321
6,5008,1290,4945,204072849,41285,995,1245233,4945,41049364,8305,20,1895,3106178,4940,40405267,4945,37250746,710,-1664397,425,4074222,4940,212988865,4410,8827776,3755,3709937,20,29633,385,7164958,4415,176994523,4250,2811284,285,162915,3900,5747668,519575,2079,440,1730439,220,597487
7,5009,530,2115,91057993,43013,475,954778,2115,18650660,8810,20,860,1531421,2115,18455485,2115,16285655,320,-1013765,235,1853031,2115,95693296,1870,4586477,1610,2158379,10,-60539,185,3588110,1810,76246095,1865,1270788,105,61908,1580,2519910,194870,872,150,552481,90,232291
8,5010,480,1790,67145838,37554,195,106882,1790,12579901,7036,19,480,375700,1790,12486793,1790,12012486,160,-754692,85,647847,1790,69586693,1605,2424338,1370,993852,10,40281,95,1880423,1650,61977604,1485,902124,95,53152,1495,1993879,107765,669,205,712234,70,193688
9,5011,940,4175,177196106,42452,950,1322972,4175,35963575,8616,20,1610,2633353,4175,35716267,4175,31742168,595,-1700606,400,4283333,4175,185099754,3735,7876484,3175,3744139,20,-285167,295,6540494,3640,149522377,3595,2415827,175,108179,3265,5289731,352910,1802,295,1114985,140,345572
10,5012,770,2390,86882406,36337,255,263829,2390,15801697,6609,18,635,1060551,2390,16097543,2390,14699269,210,-313594,105,1480320,2390,90259145,2110,3367717,1935,1783319,15,122696,170,3767803,2120,74527000,1900,1121339,90,53756,1905,2480860,127075,886,335,1434625,80,204926
11,5013,910,3540,142169392,40172,400,680715,3540,28310959,8000,20,965,1278261,3540,28260295,3540,26233605,335,-406010,175,2114820,3540,148082448,3180,5826035,2730,2680093,20,-90112,220,4762029,3210,125533084,2965,1857617,160,97956,2900,3950941,234190,1411,415,1603868,120,326127
12,5014,1095,4680,188579393,40295,805,1117991,4680,36724053,7847,19,1585,2709079,4680,36581029,4680,33633006,475,-813132,345,2253472,4680,195992031,4230,7410982,3590,3864069,10,103859,310,5505728,4225,166105519,4075,2608721,220,120712,3770,5369257,316875,2022,395,1473675,160,412094
13,5015,535,2360,98630396,41757,385,452446,2360,19957823,8450,20,725,1170025,2360,19674427,2360,18652436,300,-805009,170,1431681,2360,103121471,2145,4459521,1755,1716586,10,-76851,175,3608548,2150,88487822,2055,1368331,175,106588,1915,3049639,194730,1029,220,875249,65,173559
14,5016,815,3725,172609897,46363,900,2660620,3725,37383504,10041,22,1410,2246827,3720,36956918,3725,32633703,425,-1447032,405,4203028,3720,181225050,3430,8595070,2795,4902906,30,-81446,250,5557403,3275,144255345,3300,2411315,195,117920,2980,4850857,399905,1758,230,814410,95,249402
15,5017,535,1740,66813076,38443,235,376553,1740,12490337,7187,19,440,425774,1740,12554912,1740,11823947,120,-295087,100,1339478,1740,69813334,1605,3000305,1360,1450394,10,-60525,95,1466129,1610,60866662,1490,909169,65,37139,1465,2054369,106470,796,185,718004,30,53724
16,5018,725,3295,157439094,47810,890,1985285,3295,34588227,10504,22,1335,1841895,3290,34354484,3290,30167954,500,-1890739,390,5401604,3290,166059772,3000,8564201,2530,4179757,20,-118966,170,2352742,2950,134738236,2885,2181241,140,86979,2630,4300354,244090,1579,160,548553,55,137121
17,5019,975,4080,187864611,46057,985,2117438,4080,40552224,9942,22,1580,2901081,4075,40096130,4080,35687242,585,-2068355,485,6227700,4080,198318171,3715,10446345,3120,4567396,25,-255210,285,6572405,3595,157287991,3610,2627876,240,136355,3205,5695763,458010,1929,295,1099083,120,357313
18,5020,380,1640,82162983,50130,585,2005051,1640,18580384,11336,23,860,1689397,1640,18637089,1640,14216217,270,-925566,280,4488638,1640,88453214,1490,6187885,1315,3309704,15,-153025,110,4337112,1360,60260047,1440,1147735,55,33114,1200,1877889,240535,803,60,156186,50,140648
19,5021,880,3375,182818859,54153,1480,7366312,3375,43222429,12803,24,1875,5974396,3375,43789471,3375,28786216,565,-843761,715,11465447,3375,198529488,2955,15662813,2840,10657478,45,-196321,210,5590991,2510,109793842,2980,2529309,105,58224,2100,3799929,534920,1552,120,435025,75,217232
