,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,2000,12635,18355,1084905738,59113,2580,35621187,18355,314055171,17112,29,6170,26487755,18190,315522145,18350,226565726,2005,-10107714,1185,89597732,18295,1154769266,15315,67411601,15050,52190399,85,-4711026,975,81183510,16180,742755163,10120,12725936,850,579794,13330,20135019,3345,8071797,180,641304,435,1665886
4,2006,55,115,6127552,53750,20,34456,115,1430179,12545,23,60,82642,115,1416862,115,1363016,15,-59348,10,122326,115,6545242,90,417691,85,114598,5,-40482,5,75186,110,5583505,85,82483,15,9732,85,262902,40,21115,10,69582,5,32725
5,2007,1200,3245,156051332,48105,530,1349363,3245,33722152,10395,22,1675,3263575,3240,33575996,3245,31752159,370,-2549919,195,2340180,3240,164173847,2800,8105166,2550,3444600,10,-43146,225,4072870,3040,145393648,2515,2037125,300,167270,2540,5421983,1020,401538,145,608963,190,717306
6,2008,1085,3655,190432864,52131,645,1454074,3655,43570346,11927,23,1805,3104909,3650,42641958,3655,40418045,385,-2537243,250,3241526,3650,200148738,3150,9481904,2755,3447635,20,-46262,320,7609147,3440,173981967,3015,2627577,415,252612,2840,6241013,1295,708068,255,1131928,295,952904
7,2009,1520,7175,529418947,73797,1825,11297412,7175,147506102,20561,28,3985,11575955,7150,144612349,7175,127549477,1210,-11668726,760,28177184,7160,559226802,6220,29520140,5195,16161861,45,-643901,465,14308662,6535,439535042,5950,7131521,715,443601,5400,14008377,2520,1573217,160,587229,470,1905205
8,2010,2985,15765,1046834826,66394,3545,15617153,15765,276975593,17567,26,7690,19007077,15755,270566289,15765,239009493,2110,-16385593,1410,20875647,15760,1105429406,13620,58075609,11610,25172316,105,-2073156,1565,51941279,14340,895996796,13345,14522824,1720,1081885,11895,31990053,5660,2792566,725,2845850,1085,3943663
9,2011,2065,11755,977904658,83183,3105,35494387,11755,289699529,24643,30,6245,28043164,11735,284228481,11755,222033223,1725,-11773890,1380,33511518,11750,1040949414,10120,62888515,8495,44661394,95,-3447762,1135,35353936,10285,728062681,10055,13567351,1360,881605,8405,24857131,4430,7017777,405,1549585,810,2928929
10,2015,665,5640,356765338,63256,1445,3542925,5640,88331912,15662,25,2850,4204632,5635,85455652,5640,81897205,860,-7151822,490,4497172,5640,376968138,5090,20125609,3915,6184659,30,-647201,545,12630204,5275,332320677,5105,5084585,590,341067,4575,13692193,2445,1345451,175,631292,440,1472110
11,2016,1275,6350,374879829,59018,1410,3937196,6350,91884869,14466,25,3065,6107561,6350,89697761,6350,82572316,850,-6871785,475,6025446,6350,394985264,5585,19886151,4730,7528236,35,-206397,650,16214615,5850,335601297,5510,5280687,670,405447,4985,13312884,2485,1326775,380,1517942,430,1501316
12,2017,1115,5600,313454828,55974,1030,1995602,5600,72592878,12963,23,2705,5119290,5585,71071729,5600,68844517,735,-6309088,375,3450961,5595,333377278,4990,19756826,3970,5144398,30,-338693,435,11682939,5210,297108612,4720,4265135,575,340562,4560,14950501,2055,693439,245,981887,355,1255964
13,2018,1575,6385,307395815,48151,1480,2160403,6385,64556424,10112,21,2925,7054402,6380,64142418,6380,59510461,1125,-4607296,415,4082584,6380,322629238,5720,15325937,5160,6359529,20,-209685,555,10136450,5635,279898094,5395,4233888,480,282608,5115,11165981,2625,940953,245,1013759,245,794477
14,2019,955,4580,245184386,53510,1155,1850740,4580,54911857,11984,22,2000,3817806,4580,54001339,4580,50734221,790,-5336682,325,2875634,4580,257818310,4220,12620787,3530,4670958,15,-118306,345,7921205,4205,224955944,4020,3421904,335,207707,3815,9490516,2030,653222,170,601962,120,361584
15,2020,1205,5295,257073762,48541,1145,1429562,5295,53768846,10153,21,2325,4621060,5295,53160136,5295,50197530,905,-5207291,310,3265359,5295,274646005,4870,17270489,4165,4674094,20,-63437,390,7056971,4865,245620351,4510,3526179,390,252130,4420,9998303,2320,829166,205,747520,170,567739
16,2021,1400,9130,969271413,106187,3280,38397624,9130,317482477,34781,33,5380,23042383,9110,309855513,9125,231433388,1635,-14945833,1430,72005807,9120,1048324502,7835,78321115,6815,45438688,100,-3306389,990,73314315,7735,665252495,8155,13912243,835,553995,6155,20491351,3760,9591707,280,1089337,600,2325295
17,2022,1485,6670,513963799,77056,2155,13481479,6670,148818515,22312,29,3700,19067132,6660,146087655,6625,111783074,1170,-1094150,920,22457441,6665,547226515,5620,32729367,5200,20284389,60,-895534,785,34126242,5315,367455563,5435,6949227,495,318113,4325,12356544,2555,2208364,180,678716,280,1009128
18,2023,1035,5870,838288410,142858,2890,61576894,5870,301777985,51428,36,3890,42944249,5855,294587064,5865,179845128,1225,-2495580,1240,110661488,5860,917608955,4905,77980133,4830,66850945,70,-3393815,735,49141404,4305,403454208,5250,12052862,320,260239,3115,11937678,2600,12887510,125,558084,225,929462
