,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,6000,1275,4620,319976813,69289,815,5204594,4620,92159119,19957,29,1875,6483934,4605,90724948,4620,79439947,640,-4770648,470,48262032,4610,334170379,3285,14036576,3405,8218589,50,-1252091,295,13804506,4095,224249968,3230,3928201,530,456419,2735,5440511,1045,657386,160,658823,250,974719
4,6003,675,2355,120519182,51198,365,1610129,2355,27844424,11829,23,945,1890259,2350,27331387,2355,25050354,315,-2148762,175,2479798,2355,125657314,1895,5133865,1780,2879224,15,-29083,165,3825884,2190,106217477,1780,1575094,290,175681,1695,3180158,615,204356,140,575114,195,661183
5,6004,1030,3900,263214562,67526,895,6324850,3900,70682287,18133,27,1885,5872469,3890,69596786,3900,58233644,600,-4880453,500,16272352,3895,281952124,3190,18511543,3005,8963237,55,-415460,265,11116882,3460,205597407,3105,3409833,375,243783,2665,6352806,1140,1701329,130,452118,235,888239
6,6005,580,3100,233186079,75173,640,5357989,3100,67064543,21620,29,1490,4828986,3095,65690051,3100,54655012,425,-3019400,390,18861975,3100,247408516,2440,13980345,2205,7314982,30,-2510305,225,8177141,2685,163750536,2530,3055198,350,234870,2040,5691236,895,901444,125,469815,215,800626
7,6006,865,4385,286069181,65208,1340,3513537,4385,74122275,16896,26,2215,5371505,4385,72070902,4385,62929370,910,-6272439,785,17474404,4385,301935614,3775,15721434,3315,5881638,55,-397154,445,18256561,3785,222503257,3900,4104946,370,225811,3130,6896213,1655,655020,205,829392,310,1095274
8,6007,690,3895,296727317,76142,1230,5688188,3895,84380087,21653,28,2040,5644610,3895,82082928,3895,69599606,775,-5806906,670,23402044,3895,312727243,3345,15675157,2980,7944976,55,-728120,400,22592323,3430,219021371,3480,4247574,345,235499,2735,6871248,1495,781676,150,554167,295,1118225
9,6008,1575,7920,686720205,86685,3040,19732566,7920,206687419,26090,30,4660,17022720,7905,202801402,7920,159625659,1555,-14675608,1820,73833216,7915,735515535,6555,48259190,6195,26150405,170,-4499254,775,41533224,6520,453798639,6930,9652130,565,484907,4980,14459035,3050,2644500,305,1131167,495,1914077
10,6009,2685,9430,1118752708,118663,4595,63071841,9430,382635444,40585,34,6175,37894518,9400,374462786,9425,239161783,2060,-18936983,2705,176233602,9415,1202479369,7680,83336007,7705,71335080,265,-4541921,905,102267716,6965,516296333,8110,15941968,395,281572,5040,16225902,3695,6624472,400,1799746,485,1795945
11,6010,2155,8425,838062483,99461,3860,42519500,8425,268752779,31896,32,5280,32258999,8410,263705579,8420,178025682,1595,-14405373,2445,119365814,8420,903707862,7040,64975414,6900,49629391,200,-5874983,790,50046304,6290,433748081,7210,11718175,375,262579,4770,12967928,3335,4826878,325,1258073,375,1358516
12,6011,1070,5350,695934831,130057,2575,45043674,5350,243680052,45539,35,3385,22429477,5340,237910472,5350,148565469,1175,-15941575,1640,132102351,5345,759043074,4360,62642221,4270,49721842,150,-4232150,545,44545265,3795,302097689,4735,10044514,345,291110,2750,8749127,2020,4427265,170,619826,235,855151
13,6012,1105,4410,516368144,117090,1685,30162498,4410,178571505,40492,35,2470,16563788,4405,174167735,4410,122583067,755,-7928745,1020,127768503,4405,554652524,3645,37796739,3585,33450757,85,-1922171,395,19945753,3485,228594574,3860,7402275,270,200356,2665,6478315,1540,6215711,215,790431,210,659867
14,6014,2480,10495,790885221,75358,4045,23012651,10495,223298638,21277,28,5920,22562358,10475,219190976,10495,172063820,1975,-16192021,2360,72277564,10480,838204106,8975,46861330,8410,30767211,195,-3733283,885,48272996,8515,532196742,9210,11222267,565,378164,6850,15372804,4210,2525655,365,1284252,525,1769230
15,6015,965,3630,434300990,119609,1995,22926676,3630,147311424,40570,34,2420,16802504,3625,144059553,3630,93744662,865,-8451256,1205,74443446,3625,468926008,3035,34244735,3015,26124949,115,-2815137,370,30369579,2435,198345844,3225,6248354,130,121784,1840,6034055,1505,1549345,85,313773,100,368315
16,6016,1025,4800,290015739,60420,1310,3120972,4800,71820129,14963,25,2190,4128780,4795,70156020,4800,64141032,800,-5703154,735,11518502,4795,303726657,4180,13629550,3700,5878329,40,-691818,425,12882768,4280,244833743,4175,4097107,380,243290,3555,7066445,1905,620803,210,793752,270,942468
17,6017,455,2350,111954885,47620,365,783031,2350,23242746,9886,21,955,1734543,2350,22990946,2350,21036221,250,-1287514,185,2438095,2350,117034012,2035,5092239,1860,2241338,10,-19716,175,4253198,2135,98531022,2035,1548185,215,133448,1790,2968785,790,185232,145,538280,145,464471
18,6018,4340,17325,1073962784,61996,5715,23725478,17325,267927462,15467,25,8990,23979432,17300,263697571,17320,219236218,3425,-26089509,3275,53744977,17315,1133011681,15035,58510320,13660,35807928,195,-2275837,1555,53892478,14515,823575563,15360,15232573,1155,754805,12045,24600480,6980,3175961,690,2340715,860,2925261
