,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,3000,3440,8845,574183523,64924,1680,17180757,8845,145605575,16464,25,4965,12804579,8810,146685183,8840,125179290,1110,-1944894,330,17922384,8825,608807108,7205,34084674,6350,16311403,75,-3884621,630,51139931,7745,417558058,6575,7200986,255,261531,6030,13234413,2785,1756040,225,880153,495,1833090
4,3002,555,2745,282618799,102883,1145,19522773,2745,87979200,32027,31,1830,10229964,2740,86436392,2745,66135974,455,-2674572,245,14240948,2745,303496327,2410,21826744,1795,10984579,50,-5210645,280,17306633,2300,168761288,2535,3984505,85,76466,1840,5638348,1360,1886662,95,328714,315,1181082
5,3003,440,1625,104138834,64085,405,2240271,1625,25274828,15554,24,920,1426801,1625,24951489,1625,22875296,215,-675120,65,1384185,1625,109078227,1420,4877242,1140,2666696,15,-321154,145,4482759,1505,87148234,1460,1466410,40,38581,1245,3148267,755,300375,95,328656,180,633972
6,3004,955,4215,378361402,89744,1390,23999503,4215,111220805,26381,29,2675,14711979,4205,110035711,4210,85389791,670,-1713692,290,14028599,4210,407559897,3575,29341438,2790,20757719,55,-1365376,305,17349186,3470,237386580,3605,5145521,130,115131,2805,9351442,1780,3159430,90,274160,240,847503
7,3006,1245,5135,407381139,79365,1285,13388973,5135,112985423,22012,28,3250,9046114,5120,111676244,5135,99161916,745,-3978003,255,12525059,5125,430209782,4405,22540739,3540,9753026,50,-644508,265,7271864,4660,309959706,4435,5262762,190,156438,3780,10873941,2195,2066681,145,465700,420,1571403
8,3008,595,2695,199127309,73943,680,4061278,2695,51772503,19225,26,1655,3297207,2690,51250799,2690,47332979,455,-3542937,140,6019736,2690,212402045,2265,13072221,1790,4311695,30,-492579,175,3578039,2445,165129970,2260,2608950,115,107331,1975,6572835,1050,371773,55,148510,180,713755
9,3011,2715,7750,380831214,49133,1275,1952700,7750,72718378,9382,19,3570,5794630,7745,74809108,7750,70335955,935,-2796593,185,1805695,7745,399985605,7090,19126657,6015,8653797,25,-236810,670,12751511,7220,353882171,6755,5254304,195,165230,6535,14567412,3775,1282527,535,1921036,540,1731620
10,3012,2815,9480,475052717,50122,1635,2634662,9480,91629495,9668,19,4340,7196926,9470,93401359,9475,88418392,1290,-5147841,260,3956501,9475,499785543,8780,24607777,7395,9800183,45,-238704,760,14136872,8855,443552570,8435,6646501,220,191063,8110,18534432,4975,1400309,595,2113948,620,2008903
11,3013,1420,6540,390104069,59640,1655,4139771,6540,86364716,13204,22,3340,4914401,6540,85762753,6540,80980010,1055,-4322542,220,3115404,6540,410236366,6045,20127599,4615,8040667,25,-289805,570,12046667,6080,356016843,6095,5635493,205,177143,5485,14532120,3570,1179167,305,1016614,465,1520933
12,3015,1700,7420,450879339,60765,1930,4695179,7420,101461866,13674,23,3805,6783171,7420,100384782,7415,95395189,1200,-4993875,285,4375979,7420,475479928,6845,24486273,5225,8239649,45,-343081,595,15818307,6810,404991278,6895,6486757,260,210073,6160,16656805,4015,2538509,325,1053813,440,1502643
13,3016,1905,7155,517635018,72346,2645,12693722,7155,131630010,18397,25,4095,11998600,7150,130445060,7155,115311634,1525,-7072859,480,10209236,7155,548264517,6500,30627398,4800,13421074,75,-544675,560,20111288,6210,403069326,6655,7460350,200,168836,5460,15547302,3890,1689477,250,753448,290,993172
14,3018,1795,5410,295397508,54592,1450,2665922,5410,60496550,11180,20,2880,6972258,5410,61425356,5410,56282458,930,-2662139,255,5876371,5410,311361731,4995,15455861,4020,6950359,20,-129742,375,8727177,4850,257437370,4965,4190965,135,116090,4420,10892441,3115,773839,245,784221,200,651706
15,3019,1090,2415,104007824,43067,215,255317,2415,17310748,7168,17,870,1276358,2415,18546812,2415,16787383,260,-1048194,40,658431,2415,108666478,2200,4562207,2060,2803464,5,185660,180,3652964,2215,96689173,2100,1413678,45,35638,2070,3767581,1170,270409,230,822615,135,411724
16,3020,5375,13520,601089954,44466,1785,3098824,13520,103962335,7691,17,5285,10346710,13515,109123443,13515,98933898,1710,-4537712,330,4742950,13515,630950170,12520,29632964,11255,15793963,15,-268256,855,17833834,12490,550009086,11815,8245982,230,213240,11685,23070951,7175,1705704,1085,4128431,650,2051440
17,3021,7175,18195,780761705,42916,2045,2616337,18195,128534217,7065,16,6860,12937971,18190,137157116,18190,123370055,1935,-5349414,305,5403883,18195,820536674,16995,39524424,15630,21939545,25,-63635,1150,23783920,16920,725944768,16010,10704119,275,232745,16030,32306579,10465,2043092,1600,5786693,765,2261370
18,3022,555,1705,78372146,45939,220,190202,1705,13814856,8098,18,670,1272319,1705,14332495,1705,13346026,265,-1129835,50,793321,1705,82587406,1605,4197161,1370,1777903,5,-12303,105,2057384,1580,73646740,1550,1103644,35,27194,1505,3446291,955,225706,115,414056,75,208504
