,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,7000,1840,6825,386023980,56560,1750,6628690,6825,83653926,12257,22,3580,7517880,6820,84502896,6820,74343524,1020,-1383998,390,5560896,6825,404754029,6100,18520266,4990,10521865,45,-204832,700,26430505,5945,303147516,6250,5492840,125,107653,4990,9243746,3345,1356622,515,1896470,525,1678196
4,7004,1115,3380,209019845,61804,985,6331846,3380,48619501,14376,23,1920,6300041,3380,49508352,3380,40403091,505,-320214,210,3897834,3380,220967270,3015,11996745,2485,6978323,30,-202397,360,15143414,2855,146364344,3090,2971969,65,52626,2340,4540136,1620,1072986,260,993633,265,822038
5,7005,2355,5990,454425137,75864,2435,19833093,5990,122587765,20465,27,3745,16037078,5985,122818954,5985,98786586,1080,-552554,515,7862485,5985,480218676,5240,25597887,4280,16928503,70,-283631,505,24551211,4665,297086695,5405,6454849,75,71987,3720,7680343,2785,1658761,395,1543517,310,998922
6,7007,430,1430,85695398,59969,460,1707860,1430,18840789,13185,22,835,1919341,1430,19227054,1430,16581849,180,-227326,90,1336460,1430,89853428,1295,4092006,1025,2607003,10,-39321,115,3395454,1270,68435907,1335,1228324,20,15170,1045,1825881,735,279429,80,287440,80,272874
7,7008,1535,5590,291360519,52131,1310,2730899,5590,58302777,10432,20,2950,5856957,5590,59138344,5585,53771295,650,-821642,225,2028392,5590,302940526,5145,11436814,4270,6783510,25,651404,420,11737161,5000,247860099,5185,4155643,60,48506,4350,6576624,2855,911163,340,1145311,355,1093500
8,7009,1625,5165,229616975,44465,740,1603895,5165,39987391,7743,17,2090,3136422,5160,41595399,5160,37483512,450,-343991,115,1609058,5165,242542533,4755,8179374,4375,6075051,20,117276,335,11689977,4750,204003728,4685,3203960,50,48042,4250,5941971,2260,508664,460,1486439,225,648366
9,7010,1995,6035,262302436,43478,805,1737417,6035,44120086,7313,17,2190,3302490,6035,46410919,6030,41226257,435,-488904,140,1374073,6035,272228860,5615,9740215,5210,7529998,5,-106994,340,6923164,5540,234252445,5515,3648973,40,30605,5045,6908368,2640,559626,475,1578917,160,430635
10,7011,1770,5695,250339111,43973,745,1052173,5695,42227167,7417,17,2035,2895620,5690,44282307,5690,39668803,345,-433125,115,1303547,5690,259092245,5375,8759829,4925,6646445,15,111252,275,5980216,5260,227102233,5170,3482237,60,44788,4875,7056196,2500,443914,390,1172888,110,326083
11,7012,90,365,16730419,46089,55,66244,365,2972253,8188,18,135,138288,365,3041189,365,2857710,35,-28117,10,57862,365,17456975,340,734035,280,343298,5,-12729,30,655049,335,15160272,330,236083,15,8842,310,506988,130,22982,25,83204,10,29696
12,7015,1505,4570,232009231,50746,1180,3337422,4570,44451025,9722,19,2460,5188955,4570,45860369,4570,39533206,535,-1285939,225,2577878,4570,241295703,4205,9099882,3595,7173641,10,232938,300,8212991,3985,191387777,4230,3274654,35,24875,3515,5626939,2330,735125,230,827586,195,629836
13,7016,285,790,30269924,38268,50,19500,790,4385754,5545,14,185,137701,790,4790023,790,4259308,25,-11712,5,55147,790,31394568,750,1121486,730,869122,5,39604,30,768814,750,28887593,690,407582,5,611,705,983597,300,43503,90,249274,10,26777
14,7017,575,2190,107719615,49187,435,1140619,2190,20213854,9230,19,940,1283791,2190,20722485,2190,18542273,240,-462103,70,1578421,2190,112131828,2010,4404374,1720,2692267,10,-89431,140,3546087,1995,93539113,2025,1531361,20,16052,1795,3148301,955,211094,75,266736,55,153282
15,7018,3050,8685,442689427,50983,2130,7566175,8685,86166875,9924,19,4445,9265057,8680,88880646,8680,75910211,965,-1252905,365,4123410,8685,461672334,7995,18930713,6870,13627656,30,111750,560,16739054,7580,361934381,7980,6243183,75,58883,6695,10656384,4365,1310467,495,1648697,355,1032173
16,7019,640,1720,68759304,39930,155,143112,1720,10567033,6136,15,475,297244,1720,11374186,1720,10298064,65,-95064,20,255553,1720,71238894,1610,2479563,1540,1904594,5,-5532,90,1918169,1635,64374433,1510,931450,10,6354,1520,2082212,730,129858,195,710568,55,144131
17,7020,345,1205,68217993,56519,310,1597218,1205,14679786,12162,22,560,788310,1205,15042443,1205,12438345,155,-341050,55,2483736,1205,70831477,1105,2596054,920,1774297,10,9391,130,2954735,1070,52278989,1110,971184,15,14606,960,1701689,520,149787,45,124189,40,119213
18,7021,335,1170,59484177,50885,295,1028929,1170,11523274,9857,19,535,827410,1170,11832893,1165,10104400,150,-314292,65,1029082,1170,62125791,1075,2595219,910,1839060,10,34986,105,2577319,1035,48447071,1080,843727,10,9472,905,1581938,565,161309,55,179672,40,116768
19,7022,125,385,17929317,46691,85,174265,385,3188089,8302,18,155,263059,385,3371004,385,2955204,40,-108707,15,179779,385,18507061,345,577842,290,473068,5,17002,40,834997,325,14936910,345,248107,5,1230,295,383185,160,44413,25,77745,15,45809
