,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,0800,765,2385,138739944,58123,320,2925899,2385,30536510,12793,22,1025,1527065,2385,31793651,2385,27498245,380,-1809053,85,3530561,2385,145399382,2120,6755944,2065,4339384,15,-34016,135,4240654,2250,118052397,1840,1695746,70,63856,1945,4378814,740,248722,90,306417,140,511210
4,0810,3060,14010,790410208,56414,2675,7107632,14010,159141461,11358,20,6365,9615542,14010,166641342,14010,148860805,2575,-10190866,530,10847834,14010,825124416,12925,34479617,12355,21788146,90,223077,1160,38488309,12730,692615539,12890,10997443,425,354526,11555,22796135,6005,1839710,610,2019104,775,2431912
5,0812,1910,9420,522627109,55481,1695,2884408,9420,102711222,10904,20,4175,4731190,9420,107544876,9415,97873502,1620,-7521247,310,6340092,9420,543053487,8820,20289860,8525,14302883,60,224225,635,19124552,8735,478945579,8840,7406955,275,232057,7985,13853924,4220,978096,370,1200784,370,1102444
6,0820,1655,9485,604855309,63783,2045,10616297,9485,136977267,14445,23,4705,8600536,9485,140326360,9480,123950593,2010,-7734156,430,12517069,9485,634521251,8865,30145880,8165,16770498,95,-476892,610,20776653,8765,519995132,7870,7692413,265,224204,7905,18130894,4045,1269360,315,980383,550,1729472
7,0828,100,470,30491857,64739,100,1036342,470,6931051,14716,23,200,387752,470,7125888,470,5672493,100,-328736,20,676459,470,31926410,425,1299168,385,886001,10,356552,45,1773168,415,23225889,420,417788,20,17256,360,698733,170,41381,20,42241,10,48477
8,0830,1685,8870,486608785,54860,1115,2300006,8870,94845862,10693,19,3390,2516698,8870,99501634,8870,91075828,1320,-7767198,220,3655391,8870,506543707,8440,19817580,8145,12084815,40,-21830,490,14427285,8445,462393426,7540,6235611,275,239631,7885,15656250,3920,728935,370,1153604,285,800915
9,0832,685,4070,226755200,55714,480,544142,4070,44722353,10988,20,1695,1029896,4070,46569756,4070,43933819,665,-4051573,110,1594865,4070,236295915,3945,9530602,3775,5028406,15,-112281,220,6278118,3920,221065693,3480,2919038,105,84586,3735,7657927,1905,334186,105,287386,190,555035
10,0835,540,2635,164419041,62351,560,2573912,2635,35728231,13549,22,1240,1485551,2635,36613604,2635,32093452,520,-1880819,125,3011721,2635,171138832,2410,6649355,2250,4039288,25,26757,265,10013152,2330,136331968,2520,2390732,110,99619,2095,4189872,1005,255452,85,244626,60,177230
11,0836,750,3155,183936590,58319,530,1130047,3155,37693529,11951,20,1335,1526100,3155,39284498,3155,35136652,485,-1937770,115,2229515,3155,191193486,2905,6958470,2760,4528450,50,365835,295,9630349,2790,159363667,3015,2655217,120,111807,2565,5122628,1175,233726,105,279227,70,215738
12,0837,155,540,28612769,53085,95,114413,540,5363093,9950,19,230,317587,540,5754002,540,5006038,75,-199599,25,314794,540,29938196,470,1273378,450,776673,15,-35078,45,1420689,455,24726231,510,408444,25,20882,400,907545,160,34182,25,96486,5,21649
13,0838,65,160,10576937,65290,20,298405,160,2416590,14917,23,75,92002,160,2480032,160,2084966,25,-272557,5,78320,160,11029376,155,449511,140,287050,5,-105716,15,647709,145,8322857,155,153758,15,16744,135,266421,55,12213,5,15035,5,16519
14,0840,25,55,3181359,56810,15,15673,55,635654,11351,20,20,22068,55,683286,55,572360,10,-41652,5,106660,55,3320615,50,92571,50,106976,5,-100,5,116663,45,2852596,50,44341,5,4328,40,72649,15,3057,5,25471,0,0
15,0841,75,165,8874280,53139,15,21232,165,1683717,10082,19,60,40871,165,1808249,165,1565987,15,-40349,0,0,165,9179654,155,305374,155,239123,5,-33078,15,553736,150,7923689,150,122711,15,12883,140,251268,55,8155,15,85010,5,9143
16,0845,105,285,14212548,49694,25,32642,285,2496292,8728,18,90,160395,285,2703962,285,2438569,40,-115256,10,121351,285,14709204,255,483142,260,425736,5,-149247,20,572943,260,13061028,270,202349,10,7435,230,373727,115,30074,30,96211,10,31937
17,0846,50,145,7763082,53172,25,53312,145,1474125,10097,19,65,172415,145,1586365,145,1399246,15,-26082,5,75987,145,8034890,130,253334,130,256341,5,-39022,15,578750,130,6410251,140,111909,5,5972,115,196216,40,5927,20,57193,5,6467
18,0847,45,125,7275912,58207,15,51810,125,1497016,11976,21,55,128705,125,1579648,125,1389144,20,106771,5,191020,125,7566892,115,290980,105,209630,0,0,10,293272,110,6099103,115,102864,10,6855,100,195957,25,5634,25,68364,5,6354
19,0850,520,2455,131881311,53719,390,970188,2455,25274094,10295,19,940,1098449,2455,26641262,2455,23941306,400,-1057683,50,436827,2455,137304611,2325,5403725,2195,3821154,15,-8480,125,4725240,2345,121975291,2235,1761229,100,85400,2185,3973737,870,205374,155,625954,120,406974
20,0852,755,910,40092864,43961,95,167652,910,6155263,6749,15,260,250332,910,7443375,910,5982187,115,-386807,15,93531,910,41755830,830,1584556,830,1859026,15,3512,20,654130,880,36320261,830,549377,35,28819,755,1034101,150,47837,200,969430,35,105208
