,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,2600,1015,4935,411753275,83469,2250,16614184,4935,110293331,22358,27,3425,10136675,4930,112196721,4930,90705427,1245,-7741519,450,14092708,4930,438292974,4425,26424845,3315,15818613,45,-570553,315,20997076,3835,268891840,4040,5442142,130,104587,3065,7378643,2480,2145501,125,444363,290,1023946
4,2601,685,1605,111869968,69614,495,2239269,1605,28809660,17928,26,995,2545223,1595,28720894,1605,26378174,400,-1189565,105,4999914,1600,116857639,1310,5343930,1015,2422456,5,12756,80,3120280,1315,84885698,1295,1506358,75,64991,950,1998820,655,555959,100,445704,165,628529
5,2602,3435,14765,964521521,65325,5255,11995957,14765,221192405,14981,23,9515,20595211,14755,223480353,14760,206201098,2645,-11872441,795,16160608,14760,1003435009,12995,38558668,10525,23869191,65,-379376,950,21103114,12890,808057596,13590,13579145,665,554217,9950,17696690,7940,4542443,700,2673459,1445,5095851
6,2603,1055,4960,480746998,96905,2440,23752401,4960,140170384,28254,29,3360,13717147,4955,139763118,4960,112715731,1310,-10347018,450,17591779,4960,512256047,4335,31151757,3170,19997712,45,-1508789,355,32291478,3890,286722329,4535,6819033,125,118082,2935,7317810,2490,2251517,165,522742,415,1598668
7,2604,1055,5495,413597377,75241,1955,5978899,5495,103882042,18898,25,3555,7654064,5485,102890823,5495,98237752,1455,-6862397,335,4190588,5495,430631790,4935,16932838,3565,8280692,25,-250761,275,7277117,4865,359198821,4970,5654504,250,224191,3840,8037251,2815,1466209,170,530800,725,2809190
8,2605,1445,6120,454536557,74283,2845,10193804,6120,111264958,18184,24,4120,12369795,6115,113419291,6120,98611712,1280,-6386099,480,7235747,6115,476692267,5520,22095767,4285,14033900,45,-633087,405,19082683,4915,341500860,5630,6339831,200,181443,3910,7720648,3530,2344894,185,655117,360,1323211
9,2606,1015,4380,280218545,63977,1480,4468730,4380,63247784,14440,23,2705,5706308,4375,63978893,4380,57773626,755,-3116426,230,3431043,4375,293970422,3900,13563588,3175,7672012,20,-117435,260,5929836,3750,228658203,4040,3937621,165,138121,2950,5667485,2285,1126395,135,469632,355,1274129
10,2607,1870,7360,501089845,68064,3195,12159317,7360,116096783,15770,23,4800,11956470,7360,119564015,7360,101115875,1530,-9097514,475,7022948,7360,525206897,6675,23876755,5365,17569031,50,-242139,445,16657416,5880,372100805,6865,7100102,190,172729,4615,9333906,4095,2775132,210,630665,330,1203712
11,2611,2900,12340,783840535,63531,5090,9407189,12340,172772267,14003,22,7930,15707262,12335,177160789,12335,160307832,2125,-8831014,710,8832338,12340,816315058,11145,32364337,8930,21304763,70,-433495,750,18237024,10260,631360509,11515,11127991,345,282646,8020,14091561,7055,3430226,335,1071590,605,2014050
12,2612,1505,7025,468603824,66705,2340,10549972,7025,110027358,15662,23,4770,10955564,7025,111246501,7025,99672221,1245,-6430832,420,5425299,7025,492068324,6140,23326073,4970,13665839,30,-255759,350,7404797,6165,376946940,6020,6281969,260,219902,4760,9277866,3575,2171573,360,1335871,985,3603137
13,2614,2625,10145,647439854,63806,4065,12195085,10145,144522881,14243,22,6625,16515384,10145,148077429,10145,129823540,1665,-5681990,655,11043673,10145,677672479,9105,30004555,7430,21041962,35,-271316,605,15189133,8440,507212124,9430,9206446,315,255415,6590,11824017,5675,3833520,370,1184457,570,1941334
14,2615,4795,21800,1228890192,56371,6445,7366199,21800,250958888,11512,20,12355,14813333,21790,255183555,21795,241339988,2870,-16194204,750,8001732,21800,1275156149,19580,45964087,16420,26750976,55,-229386,1260,29672052,19500,1083998466,20485,17560550,650,521159,15465,27109940,11320,4098214,745,2440480,1255,4138167
15,2617,3470,14750,877090521,59468,4990,9760214,14750,187316143,12700,21,9105,14547641,14740,190575042,14745,175268635,2515,-14402140,700,8791712,14745,913628136,13185,36130663,10980,21984274,50,-310799,750,18263991,13075,751754837,13690,12403942,405,313340,10415,18424968,7560,3200265,620,2158024,1080,3676309
16,2900,160,860,51123827,59446,250,427883,860,10643829,12377,21,525,1024610,860,10862804,860,10210744,145,-1260230,35,375148,860,53337714,790,2213722,605,1190395,5,10070,35,646717,750,44246612,815,735775,30,27321,610,1196319,465,146901,25,70964,85,316901
17,2902,1770,8365,502214359,60038,2940,4294874,8365,107003400,12792,21,4945,6635355,8365,109057531,8360,101264377,1260,-7429142,355,4699795,8365,522120384,7605,19856312,6220,11795783,40,-129476,480,11646526,7395,430019939,7920,7218790,265,211374,5880,9815865,4705,1719547,255,754036,365,1155458
18,2903,1115,5260,308804952,58708,1840,2218840,5260,64789491,12317,21,3160,4551802,5255,66262239,5260,61643324,795,-5299719,270,3389244,5255,321446200,4745,12492335,3970,7271018,20,36501,280,6630863,4670,265880465,4975,4430856,150,122733,3745,6297368,2840,1124455,190,577456,225,759697
