,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,7000,2045,6540,391939799,59920,2200,6313427,6540,85957794,13141,22,3585,5180833,6540,86834769,6540,79276925,1020,-1538128,465,4267438,6540,407589574,5935,16323187,40,-53113,675,26229348,5740,312849764,5995,5574546,135,109135,4930,9389789,3000,1371958,500,1791861,515,1650478
4,7004,1275,3355,219451453,65371,1265,7040463,3355,51910759,15463,24,2005,4587660,3355,52475984,3355,44692869,545,-96316,250,4523053,3355,230379944,3001,11137795,20,27956,325,15044413,2835,155903853,3075,3130102,75,61986,2370,4791250,1540,1155939,265,948172,270,897114
5,7005,2485,5690,442592201,77771,2625,20678956,5690,116053222,20392,26,3700,12305529,5690,116760408,5690,95073714,1165,-467612,655,13037951,5690,463673927,5031,22142906,70,619290,510,28102728,4410,270698719,5165,6313451,100,101686,3635,7766703,2605,1694581,340,1220266,265,901736
6,7007,485,1415,91024395,64283,550,1963296,1415,20397173,14405,22,840,1707735,1415,20572284,1415,18330377,195,-198542,95,774127,1415,93935553,1303,3739218,10,-31067,125,3263846,1260,73624203,1325,1307101,20,13001,1080,2011833,690,288435,70,257919,70,258050
7,7008,1695,5410,303464306,56072,1825,3493417,5410,62529497,11554,21,2920,4256453,5410,63308390,5410,58572775,690,-288849,390,3526084,5410,315418396,4999,12404107,20,785649,430,12699222,4855,256076221,4995,4331550,80,67399,4255,6877370,2635,944723,320,1079800,335,1155826
8,7009,1675,4915,227009270,46187,1190,768155,4915,38775233,7889,17,2130,2289217,4915,40803110,4910,37589375,465,-337495,345,1705462,4915,234451343,4513,7564346,10,-24442,335,7455252,4515,203831001,4505,3179261,70,55379,4060,5899507,2035,493919,410,1355793,245,752868
9,7010,2115,5950,273848504,46033,1390,1386318,5950,46701369,7850,17,2310,2399217,5950,49481533,5950,44762968,430,-44522,495,2498962,5950,282972093,5566,9168281,10,-115556,340,7755592,5490,243130531,5400,3767340,60,48642,5025,7170100,2425,515739,470,1645033,180,515737
