,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,0800,815,2725,158308962,58138,390,1563792,2725,33046533,12136,21,1160,1250501,2725,34320002,2725,31415577,435,-1926651,85,3087577,2725,165078856,2466,7218105,15,-75625,140,3896444,2565,142035286,2070,1889645,95,89279,2260,5297924,980,260512,115,360615,170,572171
4,0810,3285,14655,869127201,59306,2750,7017334,14655,176848114,12067,20,6630,7560721,14655,185007961,14655,169154218,2895,-10233697,485,12597179,14655,901190792,13579,35023179,80,307844,1205,40881875,13355,768074678,13350,11931128,460,397052,12220,25008285,5990,1885015,630,2202941,845,2842320
5,0812,1965,9460,554378897,58596,1730,3516715,9460,110600655,11690,20,4185,4026103,9460,115753243,9460,106569085,1820,-6390235,300,7936995,9460,574186235,8859,20727744,55,278845,650,19283382,8745,503267422,8975,7909032,300,230742,8055,15018673,4020,982110,390,1296076,385,1179285
6,0820,1825,9740,657199220,67460,2125,13499711,9740,149798283,15377,23,4890,6007833,9740,153194288,9740,135974834,2180,-7468019,420,10754592,9740,686085943,9105,30127262,80,-432692,680,22734959,9015,560493942,8220,8465550,320,270606,8130,19742740,3960,1259066,365,1170315,560,1860760
7,0828,85,390,25972708,66940,100,1145698,390,5999522,15463,23,180,312925,390,6101280,390,4838210,90,-54756,15,400936,390,26895929,339,924545,10,94245,35,1122031,340,19192402,355,365538,15,11093,295,566878,125,27445,15,63640,5,25244
8,0830,1680,8995,512277555,56958,1105,1974025,8995,99523311,11066,19,3500,1683713,8995,104501949,8995,97078555,1325,-8044823,195,5755485,8995,532182751,8594,20861334,35,111249,455,14635694,8575,486670727,7735,6546554,275,232374,8065,16981984,3755,744481,405,1399407,305,941098
9,0832,790,4785,282144779,58989,535,543327,4785,56592175,11832,20,1925,1083508,4785,58636354,4785,55777955,790,-4873524,110,3564843,4785,293814989,4625,11992406,15,-48940,235,7041066,4600,273479659,4160,3621273,130,111017,4365,9971388,2095,385831,160,535373,195,620601
