,"DETAILED TABLE 2.6b: Selected items, by taxable status, state/territory1 and postcode, 2010-11 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Non-taxable individuals,,,,,,,,Taxable individuals,,,,,,,,All individuals,,,,,,,
2,Postcode,State/Territory1,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax,Individuals,Net rent,,Total Income or Loss,,Taxable income or loss,,Net tax
3,,,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$,no.,no.,$,no.,$,no.,$,$
4,0800,NT,885,65,-863470,880,7744792,860,8067164,0,2920,500,-3814873,2920,217103941,2920,209433775,51780253,3805,570,-4678343,3800,224848733,3775,217500939,51780253
5,0810,NT,3250,395,-2390765,3200,39620716,3070,37960959,0,14885,2950,-17780918,14885,962127435,14885,924984816,188110905,18140,3340,-20171683,18085,1001748151,17955,962945775,188110905
6,0812,NT,1895,220,-1456003,1855,22541799,1765,21989199,0,9185,1770,-11377238,9185,582283571,9185,561532555,111568767,11080,1990,-12833241,11040,604825370,10950,583521754,111568767
7,0820,NT,1875,280,-2343586,1850,20065345,1745,19412131,0,9640,2160,-13529059,9640,711612130,9640,682035226,156565437,11515,2440,-15872645,11490,731677475,11385,701447357,156565437
8,0828,NT,80,10,-74676,80,610947,70,815045,0,425,100,-218890,425,31578677,425,30476898,7104904,500,105,-293566,500,32189624,495,31291943,7104904
9,0829,NT,10,0,0,10,112838,10,107752,0,35,5,-45132,35,2398856,35,2271013,503313,45,5,-45132,45,2511694,45,2378765,503313
10,0830,NT,1680,175,-1326567,1650,20818224,1585,20044996,0,9020,1395,-11888105,9020,557964120,9020,536514317,103894474,10700,1570,-13214672,10670,578782344,10600,556559313,103894474
11,0832,NT,725,125,-1068322,705,8038411,655,7857037,0,4380,755,-6271678,4380,283776616,4380,272929483,55063445,5105,880,-7340000,5085,291815027,5035,280786520,55063445
12,0834,NT,55,10,-35793,55,607832,50,623729,0,205,40,-202533,205,13586771,205,13114817,2640366,260,45,-238326,260,14194603,255,13738546,2640366
13,0835,NT,585,85,-568611,575,6645030,525,6604086,0,2755,600,-4440791,2755,190081877,2755,183247556,38539845,3345,685,-5009402,3330,196726907,3285,189851642,38539845
14,0836,NT,790,100,-301187,775,8490700,705,8724321,0,3310,605,-3433244,3310,220341347,3310,212403530,43656595,4100,705,-3734431,4085,228832047,4015,221127851,43656595
15,0837,NT,165,10,-87884,165,1831444,145,1900639,0,585,70,-236435,585,35218150,585,33678251,6262615,755,85,-324319,750,37049594,730,35578890,6262615
16,0838,NT,60,10,-208915,55,642874,50,592768,0,190,30,-43505,190,12896790,190,12397614,2637300,245,40,-252420,245,13539664,235,12990382,2637300
17,0839,NT,5,0,0,5,15500,5,15086,0,5,0,0,5,308013,5,297446,59922,5,0,0,5,323513,5,312532,59922
18,0840,NT,35,5,8024,35,363436,35,339320,0,60,15,-154035,60,4086202,60,3966091,743053,95,15,-146011,95,4449638,95,4305411,743053
19,0845,NT,95,10,-27274,90,1142966,80,1106186,0,255,45,-79520,255,14766786,255,14085036,2530959,350,60,-106794,345,15909752,335,15191222,2530959
20,0846,NT,50,5,-42188,50,445476,40,476963,0,145,20,-15382,145,8985766,145,8726453,1727319,195,25,-57570,195,9431242,185,9203416,1727319
21,0847,NT,40,5,-17164,40,454438,35,417281,0,125,20,84369,125,7690089,125,7438607,1471772,160,25,67205,160,8144527,155,7855888,1471772
22,0850,NT,540,55,-301281,530,6466550,505,6370875,0,2460,430,-1704021,2460,150782331,2460,145058656,27861361,3000,485,-2005302,2990,157248881,2965,151429531,27861361
23,0852,NT,735,25,-97723,735,5862015,710,9917393,0,1025,125,-221060,1025,51118077,1025,48927234,7613042,1765,150,-318783,1760,56980092,1735,58844627,7613042
24,0853,NT,55,20,-94188,55,443426,45,444551,0,390,105,-594004,390,24627785,390,23606900,4441226,445,130,-688192,440,25071211,435,24051451,4441226
25,0854,NT,135,5,1660,130,1909419,125,1873362,0,265,20,-122811,265,14413550,265,14038422,2293103,400,20,-121151,395,16322969,395,15911784,2293103
26,0860,NT,150,15,-34012,150,2037509,150,1980870,0,745,150,-891924,745,45039537,745,42749317,7693800,895,165,-925936,895,47077046,890,44730187,7693800
27,0862,NT,90,5,-18928,90,-707430,85,1160079,0,150,15,-12981,150,7455335,150,6991755,981741,240,15,-31909,240,6747905,235,8151834,981741
28,0870,NT,2345,220,-787793,2310,26215297,2235,26348061,0,10925,2080,-10276504,10925,672908038,10925,645770736,127389178,13270,2300,-11064297,13230,699123335,13155,672118797,127389178
29,0872,NT,1350,20,-128022,1345,18271375,1330,17643973,0,2125,250,-1215945,2125,104410183,2125,100738682,15532063,3475,270,-1343967,3470,122681558,3455,118382655,15532063
30,0880,NT,245,40,-178858,240,2985423,235,2913115,0,765,295,-2612780,765,62413047,765,60438867,14356394,1010,340,-2791638,1005,65398470,995,63351982,14356394
31,0885,NT,100,30,-192693,95,1006947,80,1014079,0,530,215,-1846287,530,45775147,530,44366575,10586399,630,245,-2038980,625,46782094,610,45380654,10586399
32,0886,NT,155,20,-211400,155,1721593,145,1655639,0,690,175,-1198217,690,47217886,690,45790538,9456193,845,195,-1409617,845,48939479,835,47446177,9456193
