,"Taxation statistics 2012–13 Individuals: Selected items by taxable status, state/territory and postcode, 2012–13 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Taxable status,State/Territory1,Postcode,"Number of individuals
no.",Number of individuals with private health insurance no.,"Taxable income or loss
no.","Taxable income or loss
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances, earnings, tips, director’s fees etc
no.","Allowances, earnings, tips, director’s fees etc
$","Employer lump sum payments - Amount A in lump sum payments box
no.","Employer lump sum payments - Amount A in lump sum payments box
$","Employment termination payments (ETP) - taxable component
no.","Employment termination payments (ETP) - taxable component
$","Australian Government allowances and payments like newstart, youth allowance and austudy payment
no.","Australian Government allowances and payments like newstart, youth allowance and austudy payment
$","Australian Government pensions and allowances
no.","Australian Government pensions and allowances
$","Australian annuities and superannuation income streams - taxable component - taxed element
no.","Australian annuities and superannuation income streams - taxable component - taxed element
$","Australian annuities and superannuation income streams - taxable component - untaxed element
no.","Australian annuities and superannuation income streams - taxable component - untaxed element
$","Gross interest
no.","Gross interest
$","Dividends - unfranked amount
no.","Dividends - unfranked amount
$","Dividends - franked amount
no.","Dividends - franked amount
$","Dividends - franking credit
no.","Dividends - franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work-related car expenses
no.","Total work-related car expenses
$","Work-related travel expenses
no.","Work-related travel expenses
$","Total work-related uniform/clothing expenses
no.","Total work-related uniform/clothing expenses
$","Total work-related self-education expenses
no.","Total work-related self-education expenses
$","Other work-related expenses
no.","Other work-related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total Deductions3
no.","Total Deductions3
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production amount
no.","Net primary production amount
$","Net non-primary production amount
no.","Net non-primary production amount
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Personal services income - Net PSI - transferred from item P1
no.","Personal services income - Net PSI - transferred from item P1
$","Deferred non-commercial business losses - primary production deferred losses
no.","Deferred non-commercial business losses - primary production deferred losses
$","Deferred non-commercial business losses - non-primary production deferred losses
no.","Deferred non-commercial business losses - non-primary production deferred losses
$","Net capital gain
no.","Net capital gain
$","Total current year capital gains
no.","Total current year capital gains
$","Net capital losses carried forward to later income years
no.","Net capital losses carried forward to later income years
$","Assessable foreign source income
no.","Assessable foreign source income
$","Other net foreign source income
no.","Other net foreign source income
$","Foreign income tax offset
no.","Foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent - interest deductions
no.","Rent - interest deductions
$","Rent - capital works deductions
no.","Rent - capital works deductions
$","Rent - other rental deductions
no.","Rent - other rental deductions
$","Net rent – profit
no.","Net rent – profit
$","Net rent – loss
no.","Net rent – loss
$","Net rent3
no.","Net rent3
$","Other income - Category 1
no.","Other income - Category 1
$","Other income - Category 2
no.","Other income - Category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Zone or overseas forces tax offset
no.","Zone or overseas forces tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Employment termination payment tax offset
no.","Employment termination payment tax offset
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Total Net income or loss from business3
no.","Total Net income or loss from business3
$"
2,Non Taxable,ACT,2600,1030,635,985,8476734,235,314515,5,4099.97,0,0,0,0,5,14359.48,485,6421839,85,371542,5,15602,5,1978,70,444081,110,940528,15,72516,115,1914906,660,1673690,110,60334,350,1023040,350,438207,1010,14202018,40,66375,20,36359,100,23811,20,78926,145,161251,30,22794,55,213820,35,206660,195,316711,315,3991516,570,5262061,15,22978.14,5,129954,40,177978,5,-101248,190,920351,105,93123.04,10,93318,0,0,15,146820,70,303574,125,1197741,145,2609521,135,519302,115,46802,105,62059.15,210,5987886,165,3834745,135,551472,210,3386739,80,667469,130,-2452539,210,-1785070,50,1110628,20,20221,5,73850,20,59844,0,0,0,0,145,37462,5,1246.94,5,34164.06,75,3655443,75,4061190,80,-590700
3,Non Taxable,ACT,2601,965,275,935,8582813,115,113060.13,5,508.26,0,0,0,0,5,2425,735,7002966,90,153624,5,901,0,0,120,823021,30,293953,5,997,20,291890,575,621471,30,16494,90,188154,85,79914,945,9362498,20,49748,35,19708,110,21703,20,108367,90,60069,20,40463,15,21266,10,44314,90,49084,120,65372,335,539970,5,783.29,5,57182,35,52262,5,-121810,50,63166,15,6603.91,5,16100,0,0,5,22210,20,106774,30,267683,45,1645595,25,109266,20,7722,15,4799,100,2563783,75,1497117,60,322491,100,1486101,45,308763,60,-1050689,100,-741926,30,47379,15,121614,5,35749,10,22798,0,0,5,1226.81,75,18912.47,5,192.7,5,44844.02,25,767633,20,682620,25,57568
4,Non Taxable,ACT,2602,3715,1670,3670,46777394,960,1141571.47,15,6110.84,0,0,5,-881,5,3615.26,2140,23187392,355,926386,15,40811,5,10520,495,3350709,550,4918729,35,125062,405,7197604,2345,4092028,280,92128,905,1525081,900,650155,3685,49929908,150,264345,80,82025,445,79002,90,216383,455,276701,80,40518,95,88211,70,156215,740,631601,820,323357,1780,2472829,95,135670,50,1039216,115,349061,10,-86626,390,1402397,205,132254,25,109975,5,19393,55,523348,140,493038,220,1628307,255,4136406,320,1062677,240,168371,225,106038.7,365,6553945,260,3596098,180,420785,365,3655483,170,1185783,205,-2304204,370,-1118421,85,124968,60,87242,15,145650,55,123616,0,0,5,2905.55,585,160981,30,9547.36,5,66467,330,10177231,315,9088484,345,668291
5,Non Taxable,ACT,2603,1040,605,1005,10894681,230,284905.63,10,1981.8,0,0,0,0,0,0,540,6325512,105,336525,5,9247,5,4727,95,648600,100,981023,10,58973,85,1570345,665,1287675,95,75452,305,902957,305,386173,1020,12549762,45,100653,15,53452,105,23270,25,117220,135,72989,20,20441,35,148972,25,47503,205,267818,270,174388,525,1149943,20,24774.14,15,249121,35,266411,10,-130103,175,683440,85,115835.08,10,53529,5,9160,10,164434,50,281333,90,1092477,125,4624636,135,524611,110,187289,85,25483.2,145,3582265,100,2348925,80,322777,150,2049017,55,420513,95,-1558967,150,-1138454,40,125975,15,33212,5,70000,15,42235,0,0,5,10419.5,135,38217.97,5,1761.41,5,46425.73,85,19125236,70,19828836,85,-838406
6,Non Taxable,ACT,2604,1140,600,1105,11169352,265,322629.98,10,6382.66,0,0,0,0,5,32978,590,7415107,95,197136,10,33584,5,15184,115,730092,125,1295892,10,39147,90,1437957,680,1290101,85,30871,295,480109,295,205854,1115,13471417,40,52070,15,8661,125,23936,20,105348,155,112558,55,46095,35,18843,25,25435,185,192141,340,150844,620,1336871,20,26474.96,30,405130,30,126556,5,-150077,170,-15784,90,49856.3,10,57464,0,0,20,457798,60,705995,100,1630257,120,3183795,130,685762,100,205122,90,87515.69,280,5916935,230,3441634,160,504624,280,3311796,100,680547,180,-2021666,280,-1341119,40,23529,20,4524,10,81791,25,515626,0,0,5,6685.55,160,46681.18,10,2621.76,5,10948.04,80,1825592,75,1793508,90,-239010
7,Non Taxable,ACT,2605,1470,850,1450,18906555,425,605094.84,10,3330.17,5,308.39,5,-4324,0,0,715,8244905,140,239696,10,24923,5,3598,110,679357,275,2358864,5,12441,220,4015076,985,2291612,160,38421,570,1024734,565,437233,1460,20422825,50,82229,25,36498,155,27621,25,124597,175,108489,25,8087,50,29791,55,48920,360,195649,395,152077,780,980219,65,87531.98,20,382296,50,237503,5,4541,210,412554,120,73047.47,10,41790,0,0,20,247226,80,577795,135,1563651,145,3402434,180,540062,135,178438,130,56854.52,185,3463955,125,1747947,90,234755,185,1864168,85,526051,100,-908966,185,-382915,30,18326,25,15010,5,76000,40,79168,0,0,5,9004.32,255,72109,10,3103.36,5,2816.54,95,4663121,80,5037305,100,-490845
8,Non Taxable,ACT,2606,1075,525,1055,13752310,290,392069.23,5,4318.63,5,1023.03,0,0,0,0,560,6729614,85,244683,5,683,5,1636,105,709324,200,1788061,10,34286,130,2370025,655,1072632,95,18371,300,490881,305,210293,1060,14721159,30,74518,20,11696,140,27226,20,51531,125,86228,15,5594,35,27057,25,27954,220,123216,265,126899,540,635757,25,31644.89,15,277283,25,97340,5,13767,145,566217,70,45855.17,5,41764,0,0,10,106768,40,81693,70,288892,90,1332191,110,434194,75,100308,75,73659,115,2412121,75,1419865,55,173449,115,1257491,60,353677,55,-792361,115,-438684,30,69840,15,68693,5,24200,10,37913,5,27.91,5,688.96,175,47433.41,10,2881.91,5,3147.28,70,8001004,65,7691123,75,51697
9,Non Taxable,ACT,2607,1930,1065,1885,24749038,555,699375.29,10,5781.64,0,0,0,0,5,706,930,11211597,175,387912,5,12400,5,2281,130,777235,330,2758889,15,118279,245,4205705,1250,2642757,225,72152,660,1210056,655,517332,1900,26686213,90,131914,35,31312,225,36784,30,64369,205,95688,35,27280,65,70417,45,104061,400,169587,475,237944,965,1313487,55,69235.72,20,319238,50,163279,10,-180032,275,1087092,140,100664.7,10,76805,5,26044,15,187860,110,423708,160,1224644,190,3024760,215,827860,155,170501,145,76412.95,240,4785508,160,2361807,135,365957,240,2639083,125,768265,120,-1349604,245,-581339,70,231344,25,46439,10,47100,25,280613,0,0,5,5303.82,345,94176.9,25,9350.98,5,17636.88,140,9039113,130,8427440,140,477111
