,"Taxation statistics 2012–13 Individuals: Selected items, by state/territory and postcode, 2012–13 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,State/Territory1,Postcode,"Number of individuals
no.",Number of individuals with private health insurance no.,"Taxable income or loss
no.","Taxable income or loss
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances, earnings, tips, director’s fees etc
no.","Allowances, earnings, tips, director’s fees etc
$","Employer lump sum payments - Amount A in lump sum payments box
no.","Employer lump sum payments - Amount A in lump sum payments box
$","Employment termination payments (ETP) - taxable component
no.","Employment termination payments (ETP) - taxable component
$","Australian Government allowances and payments like newstart, youth allowance and austudy payment
no.","Australian Government allowances and payments like newstart, youth allowance and austudy payment
$","Australian Government pensions and allowances
no.","Australian Government pensions and allowances
$","Australian annuities and superannuation income streams - taxable component - taxed element
no.","Australian annuities and superannuation income streams - taxable component - taxed element
$","Australian annuities and superannuation income streams - taxable component - untaxed element
no.","Australian annuities and superannuation income streams - taxable component - untaxed element
$","Gross interest
no.","Gross interest
$","Dividends - unfranked amount
no.","Dividends - unfranked amount
$","Dividends - franked amount
no.","Dividends - franked amount
$","Dividends - franking credit
no.","Dividends - franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work-related car expenses
no.","Total work-related car expenses
$","Work-related travel expenses
no.","Work-related travel expenses
$","Total work-related uniform/clothing expenses
no.","Total work-related uniform/clothing expenses
$","Total work-related self-education expenses
no.","Total work-related self-education expenses
$","Other work-related expenses
no.","Other work-related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total Deductions3
no.","Total Deductions3
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production amount
no.","Net primary production amount
$","Net non-primary production amount
no.","Net non-primary production amount
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Personal services income - Net PSI - transferred from item P1
no.","Personal services income - Net PSI - transferred from item P1
$","Deferred non-commercial business losses - primary production deferred losses
no.","Deferred non-commercial business losses - primary production deferred losses
$","Deferred non-commercial business losses - non-primary production deferred losses
no.","Deferred non-commercial business losses - non-primary production deferred losses
$","Net capital gain
no.","Net capital gain
$","Total current year capital gains
no.","Total current year capital gains
$","Net capital losses carried forward to later income years
no.","Net capital losses carried forward to later income years
$","Assessable foreign source income
no.","Assessable foreign source income
$","Other net foreign source income
no.","Other net foreign source income
$","Foreign income tax offset
no.","Foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent - interest deductions
no.","Rent - interest deductions
$","Rent - capital works deductions
no.","Rent - capital works deductions
$","Rent - other rental deductions
no.","Rent - other rental deductions
$","Net rent – profit
no.","Net rent – profit
$","Net rent – loss
no.","Net rent – loss
$","Net rent3
no.","Net rent3
$","Other income - Category 1
no.","Other income - Category 1
$","Other income - Category 2
no.","Other income - Category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Zone or overseas forces tax offset
no.","Zone or overseas forces tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Employment termination payment tax offset
no.","Employment termination payment tax offset
$","Total business income - Primary production4 
no.","Total business income - Primary production4 
$","Total business income - Non-primary production4 
no.","Total business income - Non-primary production4 
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Net income or loss from business - Primary production4 
no.","Net income or loss from business - Primary production4 
$","Net income or loss from business - Non-primary production4 
no.","Net income or loss from business - Non-primary production4 
$","Total Net income or loss from business3
no.","Total Net income or loss from business3
$"
2,ACT,2600,5755,4455,5710,544781498,4960,155433316,4350,7528054,115,129935.46,4725,156305841,350,1439237.18,4025,330601387,740,5694789,80,2602442,75,2521256,175,867475,195,1452867,165,1693504,970,42666885,4105,14852802,850,1169263,2320,49956733,2315,21399382,5735,573299830,1020,2775095,495,831025,1040,308191,290,660913,2580,3450898,285,199880,360,1166863,390,2162337,2670,3204085,2835,6109259,4870,27105815,835,3572230.43,390,7007890,840,9493086,40,-240881,1395,60517230,690,6273253,50,1200811,10,149304,65,814764,485,8850681,805,29272100,980,58026053,800,3281766,710,1107486,640,438954.79,1560,41760840,1245,25411930,930,3670869,1575,23053577,575,6131729,1005,-16507265,1580,-10375536,520,2073361,135,227115,225,4601346,410,1540318,15,6645,495,403479.89,2035,597403.61,425,158482.66,130,1220795.99,32,2612054,373,60365814,400,63260359,390,33061234,40,198801,392,27225800,425,27651931
3,ACT,2601,2650,1360,2620,156007924,1800,37896737,1460,1985516.4,70,81371,1685,38529239,220,923355.66,2185,125396805,370,2651642,20,525498,25,649282,195,1192431,45,371161,45,441065,175,7039958,1775,3622769,180,575012,485,5483443,480,2344927,2630,162306713,395,876938,255,294989,555,151234,185,509654,1045,1217763,115,132542,95,89945,70,346750,795,613165,870,522721,1775,5905047,150,589863,125,2145477,275,2254607,10,-279840,265,6438724,125,1133175,15,130455,0,6599,25,145963,105,2172750,175,5213892,270,8038108,165,1132820,130,159775,130,169779.89,545,14057264,435,7518401,345,1366009,550,7749521,210,2242700,340,-4819367,550,-2576667,165,101174,45,279284,25,516019,115,620519,0,1825,85,91286.12,820,246014.75,75,29420.81,40,214253.32,8,172608,108,8148446,120,8371891,110,4671619,9,64021,114,3526811,125,3632912
4,ACT,2602,19110,12325,19065,1258614570,16355,284355118,14650,17178278,590,687168.26,15400,287725091,1745,6954763,15525,1045005856,2310,8101043,235,5061280,205,3167167,1075,5975182,940,7201386,420,3129933,2165,75338574,13075,27229224,1695,1082919,5525,25466794,5500,10887482,19080,1300797247,3580,6609729,1695,1956768,4270,1005123,1165,2565722,9325,9033462,875,553563,720,820724,680,2396633,8990,6248164,7840,3503514,15570,41103760,1685,5340585.72,965,17223499,2265,19349752,60,-703680,2465,39795220,1305,4012415.62,130,2289510,25,524081,260,2424762,995,11439435,1525,28738018,1850,30661809,1755,5426660,1505,1467037,1360,520146.91,3430,71800358,2855,43206633,1930,5693590,3485,38619168,1180,10422534,2325,-26141246,3505,-15718712,965,954325,315,741474,235,4049535,975,2220724,50,22774.02,1275,832997.57,8150,2422704,870,337985.59,405,3563954.93,48,511097,1211,72925917,1260,73445664,1235,45297482,61,-444763,1294,26855492,1355,26418974
5,ACT,2603,6180,4725,6150,615488783,5370,177086957,4880,8674996,145,328641,5140,180669996,440,1854997.94,4600,373517913,775,5609488,75,1701063,70,1168153,225,1225973,170,1557289,155,1611886,735,32091329,4380,15509702,855,984025,2400,40873890,2390,17514066,6165,641870104,1180,3139182,490,661678,1200,330714,330,999558,2815,3258594,305,225795,330,1249927,360,2239740,2760,3160393,2885,3082913,5145,25540978,650,2672002.66,395,7511849,895,10130041,45,-662205,1560,87666751,740,10317209,45,1434477,10,1009019,60,751888,465,18881089,765,46266241,925,33631407,770,4484436,700,2137152,600,482931.86,1530,45263237,1235,27944624,885,3780810,1550,25114995,525,6734346,1035,-18311538,1560,-11577192,615,1192512,115,206749,225,4903593,435,2204814,25,10721,490,353748.4,2135,630815.63,385,151974.88,130,807760.52,30,655257,425,106439773,450,107021615,430,64658412,41,-998352,443,42802976,475,41812797
6,ACT,2604,7165,5070,7130,566813599,6285,142567504,5600,7721561,260,312385.68,6025,146283417,830,3654001.18,5970,491470590,1060,4468276,90,1944853,75,1311802,285,1368105,210,1805084,130,852901,640,23647326,4820,10721436,720,687368,2060,14274082,2050,6122702,7145,589850655,1500,3247053,705,992872,1730,482088,535,1320485,3840,4194466,425,316935,295,918214,280,1233867,3160,2896796,3295,1764942,6090,21378378,490,1708983.25,695,10911239,840,7743864,20,-269631,990,18212375,560,2005057,40,771826,0,172365,85,1165889,430,6232449,675,15917703,765,20502544,720,3246963,635,1401166,575,356293.43,2000,44753380,1745,27429983,1200,3806570,2035,24569408,630,5561054,1405,-16613635,2035,-11052581,420,575645,125,243978,100,1606696,410,2356149,40,13876,440,336887.6,2560,737180.43,330,130455.63,130,702248.72,24,308220,366,23186062,395,23631368,365,13122682,30,-210675,386,10544632,425,10027124
7,ACT,2605,7520,5565,7500,577670114,6475,144414959,5780,7943835,185,216041.05,6055,144611021,350,1425622.61,5570,425204412,990,3814510,100,2843269,65,1620961,225,1162566,475,3396660,200,1622743,1305,48747264,5245,15611915,1065,963338,3025,20719294,3015,8869017,7505,600285114,1435,2795107,595,661186,1575,389000,385,884296,3585,4087777,335,209026,400,623192,460,1863881,3880,3970143,3590,1872174,6325,21951559,1085,3856015.15,620,10881491,1080,10325380,25,-85331,1390,33306793,760,3207667.17,40,1824704,10,164196,80,858940,545,6631524,890,20526437,1030,18052995,955,2671739,825,813752,760,265946.73,1610,36426162,1300,21453462,965,2762253,1630,19690768,580,5561623,1055,-13037635,1630,-7476012,425,499134,150,277118,140,2672196,545,1860718,20,6622,675,516113.7,2895,862628.09,465,173066.17,160,1477532.98,25,627268,430,47807485,450,48417573,430,27228198,32,-349745,459,20899771,485,20550366
8,ACT,2606,5840,3650,5820,377685009,5055,84464331,4520,5174219,150,149352.49,4765,85751611,410,1644377.48,4640,301364318,810,2767585,55,1073114,50,838555,230,1242075,345,2684134,90,837727,660,22709056,3840,7862240,530,301667,1545,8584364,1540,3678384,5825,392589898,1210,2375139,455,413584,1745,434664,390,956223,2860,2919209,240,154034,235,396884,215,620945,2450,1687225,2595,1036253,4815,13750812,515,1752760.85,470,8243954,650,5300324,15,-60977,790,24190243,390,1791143.99,40,1184251,10,70516,55,587082,295,3464182,440,8417023,560,8515881,500,1742418,415,383029,375,189526.56,1020,25909094,850,15416054,595,2143593,1025,13739710,370,4116288,660,-9506551,1030,-5390263,295,231961,80,146001,100,2028563,290,682488,15,9039.91,380,230112.24,2665,798714.85,330,129994.66,95,413527.98,17,162335,304,30307554,320,30553889,325,18726948,24,-246842,329,11301061,350,11137227
9,ACT,2607,9260,6635,9215,629594104,7885,147176012,7040,8680266,200,211389.55,7330,146953591,380,1518260.71,6750,468005535,1095,4264977,125,3096573,95,1842799,305,1439988,590,4142783,220,1607516,1575,57905976,6245,15829503,1175,857706,3400,25173982,3390,10775447,9230,654677970,1865,3976280,695,896213,2185,534306,465,992123,4150,4245288,420,310026,470,484219,515,1778015,4370,3813174,4235,1970105,7590,24247989,1285,4586447,600,10361948,1190,10636288,35,-342072,1560,30010407,780,2876968.29,65,2376383,0,208406,80,698087,580,7094936,895,17568222,1205,32492109,990,2825333,820,583156,740,171151.46,1900,44477213,1550,27153865,1185,3946585,1920,23141909,670,6303442,1260,-16067778,1930,-9764336,540,766860,130,363240,195,3404804,565,1781039,10,3796,825,617712.65,3975,1195843.07,630,251085.01,215,1327106.29,15,284941,579,57630565,590,57791906,560,36017799,24,-284553,594,21605160,615,21210724
