,"Taxation statistics 2013–14 Individuals: Selected items by state/territory and postcode, 2013–14 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode,State/Territory1,Number of individuals,Number of individuals with private health insurance,"Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$",Foreign source income other net foreign source income,Foreign source income other net foreign source income,"Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,Net rent - loss no.,Net rent - loss $,"Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - Primary production4 
no.","Total business income - Primary production4 
$","Total business income - Non-primary production4 
no.","Total business income - Non-primary production4 
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Net income or loss from business - Primary production4 
no.","Net income or loss from business - Primary production4 
$","Net income or loss from business - Non-primary production4 
no.","Net income or loss from business - Non-primary production4 
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Net medical expenses over the threshold amount tax offset
no.","Net medical expenses over the threshold amount tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Termination payment tax offset
no.","Termination payment tax offset
$"
2,2600,ACT,5712,4561,5647,538442817,4912,151586971,4351,7448216,127,146407,4669,152258293,344,1489456,3938,332671777,710,4992765,84,2859550,76,2984685,175,839202,168,1477468,162,1886259,988,44868640,4020,13281883,826,1194945,2274,30615451,2269,13113133,5685,565385221,999,2729161,515,902530,985,284288,309,620545,2476,3396617,308,225499,325,924417,380,1993910,2588,2766284,2718,4044583,4716,25830600,356,6842532,829,10477459,46,-63778,1383,66675316,715,8085164,35,1521193,8,233931,80,1322044,588,11758188,510,3476331,859,27072618,932,58862757,733,4091729,628,1252789,571,601532,1566,42365033,1260,23338420,955,3841353,1582,23873037,598,6061711,987,-14737387,1585,-8675676,470,1387278,116,357172,247,6228019,389,1643971,27,1720828,385,68928008,414,70996041,407,38083757,35,-301724,410,31702462,448,31506205,257,11786208,867,3816922,275,282706,1918,559392,385,145409,131,926735
3,2601,ACT,2777,1530,2739,185714157,2028,47434463,1699,2446428,59,73605,1935,48061308,294,1260178,2306,148191129,351,2439024,31,977463,20,936409,188,1158732,35,287242,42,382739,195,7904504,1848,3582271,196,812412,498,8126665,496,3482424,2748,193642224,434,1038967,289,514975,564,156066,247,704817,1142,1362410,131,122512,84,112699,86,429400,885,1044420,958,621595,1923,7228122,148,2634353,274,2369035,17,-72321,265,9231520,139,1164170,11,74925,4,47763,27,173726,142,2162630,119,620060,208,5357770,256,10216968,178,1327644,149,228884,126,148480,546,13827589,447,6968811,359,1508944,554,7870209,208,1996942,346,-4519894,554,-2522952,148,122960,44,198290,32,725900,122,387481,11,513614,125,9194579,137,9715131,132,6693291,11,-154538,130,3105503,142,2956143,75,859264,166,632370,39,44929,918,275019,85,34042,41,589340
4,2602,ACT,19072,12831,19005,1304985641,16237,303264473,14507,17839608,509,625012,15338,307009244,1638,6605251,15410,1057178694,2220,7751894,319,8842512,226,4498245,1183,6832820,913,7570435,460,3724416,2234,79210216,12976,25306903,1695,1250526,5338,30471623,5324,13043890,19034,1349612755,3584,6998484,1690,1917760,4294,1081810,1252,2328769,9212,9129905,901,602957,620,783823,676,2032942,8897,7185603,7771,3367863,15487,43639801,932,16620264,2289,21241304,62,-1670652,2301,45133049,1284,5823809,125,2311170,27,595465,287,2337210,1155,22260990,990,7789004,1657,71264196,1709,30603091,1670,7093529,1412,2608190,1263,747967,3503,74315049,2906,40374027,2048,6366252,3542,40147441,1289,10817460,2266,-23390161,3555,-12572701,926,1128964,285,1030582,281,5742188,930,2288655,65,712073,1212,73812940,1276,74549326,1249,46127511,75,-410714,1299,26788343,1371,26349341,708,6737774,1766,5913548,632,583527,7715,2298210,786,309391,459,3222603
5,2603,ACT,6210,4867,6173,721291725,5452,221690634,4949,10206982,119,144239,5224,225617375,469,2026019,4592,385824428,750,6791026,79,3321948,66,3976097,238,1403906,150,1405523,147,1894617,766,34829467,4355,14805820,815,2143905,2304,64751261,2302,27723781,6190,749493295,1193,3253237,478,651164,1166,341754,371,969583,2799,3435025,317,240825,312,1680764,382,2821182,2735,3520698,2768,2246827,5097,27521057,414,7799272,932,12006512,46,-420322,1546,100779794,809,13205961,41,2099751,9,1239656,57,1238431,600,50808080,547,21218931,859,110384433,862,29006005,745,6172742,678,2885538,586,539400,1571,48221174,1263,27086258,977,4447779,1594,28119954,597,6912020,1010,-18344837,1607,-11432817,530,762715,96,206950,241,5837103,437,2452172,24,800421,432,96253356,453,97053777,445,53576431,32,-1127630,450,43989812,476,42862182,313,16450924,659,2924722,254,294808,2044,605486,384,148338,132,1428425
6,2604,ACT,7205,5238,7165,590075489,6346,151089994,5639,8015355,202,293236,6102,154362532,835,3740669,5979,501643762,1104,4608740,104,2528190,88,1426206,276,1395204,205,1800629,139,1171788,664,25784653,4856,9342651,681,921743,1981,15125044,1970,6470194,7181,612893358,1646,3547180,746,994621,1771,519105,560,1244143,3873,4293291,410,294289,237,735750,270,1135838,3135,2500060,3307,1843331,6098,20997147,682,12079490,826,8090746,20,-99200,966,21987088,556,3334068,40,831417,3,93939,93,1173328,502,6854805,432,2018198,696,18118822,725,19041962,694,3944786,599,1811159,529,517755,1974,45657680,1727,25927955,1231,4459194,2001,25550087,598,5544630,1403,-15824186,2001,-10279556,450,514169,106,235062,96,2050367,410,1786187,20,323412,351,28154856,377,28861320,364,17125164,29,-210363,377,11311218,412,11015083,215,3455954,510,1936415,216,218405,2532,708148,317,120186,168,1081737
7,2605,ACT,7433,5682,7399,583333198,6398,147338826,5734,8006044,159,205822,6024,147063094,324,1301563,5419,422986999,938,3621157,131,3789215,86,2009670,222,1258347,451,3475937,215,1853160,1379,52263558,5146,13513947,967,1153839,2920,23183617,2914,9931093,7408,605826898,1434,2910831,600,624904,1547,396557,387,918193,3484,3917957,349,217772,343,570337,443,1604401,3676,3635882,3511,1764911,6146,21911402,630,11571208,1085,12402269,30,-181590,1286,31097569,748,3251465,42,909067,9,80421,73,635345,623,8560730,526,2647456,908,20593663,935,17494353,905,3512299,769,954178,703,526907,1612,36732224,1302,19564779,1001,3011306,1634,20635452,603,5585742,1039,-12065055,1642,-6479313,411,663058,123,139066,156,3563691,520,1723800,29,963261,420,51215390,444,52178651,430,29413399,33,-425323,443,22553704,469,22128381,293,7164923,1153,4213511,366,359171,2852,863350,424,165454,194,1496604
8,2606,ACT,5902,3830,5880,403453334,5087,94019823,4553,5514975,119,144564,4813,94532444,374,1542847,4691,314129471,876,2621819,94,2397534,69,1088900,261,1409343,370,3005584,110,1301062,694,23925432,3852,6958801,549,419374,1522,9563882,1521,4098717,5884,418744144,1250,2610463,469,525988,1771,461980,406,949223,2928,3097849,260,171378,211,345214,223,550180,2428,1697645,2530,1087759,4797,15116131,527,9071150,694,7182681,13,-95532,775,25213446,400,1833774,41,1183944,9,154155,60,773835,336,8317759,281,2760984,473,18528656,544,8960967,485,2123564,395,337172,353,421298,1052,26390730,879,14987419,643,2462818,1075,14467465,360,3989004,717,-9515976,1077,-5526972,303,560840,70,198262,97,2353669,289,1214741,17,404006,296,31788759,312,32192765,297,20500199,23,-91817,318,11263148,339,11171331,198,3419014,555,1909298,191,166563,2554,775252,297,116325,133,1179016
9,2607,ACT,9244,6825,9204,646705959,7876,153981975,7065,8939415,154,195428,7372,153028521,360,1338020,6686,473924012,1128,4319512,158,5131244,107,3112679,284,1478084,586,4258518,237,1914775,1598,60358370,6142,14624484,1093,986575,3272,23860996,3269,10217711,9214,671366787,1945,4122082,664,832446,2205,541040,493,967360,4142,4442248,427,331332,394,420039,500,1678976,4340,3070707,4241,1964448,7556,24181991,630,11782265,1191,12020345,31,17901,1499,31896824,795,3241857,56,2148577,4,11809,99,812563,683,9546929,568,2785510,998,23163450,1099,22157203,951,3364289,761,831500,687,177820,1966,46638795,1612,26323891,1268,4520578,1995,25102378,702,6804653,1299,-16112705,2001,-9308052,466,505411,109,267050,192,3970785,575,1767646,19,104235,570,50093516,588,50197751,561,28050833,24,-98660,594,21733709,616,21635049,350,6028729,1338,4864745,467,424617,3906,1170403,548,214840,230,2212028
