,"Taxation statistics 2014–15 Individuals: Selected items, by taxable status, state/territory1 and postcode, 2014–15 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,"Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss - primary production no.,Net income or loss - primary production $,Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Total net medical expenses tax offset
no.","Total net medical expenses tax offset
$","Low income tax offset
no.","Low income tax offset
$","People with private health insurance
no.","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$"
2,ACT,2600,5592,5541,565588274,4885,163954283,4341,10491506,113,161716,4664,169701677,339,1463835,3800,331399606,655,4062844,82,2584958,62,1428328,146,877840,169,1370090,161,1766173,1022,47774088,4024,11651470,802,1251045,2210,30022311,2205,12864201,5562,594869055,1019,2645719,477,824996,948,277564,321,917018,2399,3296863,309,224748,272,743581,359,1958068,2519,4595152,2647,3483089,4560,28334633,367,6455746,906,13278805,45,39197,1388,65469515,727,7652606,36,2006698,5,239511,75,2220516,686,42546159,612,17320768,949,89962270,878,60240161,721,4514171,624,1795259,569,780615,1565,42268655,1254,21766743,968,3986026,1574,24281475,601,6242259,979,-14007848,1580,-7765589,426,1439236,120,759341,272,7475289,413,1813798,20,497155,398,69180895,416,69678050,410,34516025,27,-354029,423,31338737,446,30984708,280,12061834,909,4105628,188,228538,1908,548535,4532,3665,101405483
3,ACT,2601,2792,2762,181544596,2034,45335816,1703,3176065,73,88021,1926,47391002,271,1243173,2285,150532915,332,2191506,40,1129362,33,746906,194,1280145,50,357478,46,377313,200,8194050,1872,3781960,191,762067,497,4478065,497,1918821,2761,188878160,401,983915,273,470309,552,169899,209,550749,1109,1390285,141,146286,69,110330,71,347502,831,1070493,914,516841,1815,7030838,146,3174364,266,2626835,9,17732,266,5342905,147,673930,12,123274,2,11386,36,261559,165,3583469,141,1245951,214,10947132,216,5193626,186,1729177,153,459020,141,208901,570,13918710,458,6969054,376,1636178,572,7752878,202,1827699,370,-4267099,572,-2439400,122,46804,29,26842,34,895874,119,368098,9,393164,135,8977088,144,9370252,140,5718956,10,-198639,141,3567553,151,3368914,83,1099452,167,659393,23,25202,850,254413,1587,2229,43561012
4,ACT,2602,19096,19029,1303424567,16234,302209555,14377,23514522,427,562308,15319,312556127,1516,6109293,15313,1053243090,2203,7411555,325,9877883,222,3722203,1196,7442468,904,8010276,522,4754045,2309,86195220,12850,23138665,1691,1482361,5303,31977726,5293,13674467,19051,1350644210,3710,7476927,1642,1808849,4198,1107772,1157,2492023,9073,9255620,920,617230,498,793088,638,1987894,8482,7809175,7662,3501518,14981,46154136,924,16700400,2390,24695935,59,-1065295,2469,44916978,1356,4529344,138,3303427,24,687060,266,2326765,1396,15899460,1184,4323988,1874,39322720,1633,42396847,1728,8711989,1480,3822126,1366,1048281,3556,72800975,2935,38941115,2135,6749083,3599,40864462,1275,10588595,2331,-24342280,3611,-13753685,890,946895,240,627843,290,7089687,931,2090078,66,1031682,1264,73558140,1327,74589822,1304,45201772,84,-386960,1350,27782558,1426,27395598,796,6957148,1850,6549440,403,423186,7683,2312033,13055,14967,288632965
5,ACT,2603,6305,6270,706236866,5556,213104681,4998,13243433,124,164063,5304,223719827,486,2113416,4601,400241885,769,6826877,95,3875081,68,2643816,241,1404697,155,1461706,152,2066398,790,37445727,4435,13461884,840,1428731,2308,43710346,2305,18750447,6284,738987962,1254,3411853,526,775918,1166,345961,357,1023220,2776,3662483,343,247035,275,993657,354,2927607,2712,6759709,2791,2210604,5093,31959864,449,8177156,1003,14593422,49,-346235,1610,102874759,854,14398668,45,2316176,9,423572,81,1724901,748,49664022,660,20788703,1013,109862228,821,29170117,806,7709512,709,3963992,647,959658,1659,49254159,1332,26780765,1044,4956310,1689,29374897,612,6931451,1090,-18789264,1702,-11857813,519,923365,98,569698,260,7503511,420,2014843,20,1915558,433,101454037,451,103369595,432,55693269,30,-924492,457,46716022,480,45791530,329,18641488,677,3122478,163,256295,2033,608924,5016,4468,122477060
6,ACT,2604,7464,7418,623073392,6612,160501341,5843,11256661,188,249209,6338,167481175,872,3847753,6145,527901695,1091,3435308,99,3318029,91,2194725,290,1618869,240,2143823,161,1650101,692,28305305,4958,8113754,686,1175659,1987,14590347,1983,6231297,7441,645926488,1731,3735546,797,956501,1898,564876,633,1602090,3986,4655418,434,331222,224,321605,254,1061870,3235,2620300,3388,1929469,6235,21786813,708,11925412,873,10051350,18,773,1023,22249800,586,2681773,31,538134,10,29329,90,1188526,560,11392459,498,4037109,761,24220680,721,20611860,726,5614455,616,2661009,578,759823,2044,45609622,1781,25005679,1263,4626826,2068,26904833,633,4912599,1438,-15840315,2071,-10927716,442,463147,95,154215,113,2613310,394,1326282,17,498721,376,25743028,392,26241749,373,16165566,24,-162287,403,9137644,426,8975357,237,2905655,541,2116104,164,246280,2531,721359,5416,6023,155364315
7,ACT,2605,7384,7360,594014107,6381,151667039,5722,10863719,136,168581,6028,155374320,356,1484175,5378,426457937,965,3703195,123,3705904,81,1723073,208,1129672,450,3585821,230,2256651,1376,55530176,5122,12507288,991,1269223,2857,22651902,2854,9702505,7371,618438442,1397,2961335,621,726919,1553,406007,413,1057549,3428,4266481,385,231728,319,421762,405,1704854,3610,3811196,3478,1868125,6044,23947393,637,11345206,1177,14346531,36,81672,1367,36105327,767,4484929,43,934369,4,22515,81,849367,779,11304245,691,3631208,1042,27650176,864,16978738,906,4158411,787,1615812,737,552316,1652,37398746,1326,19474221,1048,3334459,1683,21331321,621,5363392,1066,-12104647,1687,-6741255,399,422696,107,447120,167,4276818,520,2141885,22,768425,435,51413880,454,52182305,436,30665033,30,-465836,459,21443666,483,20977830,298,7180780,1164,4508180,249,310988,2757,819580,5761,5251,123035432
8,ACT,2606,6119,6093,418067925,5342,96856815,4660,7502997,111,143795,5001,100187761,372,1546676,4843,322623208,949,2616442,80,2129820,66,797738,275,1578343,377,3187140,133,1219654,768,27372974,3993,6886378,555,463164,1542,11420236,1541,4885039,6099,434512762,1332,2712434,520,550697,1842,513564,450,1055337,3009,3580506,259,185752,161,248971,207,615876,2494,1713707,2628,1133685,4888,16324104,558,9663893,752,7353742,11,-116049,830,22756149,416,1829337,55,1346758,6,182575,71,681541,435,11015657,374,3534235,580,26857823,520,8024117,505,2352760,421,507775,389,243238,1043,25740600,859,13889780,636,2433325,1056,13944178,377,3963949,680,-8490632,1057,-4526683,269,286630,61,93704,118,3332514,281,647625,17,128995,318,33385328,335,33514323,312,21732785,19,-189182,331,11462542,350,11273360,197,3642276,620,2135150,137,129516,2650,792174,3993,4734,85358816
9,ACT,2607,9132,9089,642523502,7770,153858052,6921,11768209,164,206223,7287,157713858,337,1278027,6555,462774230,1162,4539437,109,3358949,78,2172035,316,1759449,601,4462997,261,2505816,1609,63543141,6014,13294732,1048,1557421,3122,21870078,3115,9356243,9099,668595468,1867,4061525,674,816006,2173,563678,469,1003656,4032,4410242,436,332852,340,437525,441,1571222,4067,3203658,4122,1998205,7285,24945593,646,12208469,1207,13988018,38,-1460280,1529,33544462,781,3033549,72,2683968,10,1097792,107,987526,748,17526098,628,6197471,1030,40157830,1000,22103588,928,3840496,747,1105760,708,215513,1929,45868179,1584,24622816,1302,4738673,1963,24442038,676,6345871,1292,-14281219,1971,-7935348,410,451342,87,156689,195,5009195,552,1466118,26,433959,550,49062535,573,49496494,558,26769287,28,-65462,580,21931162,604,21865700,355,6592354,1352,5186645,321,324666,3847,1163825,6878,6381,126678735
