,"Taxation statistics 2015–16 Individuals: Number of individuals, by state/territory, postcode and taxable income range, 2015–16 income year",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Notes,,,,,,,,
1,State/ Territory1,Postcode,"a. $18,200 or less","b. $18,201 to $37,000","c. $37,001 to $80,000","d. $80,001 to $180,000","e. $180,000 or more","f. $80,001 or more",Total
2,ACT,2600,685,728,1699,1789,680,na,5581
3,ACT,2601,730,424,659,696,149,na,2658
4,ACT,2602,2899,3314,6563,5799,882,na,19457
5,ACT,2603,790,848,1891,2031,918,na,6478
6,ACT,2604,872,912,2360,2685,558,na,7387
7,ACT,2605,1029,1103,2396,2263,646,na,7437
8,ACT,2606,823,1127,2392,1710,260,na,6312
9,ACT,2607,1387,1588,3167,2590,492,na,9224
10,ACT,2609,74,129,227,112,19,na,561
11,ACT,2611,2301,2745,6548,5449,671,na,17714
12,ACT,2612,1464,1629,3656,2895,536,na,10180
13,ACT,2614,1817,2234,4334,3469,470,na,12324
14,ACT,2615,3711,4823,11240,7087,409,na,27270
15,ACT,2617,3251,3881,7674,5138,501,na,20445
16,ACT,2900,176,188,505,369,36,na,1274
17,ACT,2902,1273,1663,3647,2471,260,na,9314
18,ACT,2903,810,1067,2315,1589,131,na,5912
19,ACT,2904,1067,1459,3315,2519,287,na,8647
20,ACT,2905,2218,3272,7670,4769,290,na,18219
21,ACT,2906,1379,1877,4618,3074,189,na,11137
22,ACT,2911,307,403,1162,956,72,na,2900
23,ACT,2912,613,702,1426,1006,68,na,3815
24,ACT,2913,2965,3709,8537,6157,582,na,21950
25,ACT,2914,1930,2270,5483,4662,416,na,14761
26,ACT,ACT other,77,123,295,164,26,na,685
27,NSW,2000,8701,6202,4996,2903,1405,na,24207
28,NSW,2006,16,16,17,22,8,na,79
29,NSW,2007,1577,1157,1297,739,109,na,4879
30,NSW,2008,1519,1296,1922,1113,175,na,6025
31,NSW,2009,2045,1729,2813,2343,833,na,9763
32,NSW,2010,3364,3714,6624,5324,1612,na,20638
33,NSW,2011,2682,2583,4814,3883,1326,na,15288
34,NSW,2015,845,1157,2797,2237,408,na,7444
35,NSW,2016,1304,1639,3138,2246,391,na,8718
36,NSW,2017,2329,2473,5175,3577,471,na,14025
37,NSW,2018,1680,2076,3595,1853,221,na,9425
38,NSW,2019,868,1266,2661,1613,170,na,6578
39,NSW,2020,1598,2051,3984,2028,195,na,9856
40,NSW,2021,1416,1734,3323,2907,1607,na,10987
41,NSW,2022,1614,1820,2723,2047,874,na,9078
42,NSW,2023,1013,1122,1988,1831,1300,na,7254
43,NSW,2024,1068,1290,2269,1963,971,na,7561
44,NSW,2025,815,843,1393,1416,873,na,5340
45,NSW,2026,4253,4472,7483,6058,2135,na,24401
46,NSW,2027,829,839,1589,1616,1122,na,5995
47,NSW,2028,468,592,1010,954,496,na,3520
48,NSW,2029,1027,1295,2086,1705,907,na,7020
49,NSW,2030,1449,1668,2562,2371,1769,na,9819
50,NSW,2031,3312,3959,7676,6263,1950,na,23160
51,NSW,2032,1947,1851,2728,1532,360,na,8418
52,NSW,2033,1469,1419,2359,1514,442,na,7203
53,NSW,2034,2014,2410,4754,3980,1311,na,14469
54,NSW,2035,3659,4293,7338,4804,1206,na,21300
55,NSW,2036,2746,3527,6151,3539,629,na,16592
56,NSW,2037,1893,1956,3246,2386,767,na,10248
57,NSW,2038,800,979,1863,1765,592,na,5999
58,NSW,2039,762,843,1653,1813,792,na,5863
59,NSW,2040,1668,2139,4303,3982,1166,na,13258
60,NSW,2041,1523,1735,2813,3168,1731,na,10970
61,NSW,2042,1975,2375,4777,3315,618,na,13060
62,NSW,2043,607,736,2081,2021,317,na,5762
63,NSW,2044,704,939,1998,1310,128,na,5079
64,NSW,2045,605,831,1196,919,423,na,3974
65,NSW,2046,2560,3070,5210,4394,1236,na,16470
66,NSW,2047,1121,1322,2325,2182,813,na,7763
67,NSW,2048,709,958,1803,1373,314,na,5157
68,NSW,2049,958,1370,2556,1771,389,na,7044
69,NSW,2050,839,913,1820,1722,323,na,5617
70,NSW,2052,81,30,13,na,na,9,133
71,NSW,2060,1569,1617,3111,3164,1171,na,10632
72,NSW,2061,674,626,1239,1336,676,na,4551
73,NSW,2062,621,725,1298,1443,610,na,4697
74,NSW,2063,742,693,981,1001,881,na,4298
75,NSW,2064,1044,1131,1929,1656,472,na,6232
76,NSW,2065,2844,3139,6377,6548,2174,na,21082
77,NSW,2066,3096,3368,6082,5515,2212,na,20273
78,NSW,2067,3931,3407,4724,3446,1085,na,16593
79,NSW,2068,1759,1885,2812,2575,1668,na,10699
80,NSW,2069,1709,1680,2403,2039,1400,na,9231
81,NSW,2070,1715,1596,2255,2069,1264,na,8899
82,NSW,2071,1903,1546,2262,1968,1194,na,8873
83,NSW,2072,1102,1009,1362,1104,553,na,5130
84,NSW,2073,2078,1836,2637,2588,1420,na,10559
