,"Taxation statistics 2016–17 Individuals: Selected items, by taxable status, state/territory1 and postcode, 2016–17 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152
0,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP Australian compulsory repayment due
no.","HELP Australian compulsory repayment due
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Work related car expenses
no.","Work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Work related uniform/clothing expenses
no.","Work related uniform/clothing expenses
$","Work related self education expenses
no.","Work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Total work related expenses
no.","Total work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
$","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","P&T net primary production distribution
no.","P&T net primary production distribution
$","P&T net non-primary production distribution
no.","P&T net non-primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carried forward
no.","Capital gains net capital losses carried forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Rent gross rent
no.","Rent gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,"Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Small business income tax offset
no.","Small business income tax offset
$","Low income tax offset
no.","Low income tax offset
$","People with private health insurance
no.","Private health insurance - your Australian Government rebate received
no.","Private health insurance - your Australian Government rebate received
$","Private health insurance rebate
no.","Private health insurance rebate
$","Excess private health reduction or refund (rebate reduced)
no.","Excess private health reduction or refund (rebate reduced)
$"
2,Non Taxable,ACT,2600,990,955,12178035,252,600927.61,12,18965.56,1,1458.43,0,0,0,0,0,0,397,4401009,342,541528,75,279560,4,15774,4,16615,53,360603,96,1059716,12,90905,120,2472204,693,1186167,130,53152,354,1125666,354,478354,968,14187298,26,30683,14,5066,51,10232,15,48334,91,69094,127,163409,33,21355,29,59730,33,71742,185,453817,270,191322,452,1499903,1,4705,4,42500,32,327922,7,-54845,189,1441125,102,164410.88,2,34462,2,35773,16,312645,90,321734,0,0,126,2172707,113,3788437,126,1231405,94,249769,93,321835.31,177,4400934,121,1791423,114,518682,178,2746807,76,630631,103,-1286609,179,-655978,13,29985,21,58603,15,441159,25,92138,5,154259,60,3579576,65,3733835,61,3577030,5,-37420,63,-122213,68,-159633,0,0,41,64404.2,1,35.7,167,52893.45,709,485,438487,62,31311.95,54,26106.34
3,Non Taxable,ACT,2601,926,900,8450463,106,100352.34,2,2035.1,0,0,0,0,0,0,0,0,679,6113507,597,680649,63,90397,0,0,1,1125,126,916816,29,240970,2,10375,30,604123,569,415333,34,15030,81,163436,81,69997,904,8935277,10,18667,14,14863,46,9532,12,38379,43,25289,83,106730,12,21707,7,7153,5,10756,63,102440,82,38152,176,332732,1,33772,1,5117,33,35712,3,31431,37,106284,27,25564.48,6,23834,0,0,4,112304,25,71265,0,0,33,158234,23,1419204,30,150743,21,14182,23,26554.89,50,1312416,27,471688,25,158574,50,736572,31,225870,19,-280288,50,-54418,5,4384,7,8977,1,35000,5,9913,3,9200,21,2044553,24,2053753,20,2170271,3,9200,23,-183977,26,-174777,0,0,9,12819.16,0,0,71,18469.66,360,128,92163,36,11833.38,9,3535.81
4,Non Taxable,ACT,2602,3940,3827,47998008,975,1233763.38,15,13376.38,0,0,0,0,0,0,0,0,2223,23026955,1936,2611023,320,691975,16,37522,11,11714,513,3966849,471,4724937,45,239913,410,7463959,2406,3059867,302,111505,917,1818262,915,774671,3848,50814577,112,189262,55,41259,293,58629,46,80487,324,189278,536,558915,69,38312,54,48427,52,80728,554,576958,695,291615,1401,2258899,23,413521,9,184957,90,427648,7,-77982,360,837441,229,130601.77,52,299989,2,10302,59,620007,221,637159,0,0,284,1682314,220,5004502,337,1748995,245,260525,242,238570.34,389,7266008,271,3232691,217,733428,391,4199528,186,1159068,207,-2058707,393,-899639,42,103863,31,99219,22,457623,69,148818,22,274806,316,8032267,337,8306765,307,6623835,23,83793,329,1174589,351,1258382,0,0,136,166699.66,8,224.42,609,180083,2093,1279,906389,148,51957.17,127,36297.11
5,Non Taxable,ACT,2603,1038,987,11801187,262,328895.92,8,8044.22,0,0,0,0,0,0,1,11442.8,477,5375858,396,734018,78,435224,1,595,2,2426,60,432174,92,1000960,15,101295,101,1842298,692,1156614,103,39713,295,887487,295,378280,1004,13428907,34,59568,12,3611,62,12612,10,30309,86,79528,135,185628,16,11846,21,52515,20,64516,149,164084,266,184827,435,1014377,6,93698,0,0,19,207470,9,-200383,172,749009,96,168128.95,16,72217,0,0,12,76963,82,341572,0,0,110,1172497,96,3846361,125,753521,90,132454,89,73165.68,165,4069096,99,1521357,80,365631,163,2798628,83,551821,84,-1168341,167,-616520,19,19142,10,13508,10,253478,24,86599,8,147635,59,1932192,67,2079827,58,1424106,8,73511,61,564422,69,637933,0,0,35,54596.92,1,22.02,168,48477.62,678,435,364649,52,24361.23,55,25994.12
6,Non Taxable,ACT,2604,1174,1128,12936892,282,339046.69,6,2922.44,0,0,0,0,0,0,0,0,590,6196065,519,757445,114,182505,4,21011,2,7153,119,909494,154,1705413,13,48684,117,2010125,695,907629,95,42329,296,647757,296,276176,1143,14914161,36,73973,16,14293,92,18065,16,29643,101,53051,176,189025,37,31775,15,22909,21,73494,139,227739,253,110060,460,903915,5,88980,5,74995,29,119763,8,690223,142,518352,82,50395.92,5,46066,2,8071,17,381973,78,175386,0,0,112,635192,86,2116255,133,459695,98,118638,97,38445.77,188,3949514,135,1662197,95,383203,188,2419071,87,520827,102,-1035784,190,-514957,12,24868,16,28734,5,95137,25,149010,5,140840,90,2522027,95,2662867,87,2220909,5,25962,98,80310,103,106272,0,0,30,40853.88,3,73.66,176,50491.51,690,464,337944,71,28828.31,62,23169.06
7,Non Taxable,ACT,2605,1392,1337,17530632,391,610069.88,9,7095.48,0,0,0,0,0,0,0,0,636,6467570,541,680118,128,215821,6,20143,1,1155,108,766666,221,2013994,24,155882,208,3532689,931,1488267,160,49536,491,935634,490,399504,1356,18780190,27,47473,24,18011,87,16561,17,19159,114,79684,170,180888,34,15799,26,88895,32,76169,242,275967,334,133077,579,1005057,14,201467,3,78462,40,367643,3,-9956,168,726267,103,107790.34,14,90175,1,1351,18,208289,111,248854,0,0,144,1039533,102,3613324,151,740822,114,133479,106,132214.41,192,3509918,112,1238464,108,262925,196,2099423,111,692581,85,-783475,196,-90894,14,77171,19,12271,10,171736,29,44030,10,80451,87,3189524,97,3269975,88,2769001,11,19438,90,338983,101,358421,0,0,57,73883.65,3,69.67,221,65800.83,909,586,489247,61,25160.39,60,20511.98
8,Non Taxable,ACT,2606,1168,1123,13006848,307,382532.74,3,1285.7,0,0,0,0,0,0,0,0,616,6891835,530,834755,114,404164,5,30601,5,38024,112,796646,196,1907240,10,40916,121,2225443,701,971205,102,30532,296,629946,296,267806,1132,14624196,39,74220,18,18588,110,22204,18,52141,126,117191,188,284344,17,7822,13,12634,16,29029,160,344319,233,107205,443,1375764,10,260699,3,42687,28,73734,6,93655,120,447511,70,66869.12,9,62917,3,45382,15,211000,67,153821,0,0,86,383873,75,1665831,97,224906,74,83856,73,32046.75,108,2961015,67,1247971,68,483138,109,1564435,57,454381,52,-788910,109,-334529,10,4344,12,11655,6,146497,23,442501,9,116153,63,4129374,72,4245527,67,3830266,11,22098,69,-750415,80,-728317,0,0,40,44017.01,2,96.86,194,57659,595,425,349089,46,19595.93,23,6808.81
9,Non Taxable,ACT,2607,1827,1771,21807198,478,676644.42,5,1831.74,0,0,0,0,0,0,0,0,862,9315454,761,1027015,176,324501,7,12402,4,15563,137,915170,290,2559057,21,137854,250,4614281,1172,1745258,200,118704,596,1153588,594,489787,1782,23162994,79,95761,38,22781,145,28489,20,67719,166,93909,262,308659,40,16134,29,47339,37,75695,276,164237,397,151648,709,1215561,16,330651,1,30133,37,165193,5,-47992,193,-104526,106,116805.09,13,76646,0,0,25,313274,115,435451,0,0,155,1161646,130,2698575,167,650529,116,-86234,108,76713.11,209,4652292,126,1544392,123,353484,210,2472551,122,948687,90,-666822,212,281865,14,25813,15,118417,11,281000,26,155671,5,72714,120,7454599,125,7527313,112,7219274,6,9385,124,13503,130,22888,0,0,91,103587.5,1,31.14,289,86841.9,1131,746,626411,75,31559.17,45,14182.97
10,Non Taxable,ACT,2608,20,19,218942,5,6763.43,0,0,0,0,0,0,0,0,0,0,4,54492,4,6964,0,0,0,0,0,0,4,34228,5,36533,0,0,2,45857,15,9238,3,2247,8,6003,8,2571,19,223094,0,0,0,0,1,405,0,0,2,644,2,1049,0,0,3,718,2,216,2,132,6,1168,8,4152,0,0,0,0,0,0,0,0,3,2139,2,459,0,0,0,0,0,0,2,4034,0,0,2,7808,3,23572,4,14690,3,4513,2,169,1,16009,1,10936,1,3166,1,5831,0,0,1,-3924,1,-3924,0,0,1,13,0,0,1,133,0,0,2,131181,2,131181,2,119848,0,0,2,11333,2,11333,0,0,0,0,0,0,1,196.11,10,8,6595,3,21.51,1,139.06
11,Non Taxable,ACT,2609,117,111,1543593,32,35015.96,1,569.96,0,0,0,0,0,0,0,0,65,721304,55,83023,11,40565,0,0,2,1339,27,241700,18,220660,0,0,9,147428,58,24505,6,662,18,26493,18,10808,115,1787206,5,8118,0,0,14,2459,1,3550,15,5447,23,19574,3,4449,1,200,2,15135,11,2873,32,28609,49,112712,0,0,0,0,2,217,6,56682,6,91909,2,829.9,3,5441,0,0,0,0,1,1127,0,0,4,22315,9,2561253,8,67399,3,5869,3,3021.78,17,454102,12,134312,9,48549,17,158793,10,154882,7,-42434,17,112448,0,0,1,20,1,33783,3,6788,2,33996,13,747908,15,781904,13,807908,2,-32085,12,2111,14,-29974,0,0,3,3320.82,0,0,19,6150,51,35,22901,6,1022.4,2,4.83
12,Non Taxable,ACT,2610,8,6,94515,3,612.89,0,0,0,0,0,0,0,0,0,0,5,73578,5,9109,4,688,0,0,0,0,1,2689,0,0,0,0,0,0,6,223,0,0,0,0,0,0,6,95673,1,421,1,152,1,196,0,0,1,389,2,1158,0,0,0,0,0,0,0,0,0,0,2,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31625,1,31625,1,13130,0,0,1,18495,1,18495,0,0,0,0,0,0,3,612.89,2,1,703,0,0,0,0
13,Non Taxable,ACT,2611,3337,3251,44007608,972,1418998.72,13,10151.7,0,0,0,0,0,0,0,0,1546,16747159,1353,1784296.3,309,584441,17,49735,9,41482,291,2117534,681,6515978,37,151863,515,9851613,2096,2299490,330,90864,1029,1897285,1028,810671,3268,47873115,115,192938,43,46162,285,64993,40,85246,280,174352,486,563691,71,34792,49,66108,59,69843,559,445699,744,579624,1404,2194741,27,506126,9,230467,75,380704,18,194384,364,1178774,205,187710.54,43,322182,2,24557,49,441694,208,522647,0,0,267,1527302,225,5624411,332,1387314,230,309783,213,121543.69,384,7331597,254,2844631,222,699316,382,4156477,183,1476909,204,-1845736,388,-368827,29,1280854,34,50753,15,241497,61,145653,22,527600,241,10006512,262,10534112,243,8790712,26,-32406,255,1362597,280,1330191,0,0,177,215114.12,3,24.26,571,172303.85,2040,1418,1123235,175,79830.12,86,26739.04
