,"Taxation statistics 2016–17 Individuals: Selected items, by state/territory1 and postcode, 2016–17 income year2",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151
0,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP Australian compulsory repayment due
no.","HELP Australian compulsory repayment due
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Work related car expenses
no.","Work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Work related uniform/clothing expenses
no.","Work related uniform/clothing expenses
$","Work related self education expenses
no.","Work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Total work related expenses
no.","Total work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers exempt from FBT under section 57A of the FBTAA 1986
$","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
no.","Total reportable fringe benefits amounts - Employers not exempt from FBT under section 57A of the FBTAA 1986
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","P&T net primary production distribution
no.","P&T net primary production distribution
$","P&T net non-primary production distribution
no.","P&T net non-primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carried forward
no.","Capital gains net capital losses carried forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$","Foreign source income other net foreign source income
no.","Foreign source income other net foreign source income
$","Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Rent gross rent
no.","Rent gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,"Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - primary production
no.","Total business income - primary production
$","Total business income non-primary production
no.","Total business income non-primary production
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$",Net income or loss from business - primary production no.,Net income or loss from business - primary production $,Net income or loss from business - non-primary production no.,Net income or loss from business - non-primary production $,"Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Small business income tax offset
no.","Small business income tax offset
$","Low income tax offset
no.","Low income tax offset
$","People with private health insurance
no.","Private health insurance - your Australian Government rebate received
no.","Private health insurance - your Australian Government rebate received
$","Private health insurance rebate
no.","Private health insurance rebate
$","Excess private health reduction or refund (rebate reduced)
no.","Excess private health reduction or refund (rebate reduced)
$"
2,ACT,2600,5646,5611,576633168,4907,164993913.97,4352,10671436.59,134,205674.47,4346,10855855.69,4656,170289025.28,401,1846461.8,3802,357751492,3684,112419159,656,4563468,81,3762586,67,3210936,121,656421,163,1502822,162,1972083,1047,51024023,4012,10224809,838,1241681,2172,27522757,2165,11520517,5624,611351563,1053,2451413,457,780746,920,266284,275,905829,2337,3376291,2732,7780563,297,214945,227,1499512,367,1511744,2415,4147217,2456,2233123,4459,27103103,134,3083758,211,4708818,945,13495338,48,331618,1352,63372059,763,7539659.13,32,1343514,11,146266,67,1223036,696,24348739,606,7895875.28,936,56853256,762,55460676,768,6235587,646,1959482,585,779965.46,1500,43617924,1181,19543095,968,4175096,1513,25697913,587,7213435,935,-13011615,1522,-5798180,150,8321166,99,738304,267,7731872,442,1887000,29,858550,391,60849091,418,61707641,395,30045872,31,-179634,415,30672717,445,30493083,299,11366843.12,909,4361401.88,285,173373.75,1784,530559.99,4622,3553,2686545,465,189454.25,1626,891847.1
3,ACT,2601,2820,2794,183152915,2000,45178374.47,1667,3132120.08,89,105784.73,1667,3233985.3,1894,47266441.38,291,1277633.89,2357,149628162,2268,42382276.64,334,2360153,23,590109,23,194217,226,1520696,40,325149,34,294482,193,8363652,1822,2361962,194,201891,492,4793609,489,2002167,2798,189973595,429,822539,262,423252,546,171548,174,526341,1073,1321021,1306,3264701,105,101367,42,73626,78,313664,764,968238,775,395010,1687,6488954,46,1020130,66,1148424,295,2687476,13,240989,240,6331399,131,465003.83,16,379480,4,53294,30,363963,157,2879008,132,916477.24,216,6397907,189,6575209,179,1120701,144,250422,138,164936.78,453,11805007,372,5798615,295,1366794,453,6760322,167,1373104,284,-3493828,454,-2120724,26,68401,19,231967,38,973220,125,387924,10,281939,131,15222802,142,15575346,133,8710198,14,-191117,140,6723100,152,6531983,89,2359258.42,153,665066.95,84,39077.2,853,263939.31,1667,1136,641478,208,67048.32,440,169220.25
4,ACT,2602,19924,19811,1420069972,16958,336545150,14800,25562502.52,560,723821.57,14797,26270462.36,15984,348422734.49,1775,7354946.7,15988,1152823429,15598,320212323.96,2247,8211708,276,6731560,182,4535136,1175,7120521,837,7288090,532,5380909,2399,93592981,12796,16385378,1884,1484442,5248,28489569,5237,12006202,19832,1468308172,3940,7264309,1757,2048305,4403,1191812,1004,2381716,9251,9646464,10978,22532606,895,622202,412,647304,615,1589049,8330,7944560,7455,3526021,15067,47470416,468,10601881,474,7752437,2542,26772308,56,-827077,2473,49404889,1483,4365835.51,218,4317678,22,828420,279,3267485,1590,21690965,1368,6413034.68,2002,50156847,1486,29418502,1852,10375812,1541,3762302,1480,1394550.2,3682,77928727,3021,37285277,2265,7554469,3722,44733663,1428,11076240,2304,-22720922,3735,-11644682,302,1044940,227,1011513,318,7900162,1031,2566208,68,1943290,1349,75848841,1413,77791823,1361,41841228,77,-465604,1426,35848058,1497,35382454,873,10188614.05,1912,7183122.51,832,342492.45,7793,2364761.88,13627,10761,6421004,1496,455740.63,3882,1443908.64
5,ACT,2603,6650,6599,734120641,5873,216972873.86,5285,13705504.27,144,185415.34,5278,13881566.5,5612,227144788.32,637,2820260.65,4882,437926592,4717,134935618.9,845,7548121,71,2876934,69,2372503,179,982389,162,1543109,159,2420751,872,44048582,4593,11254822,911,1462252,2295,43540195,2292,18254377,6616,764473279,1314,3036722,596,711297,1238,374218,316,863439,2835,3651542,3417,8637218,335,225276,224,1361816,386,2554493,2653,3477918,2844,2593197,5185,29052713,176,3889720,239,4308317,1025,14725924,55,1890528,1646,107520763,918,12905132.91,71,3402410,5,248953,89,1390755,719,22525757,637,8114118.42,976,63533810,807,33446199,849,7517348,730,2741477,658,689992.5,1682,51116965,1331,24359653,1051,4957507,1717,31283518,668,7706424,1056,-17190137,1726,-9483713,195,763911,82,744864,259,7520758,508,2595523,28,1816757,440,100524832,464,102294594,444,52129154,32,5589,459,49112632,487,49118221,324,19560552.52,730,3644219.47,377,214230.09,2080,603027.15,5297,4010,2861032,476,174042.24,1874,1023333.77
6,ACT,2604,7984,7938,697715067,7092,181462184.79,6257,12630970.66,241,317055.3,6255,12940448.57,6810,189035782.99,1051,4954020.53,6590,570862528,6482,168768855.15,1180,3249319,107,3779089,120,3189094,290,1623613,235,2236384,202,2264632,811,33933147,5151,6760418,780,916815,2097,16308185,2092,6826436,7953,722246314,1876,3653228,897,959528,1994,590828,566,1490344,4088,5041157,4838,11735085,444,368854,179,333192,299,1006876,3133,2895187,3354,1859549,6383,23136575,216,4753496,431,7017044,1011,11644549,34,812735,1071,36404124,651,4308618.96,63,2330810,6,263979,98,1383692,674,12088268,596,3800130.88,865,29539457,683,20231074,758,5489487,638,2157877,615,545348.24,2001,46737808,1719,23353272,1279,5103645,2025,27281752,687,5627996,1340,-14628857,2030,-9000861,130,456916,103,599355,129,3389846,488,1413380,20,585611,441,38987209,459,39572820,443,26098447,27,-184654,475,12551579,500,12366925,300,3830540.78,648,2661282.7,269,133360.48,2619,736047.58,5809,4666,2774835,656,208557.54,1999,813145.23
7,ACT,2605,7574,7519,648087089,6571,169479000.85,5839,11879484.51,185,243501.26,5834,12114588.77,6182,173993447.85,387,1671994.18,5533,471021216,5386,139809236.96,956,3595509,125,3313021,87,3204752,250,1319633,412,3421175,247,2519233,1392,58475974,5008,8383227,1002,1020734,2743,21425453,2738,8975772,7538,673625567,1488,2992554,645,672365,1496,390006,347,908881,3377,4231481,3949,9195287,356,200505,206,336457,382,1685020,3450,4383186,3265,1937439,5972,25156463,370,7993386,256,4524743,1187,14585311,27,404747,1308,38876891,800,4738506.89,70,2380428,6,149196,88,818065,772,11849621,660,3631604.68,1001,27991555,810,18442162,911,4682413,778,1505940,719,474885.08,1685,39376837,1344,18385493,1084,3609142,1715,22822385,662,5818597,1058,-11258780,1722,-5440183,117,586215,100,137351,196,5311314,593,2013216,25,1153609,472,52123059,496,53552534,467,28579200,33,10660,500,24302914,530,24313574,346,8163845.01,1146,4666797.85,350,185092.72,2690,802100.45,5974,4694,3268951,617,205371.79,1891,841978.78
8,ACT,2606,6550,6505,458836485,5689,107990918.26,4914,8225430.74,176,203638.78,4913,8427069.35,5382,112025725.27,501,2078146.26,5176,356073201,5056,95515748,1092,4641116,80,1840791,82,1287515,274,1511855,352,3091152,154,1799018,790,30056751,4224,5269121,604,586098,1604,11182789,1601,4664295,6514,476017244,1427,2486072,625,668454,2015,584519,438,1168122,3193,3671615,3782,8578782,255,180654,122,183742,213,493723,2511,1852776,2700,1479315,5055,16833700,499,9885016,143,2276364,770,7442317,14,110911,774,25453520,435,2125977.31,65,2094941,8,59655,62,873810,446,9032329,379,2833656.52,572,20494727,484,10182939,523,1911695,426,561683,409,141946.01,1072,28691970,879,13635947,708,2931401,1085,15883698,421,4665545,668,-8424621,1089,-3759076,93,494122,48,153314,106,2756955,359,1292199,17,285272,372,42275881,389,42561153,377,26357833,23,43617,395,14426189,417,14469806,269,5004117.96,640,2416526.91,241,114562.71,2795,828128.31,4180,3465,2197297,425,143928.46,1106,441207.99
9,ACT,2607,9403,9347,689252630,8054,166942807.66,7130,12603675.65,177,209463.97,7125,12807231.36,7576,170889841.87,417,1719406.5,6864,509702767,6697,141667281.49,1284,4612105,119,4007081,108,4160364,326,1808881,546,4238169,294,3040621,1626,65854339,6026,9957957,1104,944469,3078,19708124,3072,8299043,9358,713977267,1972,3898487,774,869040,2336,638533,440,1000037,4222,4506351,5004,10912448,435,275945,278,382440,446,1338719,4018,2938825,3993,1996351,7319,24361062,419,8974858,249,5139016,1268,14680159,34,-152389,1412,34688089,759,3386096.94,80,1801992,4,47560,127,1460358,796,14657520,681,4227365.61,1055,34511987,913,22536174,912,4925997,734,955189,688,403544.77,1926,46621090,1562,22814872,1304,4857378,1947,25707544,703,6928765,1250,-13687469,1955,-6758704,135,552581,80,406649,185,4745529,582,1701347,17,335549,578,49289226,595,49624775,571,28538649,23,-109860,610,20090163,632,19980303,377,6102944.46,1359,5338102.35,391,194059.83,3788,1141721.82,7032,5593,3938828,726,279610.63,1939,816724.99
