,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3000,5121.0,5729.0,6545.0,7680.0,8875.0,10640.0,12735.0,12285.0,11810.0,13885.0,15205.0,17110.0,18163.0,20561.0,21585.0,23297.0,24559.0,25566.0
3001,895.0,905.0,,,,,,,,,3915.0,,,,,297.0,240.0,658.0
3002,2644.0,2705.0,2750.0,3005.0,3145.0,3150.0,3380.0,3300.0,3560.0,3600.0,3625.0,3575.0,3586.0,3530.0,3586.0,3636.0,3709.0,3810.0
3003,1283.0,1376.0,1500.0,1555.0,1730.0,1830.0,2140.0,2065.0,2175.0,2305.0,2405.0,2655.0,2947.0,3227.0,3571.0,3941.0,4520.0,5039.0
3004,2983.0,3379.0,3720.0,3770.0,4075.0,4580.0,5245.0,5170.0,5490.0,5740.0,6100.0,6365.0,6869.0,7084.0,6941.0,7360.0,8178.0,8596.0
3006,2492.0,2977.0,3545.0,4395.0,5385.0,5865.0,6780.0,6380.0,7230.0,7565.0,8245.0,9640.0,10470.0,11375.0,12289.0,12721.0,13887.0,15055.0
3008,321.0,776.0,1300.0,1745.0,2325.0,2765.0,3215.0,3290.0,3615.0,3900.0,4580.0,5460.0,6016.0,6576.0,7164.0,8645.0,10062.0,10791.0
3011,7922.0,8119.0,8505.0,8755.0,9110.0,9865.0,11460.0,10465.0,10175.0,10705.0,11030.0,11220.0,11662.0,12275.0,12923.0,13713.0,14557.0,14951.0
3012,9059.0,9382.0,9805.0,10055.0,10455.0,10840.0,12290.0,12295.0,12635.0,12860.0,13250.0,13325.0,13724.0,14334.0,15009.0,15738.0,16466.0,17125.0
3013,6538.0,6694.0,7055.0,7175.0,7345.0,7560.0,8355.0,7960.0,8175.0,8265.0,8370.0,8380.0,8565.0,8725.0,9119.0,9266.0,9623.0,9845.0
3015,7487.0,7659.0,7915.0,8005.0,8385.0,8630.0,9580.0,9120.0,9240.0,9330.0,9560.0,9700.0,9916.0,10152.0,10424.0,10786.0,11189.0,11497.0
3016,9869.0,8532.0,8530.0,8645.0,8685.0,8845.0,9525.0,9060.0,9085.0,9225.0,9330.0,9370.0,9485.0,9466.0,9720.0,9890.0,10120.0,10317.0
3018,6811.0,6836.0,6865.0,6915.0,6960.0,7075.0,7525.0,7205.0,7025.0,7195.0,7185.0,7220.0,7273.0,7471.0,7647.0,7968.0,8001.0,8225.0
3019,2238.0,2363.0,2350.0,2545.0,2660.0,2925.0,3305.0,3505.0,3560.0,3755.0,3695.0,3695.0,3801.0,3990.0,4277.0,4477.0,4705.0,5020.0
3020,15545.0,15626.0,15970.0,16405.0,16830.0,17525.0,19035.0,18895.0,19435.0,19695.0,19445.0,19190.0,19901.0,20676.0,21676.0,22618.0,23863.0,25052.0
3021,24136.0,24129.0,23765.0,23730.0,23855.0,24005.0,25555.0,25370.0,24335.0,25095.0,23970.0,23290.0,23309.0,24026.0,24953.0,25615.0,26851.0,27859.0
3022,2998.0,2902.0,2885.0,2805.0,2745.0,2660.0,2530.0,2260.0,1570.0,2235.0,2040.0,1940.0,1875.0,1902.0,1937.0,1913.0,1972.0,2015.0
3023,11736.0,13970.0,15530.0,17270.0,19195.0,21145.0,24185.0,25945.0,28755.0,29810.0,30245.0,30245.0,30904.0,31629.0,32700.0,33632.0,34441.0,35362.0
3024,3249.0,3514.0,3960.0,4565.0,5210.0,5950.0,6830.0,7425.0,9225.0,9350.0,9945.0,10340.0,10804.0,11362.0,12265.0,13276.0,14339.0,15831.0
3025,5629.0,5609.0,5520.0,5490.0,5400.0,5385.0,5690.0,5585.0,5375.0,5685.0,5610.0,5490.0,5685.0,5712.0,5841.0,6140.0,6341.0,6562.0
3026,164.0,162.0,170.0,155.0,140.0,140.0,135.0,135.0,90.0,155.0,160.0,170.0,171.0,173.0,169.0,178.0,543.0,1655.0
3027,156.0,154.0,150.0,140.0,125.0,185.0,410.0,620.0,1560.0,1750.0,2230.0,2655.0,3064.0,3552.0,4033.0,4577.0,5056.0,5587.0
3028,14586.0,14929.0,15080.0,15275.0,15435.0,15625.0,16725.0,16240.0,15985.0,16205.0,15880.0,15535.0,15748.0,15915.0,16045.0,16446.0,16906.0,17132.0
3029,20708.0,22279.0,23690.0,25065.0,26540.0,28190.0,31355.0,32540.0,37250.0,38415.0,40360.0,41740.0,43713.0,46542.0,50354.0,54200.0,59381.0,64518.0
3030,23333.0,25575.0,27660.0,29635.0,31750.0,33985.0,37855.0,38290.0,42510.0,45045.0,47250.0,48745.0,50368.0,52501.0,55342.0,59072.0,63270.0,66741.0
3031,7902.0,8125.0,8440.0,8700.0,9105.0,9420.0,10450.0,10150.0,10035.0,10425.0,10445.0,10425.0,10640.0,10744.0,10951.0,11197.0,11724.0,12078.0
3032,9902.0,10598.0,11205.0,11745.0,12325.0,12775.0,14440.0,14045.0,14785.0,15120.0,15580.0,15845.0,16429.0,17189.0,17966.0,18815.0,19428.0,19995.0
3033,8006.0,8011.0,8025.0,7910.0,7825.0,7845.0,8145.0,7655.0,7565.0,7610.0,7620.0,7570.0,7748.0,7956.0,8084.0,8294.0,8382.0,8552.0
3034,6280.0,6378.0,6355.0,6340.0,6345.0,6405.0,6730.0,6310.0,6155.0,6220.0,6190.0,6045.0,6103.0,6143.0,6340.0,6433.0,6596.0,6821.0
3036,4278.0,4305.0,4225.0,4205.0,4235.0,4245.0,4410.0,4080.0,3950.0,3975.0,3985.0,3910.0,3932.0,3954.0,3897.0,3934.0,3961.0,3889.0
3037,13075.0,15041.0,16870.0,18430.0,19805.0,21225.0,23445.0,24015.0,25090.0,25180.0,25355.0,25450.0,25964.0,26798.0,27476.0,28099.0,28861.0,29566.0
3038,17771.0,17975.0,18110.0,18130.0,18210.0,18140.0,19005.0,18095.0,17300.0,17860.0,17315.0,17065.0,16878.0,16795.0,16942.0,16937.0,17028.0,16871.0
3039,7316.0,7370.0,7390.0,7505.0,7770.0,7940.0,8680.0,8280.0,8410.0,8655.0,8580.0,8580.0,8685.0,8829.0,9102.0,9324.0,9630.0,10416.0
3040,13870.0,14196.0,14325.0,14460.0,14590.0,14905.0,16125.0,15420.0,15350.0,15695.0,15865.0,15865.0,16220.0,16520.0,16776.0,17416.0,17846.0,18158.0
3041,6288.0,6447.0,6480.0,6655.0,6695.0,6810.0,7365.0,7020.0,7045.0,7080.0,7130.0,7235.0,7349.0,7545.0,7754.0,7935.0,8177.0,8369.0
3042,7843.0,8061.0,8090.0,8045.0,8140.0,8295.0,8800.0,8450.0,8470.0,8585.0,8635.0,8645.0,8850.0,9046.0,9259.0,9418.0,9844.0,9990.0
