,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Comm of Aust benefits & payments ,,HECS assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,3000,1565,6115,358409102,58611,1440,9494536,6115,111097407,18168,0.31,2560,6645226,6095,109379367,6115,77870661,765,-754712,600,17862415,6105,380038064,4795,21139712,3760,13026484,75,-3998367,510,42118491,5100,233697953,4450,4731033,400,252195,3870,8773062,275,1060953,365,1024881
4,3002,300,2705,214602439,79335,1130,12355890,2705,71439330,26410,0.33,1435,5700192,2695,70987255,2705,44897945,425,-668142,440,6806188,2700,230220665,2280,15558659,1820,15117061,55,-2647391,270,14041873,2215,130431643,2405,3052336,180,97534,1695,4880397,135,524513,240,672152
5,3003,195,1360,67898383,49925,350,843798,1360,18502950,13605,0.27,590,947947,1360,17958834,1360,15941910,200,-539914,145,1356347,1360,71713430,1160,3722009,800,1358158,20,-285937,145,3137105,1240,57359733,1150,960379,110,62784,995,2365714,100,420079,115,294716
6,3004,485,3285,256619246,78118,1200,15022439,3285,85997904,26179,0.34,1635,6246113,3275,85147902,3285,59753495,525,-26188,520,22229876,3280,273131920,2720,16461976,2175,17923252,60,-1383367,220,7230553,2640,153703859,2690,3494585,195,146560,2080,6128098,115,426694,205,565643
7,3006,620,3775,215126292,56987,985,4673823,3775,63020280,16694,0.29,1785,4117442,3770,61975229,3775,53951240,530,-2605095,410,5363696,3770,227446965,3175,12232166,2230,6757152,40,-923303,195,4043039,3420,175288170,3070,2866219,335,196814,2740,7180883,170,600543,320,857447
8,3008,180,1565,94024825,60080,445,1930909,1565,27717653,17711,0.29,650,1827392,1560,27133068,1565,23522989,290,-1684570,175,4811975,1560,100350162,1345,6297713,920,2798806,20,-465154,115,2576031,1405,75278116,1375,1311938,155,118943,1175,3597111,65,261441,95,268503
9,3010,10,50,2434367,48687,10,24843,50,645309,12906,0.27,20,24526,50,652601,50,565405,5,15450,5,112986,50,2591453,45,157086,35,74137,0,0,5,150807,40,1906050,35,31441,5,4091,35,126352,5,11533,5,7010
10,3011,1810,6945,274100095,39467,1245,1248844,6945,62720266,9031,0.23,2355,3430358,6945,61310297,6945,59386656,890,-2251419,425,3302927,6945,288157705,6305,13994542,4265,4000285,25,-226958,555,7702583,6380,252163757,5580,3742982,465,281315,5725,10635694,740,3149139,400,997993
11,3012,1800,8255,323232685,39156,1525,1175505,8255,73181467,8865,0.23,2795,3412294,8250,71062104,8255,70568471,1075,-3864896,510,6867789,8250,339287152,7575,15987751,4865,3975213,30,-284214,625,8444959,7540,298054568,6840,4469006,490,281550,6935,12489385,880,3761021,380,955864
12,3013,1015,6160,282693693,45892,1570,1857546,6160,70567177,11456,0.25,2345,2824567,6160,68070428,6155,66693384,980,-3097215,565,3372931,6160,296591012,5680,13822481,3525,3839599,35,-564307,505,8572398,5650,259355956,5435,4031212,450,259888,5080,10538954,455,1766625,360,893765
13,3015,1215,6790,319303541,47026,1780,2240517,6790,81018595,11932,0.25,2565,3288781,6790,78661652,6790,74627625,1090,-4324321,620,3976956,6790,334466961,6165,15153967,4070,4896691,35,-568008,535,10014140,6075,285068329,5870,4514968,470,289797,5465,11439543,475,1823682,300,778112
14,3016,1340,7305,419586257,57438,2850,9517460,7305,119407340,16346,0.28,3245,6226935,7295,118140349,7300,98374248,1550,-6694623,1045,11484100,7300,441709462,6540,22042645,4970,14720206,80,-1668110,520,15248602,6220,327317781,6405,5919319,420,296049,5420,12385109,295,1125482,215,553560
15,3018,1210,5705,249853491,43796,1655,2364416,5705,59754408,10474,0.24,2395,4541330,5705,59064162,5705,53575050,935,-2226522,555,5519064,5705,262320276,5260,12406037,3630,5504180,25,-161169,355,6969886,4935,211124191,4930,3502715,310,187696,4505,8280743,355,1388719,155,358382
16,3019,510,2035,70988618,34884,200,286091,2035,14942931,7343,0.21,465,368058,2030,14673464,2035,14118569,185,-791863,65,633221,2035,74005154,1855,3007339,1220,1060301,0,0,140,2257522,1850,64292020,1605,951112,110,66552,1725,2317742,350,1592025,70,173709
17,3020,3350,13055,477345867,36564,1985,2153776,13055,102440535,7847,0.21,3970,5960689,13055,100347936,13050,96678915,1510,-3855617,650,6954113,13055,497373741,11995,19901811,7795,7170049,20,-94732,795,13660236,11760,428581905,10685,6512164,685,416106,10970,15444074,1590,6461216,420,956427
18,3021,4595,19135,673941438,35220,2615,1791934,19135,140495714,7342,0.21,5610,7390255,19135,137628577,19130,134561089,2030,-4844918,760,3573329,19135,704832622,17790,30728523,11675,8892195,25,47452,1115,17196101,17515,623836065,15495,9147930,930,543067,16570,24955110,2640,10916747,565,1314660
19,3022,530,2275,85369112,37525,350,249993,2275,18612086,8181,0.22,660,822864,2275,18114417,2275,17890060,340,-1276029,105,739733,2275,89430377,2095,4044748,1300,1051926,5,-78723,135,2264267,2070,79743428,1890,1180627,140,79712,1940,3239698,250,1006463,75,185328
20,3023,2575,14695,582679312,39652,2085,1424267,14695,131085568,8920,0.22,4020,3552121,14695,127113019,14695,126237327,1570,-6146309,685,4238497,14695,610204192,13745,27344337,7775,6451517,20,21563,910,13193235,13650,550176634,12605,8168068,940,534139,12900,22799594,1185,4725090,540,1271280
21,3024,675,3890,158583740,40767,595,356325,3890,36230298,9314,0.23,1050,797700,3890,35139972,3890,35123548,280,-1278063,195,1044728,3890,166189597,3685,7515991,2030,1714986,10,-1633,200,3440713,3660,150004481,3350,2219465,235,135126,3465,6473197,235,815991,120,272008
22,3025,1110,4380,168712637,38519,850,882377,4380,37296956,8515,0.22,1555,2650271,4380,36621061,4380,34267572,670,-81285,305,1812349,4380,176138606,3905,7324794,2680,2777825,10,-71484,280,4609514,3845,147459622,3620,2322062,285,168687,3490,5667636,405,1693806,145,363484
23,3026,20,135,6626670,49086,30,84059,135,1810286,13410,0.27,30,14962,135,1736484,135,1566067,15,-22781,20,154174,135,7119986,120,493346,75,118317,5,-28000,5,138285,115,5430434,115,93797,15,12274,105,268472,5,37731,10,22107
24,3027,20,120,5265611,43880,25,31406,120,1246091,10384,0.24,40,54589,120,1221363,120,1225798,15,-12777,10,49653,120,5579660,110,313737,70,57669,5,789,10,81510,115,5137399,75,47611,5,1927,100,250847,5,15236,10,26722
25,3028,2440,12835,510201278,39751,2425,1821567,12835,115025270,8962,0.23,4030,3898041,12830,111715999,12825,109972006,1610,-5701317,800,4912364,12830,533370021,12000,23087629,7390,6314620,45,-400824,670,9572095,11950,479447325,10905,7081296,740,440563,11175,19059488,970,3744156,305,707494
26,3029,3845,21220,865379285,40781,4215,3319288,21220,199276296,9391,0.23,6465,6020056,21215,193382501,21220,189272862,2580,-11402638,1220,6341936,21220,907290518,19820,41691621,12265,10697869,55,-416108,1185,18793979,19730,812218668,18065,12065494,1150,664107,18485,33965044,1300,4816465,530,1226078
27,3030,4535,25100,1068553837,42572,5180,6348497,25100,252685136,10067,0.24,7780,9379730,25095,246310170,25090,233410170,2890,-9317884,1650,14507940,25095,1122721959,23265,53837976,14370,16311496,105,-866057,1360,22145913,22785,965516657,21465,14856142,1450,856241,21240,41996102,1515,5600577,715,1737857
28,3031,1200,7500,353882939,47184,2060,2378421,7500,90943321,12126,0.26,3120,3433323,7495,87682297,7500,86009004,995,-4827528,750,4653403,7495,372487730,6830,18571683,4465,4711924,50,-472748,565,10399098,7000,326803126,6540,5040360,610,347029,6185,13583946,735,3179487,625,1677541
29,3032,1790,9955,464013217,46611,2960,4855094,9955,118332854,11887,0.26,3965,6222581,9950,114933191,9955,107028982,1630,-5620408,1000,8115378,9955,489495765,9030,25369156,6285,8648192,60,-950347,710,12288989,8975,409910312,8600,6580627,590,356326,8030,17496957,845,3477052,530,1352216
30,3033,1435,6475,267220919,41270,2020,2523628,6475,61518102,9501,0.23,2950,4396098,6470,61071666,6475,54391877,1150,-1823077,615,4644332,6470,280636356,5870,13328259,4350,6126416,35,-274914,415,7647682,5555,224371670,5535,3727296,240,138471,5065,9074441,380,1383103,220,532048
31,3034,1210,5130,211875740,41301,1525,2725497,5130,49546729,9658,0.23,2250,3918905,5130,48875328,5130,42766256,1055,-915116,430,3640560,5130,221848335,4585,9955145,3425,5226432,15,-74839,310,5492787,4360,174760717,4350,2960092,210,120691,3980,7061869,335,1438860,175,438708
32,3036,700,3505,167955041,47919,1350,3523448,3505,43100132,12297,0.26,1585,3641969,3505,42581613,3505,33886673,700,-876134,395,3215297,3505,177423274,3060,9426815,2450,5566963,25,-352127,215,5036264,2855,125923742,3090,2391452,135,83294,2565,5875187,150,497335,95,248418
33,3037,2805,15625,623257507,39888,2420,1740832,15625,142805619,9140,0.23,4100,3215479,15625,137088443,15620,136575088,1825,-8422297,730,5836565,15625,655203592,14580,31689280,8400,5641334,30,-232844,960,15816923,14500,593901034,13270,8736146,790,447928,13785,26498202,1070,4058445,455,1029482
34,3038,2970,15160,620906803,40957,3860,4126362,15160,145360656,9588,0.23,5375,6272793,15155,141137873,15155,132149936,2715,-11554222,1130,8258923,15160,651856983,13785,30814594,9680,9420988,65,-908820,975,16900343,13575,558732707,12820,8719395,705,422823,12670,24031454,950,3612025,370,854691
35,3039,1045,6460,330588715,51175,2285,4249771,6460,88123192,13641,0.27,2885,5595920,6460,86201662,6460,75527500,1115,-3742357,730,5129993,6460,348895050,5835,18109263,4220,7451378,55,-1393564,500,12539999,5685,275804543,5735,4727293,335,190873,5075,11458989,345,1393413,305,770314
36,3040,2470,11990,634043140,52881,4740,13870309,11990,174815688,14580,0.28,5715,14732079,11980,171795051,11985,142813982,2080,-4407703,1665,33430423,11985,672301983,10795,38045154,8270,20508897,105,-2098275,795,20552188,10105,482935702,10470,9025980,490,287681,8925,19115279,610,2241422,410,1000608
37,3041,1180,5475,279087353,50975,2265,5959679,5475,74077362,13530,0.27,2595,5906621,5475,73851339,5475,62227844,1005,-2215289,795,7533362,5475,293122015,4960,13952137,3875,9995355,55,-944308,365,7998613,4550,215715551,4750,3925804,215,161315,4110,8303684,260,910828,165,404749
38,3042,1465,6580,269398692,40942,1860,1940858,6580,61901950,9408,0.23,2735,5062091,6580,60820737,6580,56227459,960,-2430336,580,3671884,6580,283340671,6045,13882432,4245,4975989,30,-448270,415,6922476,5765,234478126,5680,3783239,280,154574,5320,10333279,445,1600171,200,495396
39,3043,1650,8425,334066879,39652,2070,2396487,8425,75042936,8907,0.22,3410,3899322,8425,73804817,8425,69606178,1035,-3101804,615,3539832,8425,350627658,7800,16510376,5265,6195543,20,-264510,480,7847720,7685,302005146,7185,4651300,360,210819,7170,12714056,600,2239464,215,493780
40,3044,2035,9690,411398492,42456,2855,3588218,9690,96939698,10004,0.24,4190,7316015,9690,95041503,9690,87849261,1675,-2838422,945,5199286,9690,431633002,8820,20129614,6190,8047123,40,-453322,675,11050469,8390,355848290,8335,5782475,450,270656,7665,14656380,570,2211692,295,720568
41,3046,2905,10980,423873197,38604,2520,2826240,10980,93791492,8542,0.22,4185,5982210,10980,92467241,10980,84713185,1455,-2007186,825,3939145,10980,444968621,10025,20982931,7000,7926109,30,-136006,760,12632382,9480,364889992,9110,5830560,525,329775,8685,14497367,920,3707430,300,689530
42,3047,1635,5280,178435587,33795,615,813536,5280,36243861,6864,0.2,1220,1384693,5280,35831353,5280,34296186,410,-1077322,195,765688,5280,186286635,4815,7829299,3360,2953142,10,-59757,385,5504952,4705,161201262,4075,2360282,205,115831,4390,6160599,830,3655153,110,273354
43,3048,1545,5430,181134417,33358,485,206215,5430,36639849,6748,0.2,955,590095,5430,35853294,5430,35454114,425,-1777869,155,760505,5430,189129643,4885,7952729,3280,2001749,5,-15070,470,6894374,4875,168804411,4165,2388609,190,108805,4610,6493945,855,3523215,120,269475
