,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Postcode1,Non-taxable individuals4,Taxable individuals2,Taxable income (excluding losses),Mean taxable income5,Total imputation credits6,,Net tax ,,Mean net tax7,Net tax ratio8,Gross interest ,,Gross tax ,,Assessments issued ,,Net rent ,,Net capital gain ,,Total income or loss9,,Total deductions10,,Total tax offsets & credits allowed11,,Net business income/loss-PP ,,Net business income/loss-NPP ,,Salary or wages ,,Medicare levy ,,Medicare levy surcharge ,,Total work related expenses ,,Gifts or donations,,Comm of Aust benefits & payments ,,HELP assessment debt ,
2,,no.,no.,$,$,no.,$,no.,$,$,,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$,no.,$
3,3000,1730,7145,448761490,62808,1515,16422980,7145,139948981,19587,31,2865,8338868,7110,137843045,7145,100034607,845,-1349413,675,40685431,7125,479146365,5665,28869830,4455,20580584,75,-4434061,585,37278981,6115,291531962,5100,5785723,540,337881,4695,9958657,1362360,2137,300,1128213,420,1261698
4,3002,310,2835,234113330,82580,1185,14979123,2835,76044709,26824,32,1535,6339780,2830,76100029,2835,46116471,450,-2534401,520,12787938,2835,258770119,2415,23334853,1930,18548580,50,-3062295,275,15489880,2335,139813915,2485,3330533,200,116276,1800,5251189,2536260,1183,150,564856,255,803232
5,3003,215,1515,79046938,52176,385,1308732,1515,21150285,13961,27,650,1052879,1515,20638926,1515,18489301,205,-607517,170,3365942,1515,83491474,1295,4439838,945,2008049,15,-251988,160,3612318,1380,64581207,1265,1115129,150,77109,1115,2632838,211190,600,90,402733,150,400583
6,3004,450,3625,283802448,78269,1280,15405733,3625,90269783,24895,32,1765,7412030,3605,91182998,3625,63340890,555,7295,555,29539640,3615,306523019,3025,22719680,2390,20406039,65,-2151492,245,7402186,2930,165044004,2940,3835971,235,139453,2340,6545945,3189085,1333,125,509417,240,707375
7,3006,710,4675,282118184,60359,1165,6113247,4675,82083659,17562,29,2085,5842990,4655,80907231,4675,70025634,645,-3490574,545,14110905,4665,298934902,3900,16728808,2785,9000285,45,-1202500,220,5378617,4200,219872079,3745,3728841,430,271095,3350,8447393,1116655,1706,175,622780,390,1168426
8,3008,275,2050,126715985,61783,545,3172650,2050,36354163,17725,29,890,2147131,2050,35718259,2050,31541437,365,-2621530,230,7063019,2050,135438672,1730,8582874,1160,4434352,25,-646988,145,2587808,1865,101706557,1730,1747430,195,123073,1510,4567282,275090,706,65,229812,155,453715
9,3010,10,60,3204409,52531,15,67438,60,866100,14198,27,30,54125,60,866526,60,735580,10,-24626,10,112154,60,3437942,55,233533,35,119358,0,0,5,-1637,55,2677548,45,41513,10,5198,45,176292,7060,28,5,10579,5,1921
10,3011,1805,7305,299656196,41032,1260,2228443,7305,67140359,9194,22,2390,4017778,7300,65808342,7305,62572171,860,-2675217,445,3433524,7300,315537685,6585,15774160,4525,5409303,25,-217978,615,9818263,6715,273558443,5750,4075742,575,336452,6025,12013801,878435,3224,725,3249636,435,1138199
11,3012,1815,8640,346783599,40128,1580,1333788,8640,75131361,8694,22,2840,3992503,8640,73603737,8640,72177644,1095,-4562622,545,3501117,8640,364782556,7895,17947381,5280,5081562,40,-489797,690,9434032,7900,323124075,7035,4765983,605,354508,7225,13950709,891920,4221,915,3945377,430,1150668
12,3013,995,6350,304816775,48003,1605,1879842,6350,73910217,11639,24,2375,3082377,6345,71473436,6350,69555362,1010,-3537814,630,4978449,6350,320312811,5810,15384141,3715,4288094,35,-534321,535,8956531,5790,280817006,5605,4348814,575,332664,5215,11628934,755150,3272,400,1531676,370,1002543
13,3015,1190,7195,351611902,48883,1915,3000452,7195,86625191,12043,25,2710,4275090,7190,84455410,7195,78272067,1165,-4682894,730,4946931,7190,370016141,6545,18349416,4450,6319849,40,-757898,580,12666845,6420,311331521,6240,4961256,550,334761,5775,13260525,753650,3657,455,1758088,330,897112
14,3016,1240,7445,451308727,60619,2775,11917764,7445,127405536,17113,28,3215,8014056,7425,125237487,7445,102746472,1590,-7560263,1060,21238854,7435,477473891,6620,26124469,5115,16759904,85,-1835111,560,16137291,6325,343837468,6535,6419932,505,361472,5510,13443397,1147160,3714,280,1139515,280,776543
15,3018,1195,5765,261520037,45356,1625,2956396,5765,60007970,10407,23,2385,4910416,5765,60169979,5765,53323645,970,-2561500,645,6584607,5765,275585555,5280,13973121,3735,7120628,30,-591031,385,7699974,4920,217356282,4990,3649712,380,233027,4485,8729267,725425,3299,335,1368233,170,451535
16,3019,530,2130,74355595,34876,190,174020,2130,14622149,6858,20,465,502708,2130,14496708,2130,14136198,200,-902702,65,544191,2130,77949325,1920,3590998,1330,1130332,5,-73382,165,2443433,1925,68683037,1655,987318,115,71717,1795,2735476,165435,928,350,1604327,90,237001
17,3020,3295,13535,503302229,37182,1985,2365292,13535,103466815,7644,21,3975,7037179,13535,102021977,13535,97059310,1575,-4699809,700,7346067,13535,526044631,12350,22573759,8370,8397852,30,-155216,855,14651538,12115,450829138,10895,6816739,800,477388,11290,17460985,1104690,6643,1575,6720484,485,1188035
18,3021,4460,19395,703013036,36245,2480,2118428,19395,142179948,7330,20,5480,8669109,19390,140529287,19390,136016367,2105,-5649761,795,11301491,19395,737044857,17945,33892416,12050,10830787,30,-24814,1180,18032392,17685,642765614,15380,9462962,1090,652454,16755,27241389,1727350,10590,2540,10708258,595,1486209
