,postcode,year,viable_buildings,total_buildings,total_income,num_installs,average_income,install_percent
0,3000,2001,121,5537,222083517.0,0.0,40108.997110348566,0.0
1,3002,2001,564,2767,176462745.0,0.0,63774.03144199494,0.0
2,3003,2001,425,854,47891874.0,0.0,56079.47775175644,0.0
3,3004,2001,8,2406,190060573.0,0.0,78994.41936824605,0.0
4,3006,2001,0,4651,120371361.0,0.0,25880.748441195443,
5,3008,2001,0,1560,15213666.0,0.0,9752.35,
6,3010,2001,2,22,,0.0,,0.0
7,3011,2001,5053,6329,228500416.0,0.0,36103.715594880705,0.0
8,3012,2001,6713,8281,261820906.0,0.0,31617.06388117377,0.0
9,3013,2001,4855,5462,222999873.0,0.0,40827.51244965214,0.0
10,3015,2001,5476,6340,254467600.0,0.0,40136.845425867505,0.0
11,3016,2001,4862,6036,349101137.0,0.0,57836.50381047051,0.0
12,3018,2001,4464,5081,209428992.0,0.0,41218.06573509152,0.0
13,3019,2001,2370,2382,55203253.0,0.0,23175.169185558356,0.0
14,3020,2001,11956,13900,412626093.0,0.0,29685.330431654675,0.0
15,3021,2001,16626,18055,644291596.0,0.0,35684.94023816117,0.0
16,3022,2001,1047,1053,84151329.0,0.0,79915.79202279203,0.0
17,3023,2001,6112,6239,356247895.0,0.0,57100.15948068601,0.0
18,3024,2001,1392,1444,102621897.0,0.0,71067.7957063712,0.0
19,3025,2001,3782,4159,157548479.0,0.0,37881.33661937966,0.0
20,3026,2001,396,399,5079852.0,0.0,12731.458646616542,0.0
21,3027,2001,0,0,6369824.0,0.0,inf,
22,3028,2001,10077,10704,449631735.0,0.0,42005.9543161435,0.0
23,3029,2001,8158,8507,657476509.0,0.0,77286.52979898907,0.0
24,3030,2001,10530,11984,741403900.0,0.0,61866.14652870494,0.0
25,3031,2001,4842,7648,287567381.0,0.0,37600.33747384937,0.0
26,3032,2001,5838,8070,356344868.0,0.0,44156.73705080545,0.0
27,3033,2001,4666,4761,245541944.0,0.0,51573.60722537282,0.0
28,3034,2001,4128,4095,183923958.0,0.0,44914.27545787546,0.0
29,3036,2001,2142,2146,150935588.0,0.0,70333.45200372787,0.0
30,3037,2001,10402,10354,408785746.0,0.0,39480.94900521538,0.0
31,3038,2001,8699,9073,560281919.0,0.0,61752.66383776039,0.0
32,3039,2001,4251,5439,276351066.0,0.0,50809.16822945394,0.0
33,3040,2001,7276,9534,512956638.0,0.0,53802.87791063562,0.0
34,3041,2001,3831,4023,223716146.0,0.0,55609.283122048226,0.0
35,3042,2001,5411,5721,234433143.0,0.0,40977.65128474043,0.0
36,3043,2001,5835,6493,283437643.0,0.0,43652.80194055136,0.0
37,3044,2001,8109,9173,350612105.0,0.0,38222.1852174861,0.0
38,3045,2001,0,0,,0.0,,
39,3046,2001,8913,11119,373801545.0,0.0,33618.270078244444,0.0
40,3047,2001,5800,6237,173447471.0,0.0,27809.43899310566,0.0
41,3048,2001,4972,5354,173810974.0,0.0,32463.760552857675,0.0
42,3049,2001,2754,2917,144352237.0,0.0,49486.539938292764,0.0
43,3051,2001,1987,4244,147741551.0,0.0,34811.86404335532,0.0
44,3052,2001,309,1140,81643434.0,0.0,71617.04736842106,0.0
45,3053,2001,1333,5975,151101669.0,0.0,25288.982259414224,0.0
46,3054,2001,2885,4041,209628489.0,0.0,51875.3994060876,0.0
47,3055,2001,3287,5825,192458427.0,0.0,33040.07330472103,0.0
48,3056,2001,6414,9209,348116126.0,0.0,37801.72939515691,0.0
49,3057,2001,2170,2833,136557619.0,0.0,48202.4775855983,0.0
50,3058,2001,10464,11869,421740460.0,0.0,35532.93959052995,0.0
51,3059,2001,2994,3000,182601803.0,0.0,60867.26766666667,0.0
52,3060,2001,3878,4335,128255831.0,0.0,29586.120184544405,0.0
53,3061,2001,1426,1806,55655504.0,0.0,30817.001107419714,0.0
54,3062,2001,0,0,5442233.0,0.0,inf,
55,3064,2001,7279,7682,417506644.0,0.0,54348.6909658943,0.0
56,3065,2001,1801,3879,192669011.0,0.0,49669.76308326888,0.0
57,3066,2001,622,2641,92875252.0,0.0,35166.69897765998,0.0
58,3067,2001,1580,1945,96500798.0,0.0,49614.80616966581,0.0
59,3068,2001,5647,7529,394426312.0,0.0,52387.609509895075,0.0
60,3070,2001,7564,9716,394918767.0,0.0,40646.22962124331,0.0
61,3071,2001,4847,7849,262322608.0,0.0,33421.150210217864,0.0
62,3072,2001,9471,11006,386784843.0,0.0,35143.0894966382,0.0
63,3073,2001,15500,18588,559831446.0,0.0,30117.895739186573,0.0
