,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
0,3000,2001,222083517.0,121.0,5537.0,0.0,40108.997110348566,0.0
1,3001,2001,34276848.0,,,0.0,,
2,3002,2001,176462745.0,564.0,2767.0,0.0,63774.03144199494,0.0
3,3003,2001,47891874.0,425.0,854.0,0.0,56079.47775175644,0.0
4,3004,2001,190060573.0,8.0,2406.0,0.0,78994.41936824605,0.0
5,3006,2001,120371361.0,0.0,4651.0,0.0,25880.748441195443,
6,3008,2001,15213666.0,0.0,1560.0,0.0,9752.35,
7,3011,2001,228500416.0,5053.0,6329.0,0.0,36103.715594880705,0.0
8,3012,2001,261820906.0,6713.0,8281.0,0.0,31617.06388117377,0.0
9,3013,2001,222999873.0,4855.0,5462.0,0.0,40827.51244965214,0.0
10,3015,2001,254467600.0,5476.0,6340.0,0.0,40136.845425867505,0.0
11,3016,2001,349101137.0,4862.0,6036.0,0.0,57836.50381047051,0.0
12,3018,2001,209428992.0,4464.0,5081.0,0.0,41218.06573509152,0.0
13,3019,2001,55203253.0,2370.0,2382.0,0.0,23175.169185558356,0.0
14,3020,2001,412626093.0,11956.0,13900.0,0.0,29685.330431654675,0.0
15,3021,2001,644291596.0,16626.0,18055.0,0.0,35684.94023816117,0.0
16,3022,2001,84151329.0,1047.0,1053.0,0.0,79915.79202279203,0.0
17,3023,2001,356247895.0,6112.0,6239.0,0.0,57100.15948068601,0.0
18,3024,2001,102621897.0,1392.0,1444.0,0.0,71067.7957063712,0.0
19,3025,2001,157548479.0,3782.0,4159.0,0.0,37881.33661937966,0.0
20,3026,2001,5079852.0,396.0,399.0,0.0,12731.458646616542,0.0
21,3027,2001,6369824.0,0.0,0.0,0.0,inf,
22,3028,2001,449631735.0,10077.0,10704.0,0.0,42005.9543161435,0.0
23,3029,2001,657476509.0,8158.0,8507.0,0.0,77286.52979898907,0.0
24,3030,2001,741403900.0,10530.0,11984.0,0.0,61866.14652870494,0.0
25,3031,2001,287567381.0,4842.0,7648.0,0.0,37600.33747384937,0.0
26,3032,2001,356344868.0,5838.0,8070.0,0.0,44156.73705080545,0.0
27,3033,2001,245541944.0,4666.0,4761.0,0.0,51573.60722537282,0.0
28,3034,2001,183923958.0,4128.0,4095.0,0.0,44914.27545787546,0.0
29,3036,2001,150935588.0,2142.0,2146.0,0.0,70333.45200372787,0.0
30,3037,2001,408785746.0,10402.0,10354.0,0.0,39480.94900521538,0.0
31,3038,2001,560281919.0,8699.0,9073.0,0.0,61752.66383776039,0.0
32,3039,2001,276351066.0,4251.0,5439.0,0.0,50809.16822945394,0.0
33,3040,2001,512956638.0,7276.0,9534.0,0.0,53802.87791063562,0.0
34,3041,2001,223716146.0,3831.0,4023.0,0.0,55609.283122048226,0.0
35,3042,2001,234433143.0,5411.0,5721.0,0.0,40977.65128474043,0.0
36,3043,2001,283437643.0,5835.0,6493.0,0.0,43652.80194055136,0.0
37,3044,2001,350612105.0,8109.0,9173.0,0.0,38222.1852174861,0.0
38,3046,2001,373801545.0,8913.0,11119.0,0.0,33618.270078244444,0.0
39,3047,2001,173447471.0,5800.0,6237.0,0.0,27809.43899310566,0.0
40,3048,2001,173810974.0,4972.0,5354.0,0.0,32463.760552857675,0.0
41,3049,2001,144352237.0,2754.0,2917.0,0.0,49486.539938292764,0.0
42,3051,2001,147741551.0,1987.0,4244.0,0.0,34811.86404335532,0.0
43,3052,2001,81643434.0,309.0,1140.0,0.0,71617.04736842106,0.0
44,3053,2001,151101669.0,1333.0,5975.0,0.0,25288.982259414224,0.0
45,3054,2001,209628489.0,2885.0,4041.0,0.0,51875.3994060876,0.0
46,3055,2001,192458427.0,3287.0,5825.0,0.0,33040.07330472103,0.0
