year,income_group,data
2001,Lower (<50000),0.002210910831228385
2001,Middle-Lower (50000-100000),0.00018263877810099902
2001,Middle-Upper (100000-150000),0.0
2001,Upper (>150000),0.9259259259259258
2002,Lower (<50000),0.003317269939598451
2002,Middle-Lower (50000-100000),0.0037249608874360216
2002,Middle-Upper (100000-150000),0.22144884551600966
2002,Upper (>150000),0.0
2003,Lower (<50000),0.033177765538636744
2003,Middle-Lower (50000-100000),0.04387349882975901
2003,Middle-Upper (100000-150000),0.05351481216761478
2003,Upper (>150000),0.09523809523809525
2004,Lower (<50000),0.067282083417283
2004,Middle-Lower (50000-100000),0.04607644245951382
2004,Middle-Upper (100000-150000),0.0746815964285495
2004,Upper (>150000),0.0
2005,Lower (<50000),0.10274134898432996
2005,Middle-Lower (50000-100000),0.04763542403443165
2005,Middle-Upper (100000-150000),0.1910934599587293
2005,Upper (>150000),0.005002751513332332
2006,Lower (<50000),0.13403088959294215
2006,Middle-Lower (50000-100000),0.08316644329256793
2006,Middle-Upper (100000-150000),0.049973151226164
2006,Upper (>150000),0.021655465980180096
2007,Lower (<50000),0.27216241354391985
2007,Middle-Lower (50000-100000),0.1783685976999256
2007,Middle-Upper (100000-150000),0.18683859571316475
2007,Upper (>150000),0.10744898332733484
2008,Lower (<50000),0.5549299013040573
2008,Middle-Lower (50000-100000),0.40986037420561433
2008,Middle-Upper (100000-150000),0.4768365627090512
2008,Upper (>150000),0.24447014509002285
2009,Lower (<50000),1.8600599470844177
2009,Middle-Lower (50000-100000),2.0219206632294435
2009,Middle-Upper (100000-150000),1.5420387796574473
2009,Upper (>150000),0.8321793981630741
2010,Lower (<50000),4.8631884562259
2010,Middle-Lower (50000-100000),5.295957425570953
2010,Middle-Upper (100000-150000),4.049742051627736
2010,Upper (>150000),1.2658703866734238
2011,Lower (<50000),8.227985724773015
2011,Middle-Lower (50000-100000),8.916214320694614
2011,Middle-Upper (100000-150000),6.005298995215054
2011,Upper (>150000),4.652115575066358
2012,Lower (<50000),11.323173954348402
2012,Middle-Lower (50000-100000),11.577213024485063
2012,Middle-Upper (100000-150000),9.06694614478719
2012,Upper (>150000),5.60260440219942
2013,Lower (<50000),13.602325222716598
2013,Middle-Lower (50000-100000),13.836958636152943
2013,Middle-Upper (100000-150000),8.890002878313847
2013,Upper (>150000),6.013561051188952
2014,Lower (<50000),16.062634705550035
2014,Middle-Lower (50000-100000),15.664077068796637
2014,Middle-Upper (100000-150000),11.089593691419312
2014,Upper (>150000),7.053031148232555
2015,Lower (<50000),18.510493564091597
2015,Middle-Lower (50000-100000),16.955067262109047
2015,Middle-Upper (100000-150000),11.85791314679938
2015,Upper (>150000),18.038133456865836
2016,Lower (<50000),20.907604728179784
2016,Middle-Lower (50000-100000),18.620120138646918
2016,Middle-Upper (100000-150000),13.188613856376968
2016,Upper (>150000),9.448941193216253
2017,Lower (<50000),22.703605147989045
2017,Middle-Lower (50000-100000),21.68870405931308
2017,Middle-Upper (100000-150000),15.669214726482743
2017,Upper (>150000),14.07699721602706
2018,Lower (<50000),25.25980473471609
2018,Middle-Lower (50000-100000),25.123836959461183
2018,Middle-Upper (100000-150000),20.787524827125846
2018,Upper (>150000),15.829543213097688
