year,income_group,data
2001,Lower (<50000),0.02877697841726619
2001,Middle-Lower (50000-100000),0.012578616352201259
2001,Middle-Upper (100000-150000),0.0
2001,Upper (>150000),0.1111111111111111
2002,Lower (<50000),0.06265664160401002
2002,Middle-Lower (50000-100000),0.05555555555555555
2002,Middle-Upper (100000-150000),0.16666666666666666
2002,Upper (>150000),0.0
2003,Lower (<50000),0.30864197530864196
2003,Middle-Lower (50000-100000),0.25555555555555554
2003,Middle-Upper (100000-150000),0.25
2003,Upper (>150000),0.2
2004,Lower (<50000),0.6771653543307087
2004,Middle-Lower (50000-100000),0.4694835680751174
2004,Middle-Upper (100000-150000),0.625
2004,Upper (>150000),0.0
2005,Lower (<50000),1.0
2005,Middle-Lower (50000-100000),0.8253275109170306
2005,Middle-Upper (100000-150000),0.8823529411764706
2005,Upper (>150000),0.1111111111111111
2006,Lower (<50000),1.5626740947075208
2006,Middle-Lower (50000-100000),1.4219409282700421
2006,Middle-Upper (100000-150000),1.6842105263157894
2006,Upper (>150000),1.25
2007,Lower (<50000),3.606707317073171
2007,Middle-Lower (50000-100000),4.1169811320754715
2007,Middle-Upper (100000-150000),5.8
2007,Upper (>150000),4.666666666666667
2008,Lower (<50000),7.7733711048158645
2008,Middle-Lower (50000-100000),12.41869918699187
2008,Middle-Upper (100000-150000),15.789473684210526
2008,Upper (>150000),9.8
2009,Lower (<50000),31.619883040935672
2009,Middle-Lower (50000-100000),75.268
2009,Middle-Upper (100000-150000),53.95652173913044
2009,Upper (>150000),34.25
2010,Lower (<50000),76.81040892193309
2010,Middle-Lower (50000-100000),186.46349206349205
2010,Middle-Upper (100000-150000),129.8048780487805
2010,Upper (>150000),51.714285714285715
2011,Lower (<50000),121.41224489795918
2011,Middle-Lower (50000-100000),313.9546827794562
2011,Middle-Upper (100000-150000),180.04761904761904
2011,Upper (>150000),95.8
2012,Lower (<50000),160.7509881422925
2012,Middle-Lower (50000-100000),424.43887147335425
2012,Middle-Upper (100000-150000),228.93023255813952
2012,Upper (>150000),140.6153846153846
2013,Lower (<50000),186.7947598253275
2013,Middle-Lower (50000-100000),488.5014836795252
2013,Middle-Upper (100000-150000),268.3673469387755
2013,Upper (>150000),161.92307692307693
2014,Lower (<50000),205.3318181818182
2014,Middle-Lower (50000-100000),569.6070381231672
2014,Middle-Upper (100000-150000),325.27777777777777
2014,Upper (>150000),193.46153846153845
2015,Lower (<50000),212.88317757009347
2015,Middle-Lower (50000-100000),644.3988095238095
2015,Middle-Upper (100000-150000),361.60655737704917
2015,Upper (>150000),203.23529411764707
2016,Lower (<50000),235.53886010362694
2016,Middle-Lower (50000-100000),672.7097701149426
2016,Middle-Upper (100000-150000),451.86567164179104
2016,Upper (>150000),241.05555555555554
2017,Lower (<50000),258.51973684210526
2017,Middle-Lower (50000-100000),706.4986301369863
2017,Middle-Upper (100000-150000),514.6829268292682
2017,Upper (>150000),367.38461538461536
2018,Lower (<50000),303.109243697479
2018,Middle-Lower (50000-100000),772.0700808625337
2018,Middle-Upper (100000-150000),680.0192307692307
2018,Upper (>150000),468.1666666666667
