,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,3.0,3.0,2.0,8.0,8.0,5.0,6.0
3001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,2.0,4.0,7.0,7.0,5.0,10.0,7.0
3003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,5.0,6.0,8.0,3.0,8.0,7.0,11.0,9.0,10.0
3004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0
3006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0
3008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,64.0,3.0,5.0,4.0,3.0,2.0,2.0
3011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,61.0,103.0,91.0,67.0,47.0,75.0,36.0,36.0,42.0,83.0
3012,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,90.0,154.0,163.0,79.0,95.0,88.0,62.0,56.0,51.0,156.0
3013,0.0,0.0,0.0,0.0,0.0,3.0,6.0,8.0,53.0,105.0,93.0,86.0,54.0,83.0,40.0,34.0,61.0,101.0
3015,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,56.0,92.0,94.0,79.0,67.0,96.0,87.0,52.0,90.0,104.0
3016,0.0,0.0,0.0,1.0,0.0,1.0,6.0,17.0,41.0,78.0,93.0,61.0,60.0,86.0,66.0,63.0,81.0,111.0
3018,0.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,149.0,196.0,125.0,86.0,56.0,61.0,76.0,41.0,59.0,87.0
